oa_id,eligible,B_stated,B_justified,M_justified,Theta_stated,Range_reported,range_axis,applic_register,note
W2806583692,no,,,,,,,,performance modelling; no feature increment against a stated comparison
W2810738116,no,,,,,,,,regression on determinants; no predictive increment
W2931993367,no,,,,,,,,pipeline description; no quantitative feature increment
W2941068928,no,,,,,,,,training-population comparison (open vs closed source) not a feature increment
W2941394980,no,,,,,,,,single feature vector; the increment discussed is other people's
W2951484092,yes,unclear,no,no,no,no,,no,two named external variables added to a tourism forecast; best-model share reported
W2954440353,no,,,,,,,,pipeline optimisation
W2960048287,yes,yes,no,no,yes,no,,no,two feature sets compared for remaining useful life; a maintenance threshold is stated
W2969930394,no,,,,,,,,pattern-level accuracy; no feature increment
W2989213133,no,,,,,,,,survey
W2995454814,no,,,,,,,,feature-selection robustness check; no incremental claim against a stated baseline
W2996338620,no,,,,,,,,permutation importance; not an increment against a baseline model
W3016717485,no,,,,,,,,eligibility restriction on rare controls; not a feature increment
W3025918553,no,,,,,,,,uplift modelling; no feature increment
W3043882153,yes,unclear,no,no,no,no,,no,hierarchical regression; incremental explained variance of variable blocks
W3044618224,no,,,,,,,,theory paper
W3048310814,no,,,,,,,,relevance scoring; no increment
W3097004242,no,,,,,,,,window-size sensitivity; not a feature increment
W3120925457,no,,,,,,,,adding training configurations not features
W3123086775,no,,,,,,,,offline vs online testing
W3149836688,no,,,,,,,,no quantitative predictive metric
W3153009645,no,,,,,,,,model comparison against a benchmark system
W3166557239,yes,yes,no,no,no,no,decision-time,no,contribution type added as a feature; F1 reported at three earliness points
W3169486253,no,,,,,,,,no quantitative metric retrieved
W3171707163,no,,,,,,,,predictor reliability by correlation
W3176226112,no,,,,,,,,aggregation schemes
W3184174269,no,,,,,,,,explainability inspection
W3186922658,no,,,,,,,,qualitative study
W3198188779,no,,,,,,,,prescriptive monitoring
W3203269068,no,,,,,,,,miner comparison
W3204750696,yes,yes,no,no,yes,no,,no,design decisions' incremental contribution to explained variance; top-1 and top-3 accuracy
W3217325574,yes,yes,no,no,no,yes,baseline+metric,no,five feature configurations under four instruments in one table
W4206162339,no,,,,,,,,growth-theory performance model
W4207018882,no,,,,,,,,sampling algorithms
W4214741785,no,,,,,,,,method-component ablation
W4221005884,no,,,,,,,,labelling-source comparison
