baseline_pair,baseline,baseline_hi,metric,threshold,population,regime,populated,V_lo,V_hi,R
nothing -> free,nothing,free,ap,,0.25,rare-first,0.26748889330946224,0.0599665501924016,0.0621911336502009,-0.03709707246226035
nothing -> free+education,nothing,free+education,ap,,0.25,rare-first,0.26748889330946224,0.0599665501924016,0.0037661473089622977,0.9371958650801375
nothing -> free+education+hours,nothing,free+education+hours,ap,,0.25,rare-first,0.26748889330946224,0.0599665501924016,0.0015162938539985404,0.974714339091818
free -> free+education,free,free+education,ap,,0.25,rare-first,0.26748889330946224,0.0621911336502009,0.0037661473089622977,0.9394423756584773
free -> free+education+hours,free,free+education+hours,ap,,0.25,rare-first,0.26748889330946224,0.0621911336502009,0.0015162938539985404,0.9756188098688302
free+education -> free+education+hours,free+education,free+education+hours,ap,,0.25,rare-first,0.26748889330946224,0.0037661473089622977,0.0015162938539985404,0.5973885964603092
nothing -> free,nothing,free,ap,,0.5,rare-first,0.5232080100789073,0.1348775008347085,0.10862192321319364,0.19466239705679977
nothing -> free+education,nothing,free+education,ap,,0.5,rare-first,0.5232080100789073,0.1348775008347085,0.02362254705572797,0.8248592470238809
nothing -> free+education+hours,nothing,free+education+hours,ap,,0.5,rare-first,0.5232080100789073,0.1348775008347085,0.015825299390334946,0.8826690938637072
free -> free+education,free,free+education,ap,,0.5,rare-first,0.5232080100789073,0.10862192321319364,0.02362254705572797,0.7825250524301278
free -> free+education+hours,free,free+education+hours,ap,,0.5,rare-first,0.5232080100789073,0.10862192321319364,0.015825299390334946,0.8543084220735585
free+education -> free+education+hours,free+education,free+education+hours,ap,,0.5,rare-first,0.5232080100789073,0.02362254705572797,0.015825299390334946,0.33007650051446746
nothing -> free,nothing,free,ap,,0.75,rare-first,0.8137059876666004,0.15994550438245275,0.1248593896641329,0.21936293147961128
nothing -> free+education,nothing,free+education,ap,,0.75,rare-first,0.8137059876666004,0.15994550438245275,0.03121176323569519,0.8048600155646553
nothing -> free+education+hours,nothing,free+education+hours,ap,,0.75,rare-first,0.8137059876666004,0.15994550438245275,0.021602266442711238,0.8649398335632047
free -> free+education,free,free+education,ap,,0.75,rare-first,0.8137059876666004,0.1248593896641329,0.03121176323569519,0.7500247012286888
free -> free+education+hours,free,free+education+hours,ap,,0.75,rare-first,0.8137059876666004,0.1248593896641329,0.021602266442711238,0.8269872494105527
free+education -> free+education+hours,free+education,free+education+hours,ap,,0.75,rare-first,0.8137059876666004,0.03121176323569519,0.021602266442711238,0.30788061284516266
nothing -> free,nothing,free,ap,,1.0,full,1.0,0.16929951440484187,0.13550399165563964,0.19961972642395065
nothing -> free+education,nothing,free+education,ap,,1.0,full,1.0,0.16929951440484187,0.03604218884086352,0.7871099101047822
nothing -> free+education+hours,nothing,free+education+hours,ap,,1.0,full,1.0,0.16929951440484187,0.026029009835612182,0.8462546692640261
free -> free+education,free,free+education,ap,,1.0,full,1.0,0.13550399165563964,0.03604218884086352,0.7340138220248256
free -> free+education+hours,free,free+education+hours,ap,,1.0,full,1.0,0.13550399165563964,0.026029009835612182,0.807909645187719
free+education -> free+education+hours,free+education,free+education+hours,ap,,1.0,full,1.0,0.03604218884086352,0.026029009835612182,0.2778182826093709
nothing -> free,nothing,free,auc,,0.25,rare-first,0.26748889330946224,0.07406709072803208,0.01996407829696123,0.7304595320171601
nothing -> free+education,nothing,free+education,auc,,0.25,rare-first,0.26748889330946224,0.07406709072803208,5.490539674690709e-05,0.9992587072584164
nothing -> free+education+hours,nothing,free+education+hours,auc,,0.25,rare-first,0.26748889330946224,0.07406709072803208,0.000385206228143975,0.994799225616159
free -> free+education,free,free+education,auc,,0.25,rare-first,0.26748889330946224,0.01996407829696123,5.490539674690709e-05,0.9972497905523009
free -> free+education+hours,free,free+education+hours,auc,,0.25,rare-first,0.26748889330946224,0.01996407829696123,0.000385206228143975,0.9807050331894056
free+education -> free+education+hours,free+education,free+education+hours,auc,,0.25,rare-first,0.26748889330946224,5.490539674690709e-05,0.000385206228143975,-6.015817223207194
nothing -> free,nothing,free,auc,,0.5,rare-first,0.5232080100789073,0.17630569986851008,0.04048599156509003,0.7703648175000313
nothing -> free+education,nothing,free+education,auc,,0.5,rare-first,0.5232080100789073,0.17630569986851008,0.006126728217321076,0.9652494036103744
nothing -> free+education+hours,nothing,free+education+hours,auc,,0.5,rare-first,0.5232080100789073,0.17630569986851008,0.004918938148282481,0.9720999482606004
free -> free+education,free,free+education,auc,,0.5,rare-first,0.5232080100789073,0.04048599156509003,0.006126728217321076,0.8486704170880679
free -> free+education+hours,free,free+education+hours,auc,,0.5,rare-first,0.5232080100789073,0.04048599156509003,0.004918938148282481,0.878502712713008
free+education -> free+education+hours,free+education,free+education+hours,auc,,0.5,rare-first,0.5232080100789073,0.006126728217321076,0.004918938148282481,0.1971345922647607
nothing -> free,nothing,free,auc,,0.75,rare-first,0.8137059876666004,0.21595341114653532,0.05345653113686011,0.7524626684382997
nothing -> free+education,nothing,free+education,auc,,0.75,rare-first,0.8137059876666004,0.21595341114653532,0.011747085221409881,0.9456036134875457
nothing -> free+education+hours,nothing,free+education+hours,auc,,0.75,rare-first,0.8137059876666004,0.21595341114653532,0.008755239653854718,0.9594577385586475
free -> free+education,free,free+education,auc,,0.75,rare-first,0.8137059876666004,0.05345653113686011,0.011747085221409881,0.780249766088734
free -> free+education+hours,free,free+education+hours,auc,,0.75,rare-first,0.8137059876666004,0.05345653113686011,0.008755239653854718,0.8362175871187856
free+education -> free+education+hours,free+education,free+education+hours,auc,,0.75,rare-first,0.8137059876666004,0.011747085221409881,0.008755239653854718,0.25468833426885473
nothing -> free,nothing,free,auc,,1.0,full,1.0,0.2301043363362436,0.06031288678230573,0.7378889605358303
