claim_id,macro,value,n_uses,locations,sections,generator,source_line,result_file,verified_independently,unresolved,headline
K001,Dabs,$+0.0804$,1,50_cmdb.tex:284,"The absorption, and why the ratio is secondary",round21_numbers.py,662,s39_absorption.csv,False,False,False
K002,DabsCorpus,$+0.0899$,0,,,,0,,False,False,False
K003,DabsHi,$+0.0914$,1,50_cmdb.tex:285,"The absorption, and why the ratio is secondary",round21_numbers.py,664,s39_absorption.csv,False,False,False
K004,DabsHiCorpus,$+0.1256$,0,,,,0,,False,False,False
K005,DabsLo,$+0.0626$,1,50_cmdb.tex:284,"The absorption, and why the ratio is secondary",round21_numbers.py,663,s39_absorption.csv,False,False,False
K006,DabsLoCorpus,$+0.0634$,0,,,,0,,False,False,False
K007,Rref,0.437,1,50_cmdb.tex:285,"The absorption, and why the ratio is secondary",round21_numbers.py,665,s39_absorption.csv,False,False,False
K008,RrefCorpus,0.350,0,,,,0,,False,False,False
K009,RrefKind,bounded,1,50_cmdb.tex:285,"The absorption, and why the ratio is secondary",round21_numbers.py,667,s39_absorption.csv,False,False,False
K010,RrefKindCorpus,bounded,0,,,,0,,False,False,False
K011,VCorruptDelta,$-0.0357$,0,,,make_numbers.py,755,s14_facts.csv,False,False,False
K012,VDuplicateDelta,$-0.0003$,0,,,make_numbers.py,756,s14_facts.csv,False,False,False
K013,VPopCommon,$+0.1055$,0,,,make_numbers.py,754,s14_facts.csv,False,False,False
K014,VPopRare,$+0.1039$,0,,,make_numbers.py,753,s14_facts.csv,False,False,False
K015,VStaleDelta,$+0.0000$,0,,,make_numbers.py,757,s14_facts.csv,False,False,False
K016,VTone,$+0.1838$,0,,,make_numbers.py,544,s17_facts.csv,True,False,False
K017,VToneLo,$+0.1644$,0,,,make_numbers.py,545,s17_facts.csv,False,False,False
K018,VTonehi,$+0.1912$,0,,,make_numbers.py,546,s17_facts.csv,False,False,False
K019,VTtwoGroup,$+0.1034$,2,50_cmdb.tex:93; 50_cmdb.tex:171,The leakage tipping point; Three decision times,make_numbers.py,547,s17_facts.csv,True,False,False
K020,VTtwoGroupHi,$+0.1115$,1,50_cmdb.tex:94,Three decision times,make_numbers.py,549,s17_facts.csv,False,False,False
K021,VTtwoGroupLo,$+0.0763$,1,50_cmdb.tex:93,Three decision times,make_numbers.py,548,s17_facts.csv,False,False,False
K022,VTtwoKnow,$-0.0029$,4,50_cmdb.tex:33; 50_cmdb.tex:55; 50_cmdb.tex:95; 50_cmdb.tex:166,"One log, two published answers, and what separates them; The leakage tipping point; Three decision times",make_numbers.py,550,s17_facts.csv,True,False,False
K023,VTtwoKnowHi,$+0.0015$,2,50_cmdb.tex:95; 50_cmdb.tex:167,The leakage tipping point; Three decision times,make_numbers.py,552,s17_facts.csv,False,False,False
K024,VTtwoKnowLo,$-0.0078$,2,50_cmdb.tex:95; 50_cmdb.tex:166,The leakage tipping point; Three decision times,make_numbers.py,551,s17_facts.csv,False,False,False
K025,VpublishedTauTwo,$-0.0032$,1,50_cmdb.tex:54,"One log, two published answers, and what separates them",round21_numbers.py,216,s32_tiebreak.csv,False,False,False
K026,VregisteredTauTwo,$+0.00768$,1,50_cmdb.tex:34,"One log, two published answers, and what separates them",round21_numbers.py,217,s32_tiebreak.csv,True,False,False
K027,VtauOne,$+0.2013$,1,50_cmdb.tex:88,Three decision times,round21_numbers.py,714,s38_facts.csv,False,False,False
K028,VtauOneHi,$+0.2224$,1,50_cmdb.tex:88,Three decision times,round21_numbers.py,743,s38_ladder.csv,False,False,False
K029,VtauOneLo,$+0.1930$,1,50_cmdb.tex:88,Three decision times,round21_numbers.py,742,s38_ladder.csv,False,False,False
K030,VtauTwo,$+0.1838$,1,50_cmdb.tex:93,Three decision times,round21_numbers.py,715,s38_facts.csv,False,False,False
K031,VtauTwoKnowledge,$-0.0029$,0,,,round21_numbers.py,733,s38_facts.csv,True,False,False
K032,VtauTwoMatched,$+0.1914$,0,,,round21_numbers.py,732,s38_facts.csv,False,False,False
K033,VtauZero,$+0.2310$,1,50_cmdb.tex:84,Three decision times,round21_numbers.py,713,s38_facts.csv,False,False,False
K034,VtauZeroHi,$+0.2618$,1,50_cmdb.tex:85,Three decision times,round21_numbers.py,739,s38_ladder.csv,False,False,False
K035,VtauZeroLo,$+0.2204$,1,50_cmdb.tex:85,Three decision times,round21_numbers.py,738,s38_ladder.csv,False,False,False
K036,agreeTolerance,$1.1 \times 10^{-16}$,1,70_standard.tex:53,\texttt{fieldvalue,make_numbers.py,642,s11_facts.csv,False,False,False
K037,aiModelDate,2026-08-24,1,90_backmatter.tex:28,Declaration of generative AI and AI-assisted technologies,round21_numbers.py,72,,False,False,False
K038,aiModelId,claude-opus-5,1,90_backmatter.tex:28,Declaration of generative AI and AI-assisted technologies,round21_numbers.py,71,,False,False,False
K039,auditBJustifiedPct,18\%,1,app_pilot.tex:118,"The prevalence estimates, and their denominators",make_numbers.py,607,s06_two_screens.csv,False,False,False
K040,auditBStatedPct,85\%,1,app_pilot.tex:117,"The prevalence estimates, and their denominators",make_numbers.py,606,s06_two_screens.csv,False,False,False
K041,auditBootWidthPct,27\%,1,app_pilot.tex:150,"The prevalence estimates, and their denominators",round20_numbers.py,481,s30_facts.csv,True,False,False
K042,auditBoundHi,48\%,2,app_pilot.tex:85; app_pilot.tex:170,"Four limits, stated rather than buried; What is missing, and what it could do",make_numbers.py,627,s06_missing_bounds.csv,False,False,False
K043,auditBoundLo,9\%,2,app_pilot.tex:85; app_pilot.tex:170,"Four limits, stated rather than buried; What is missing, and what it could do",make_numbers.py,626,s06_missing_bounds.csv,False,False,False
K044,auditDesignWidthPct,19\%,1,app_pilot.tex:149,"The prevalence estimates, and their denominators",round20_numbers.py,480,s30_facts.csv,True,False,False
K045,auditHalfWidthPct,18,2,app_pilot.tex:94; app_pilot.tex:164,"Four limits, stated rather than buried; What this design can and cannot resolve",make_numbers.py,621,s06_two_screens.csv,False,False,False
K046,auditKappa,0.20,1,app_pilot.tex:43,"The two-stratum adjudication, and why it is the point",make_numbers.py,605,s06_two_screens.csv,False,False,False
K047,auditMJustifiedPct,5\%,1,app_pilot.tex:119,"The prevalence estimates, and their denominators",make_numbers.py,608,s06_two_screens.csv,False,False,False
K048,auditMaxGapPct,13\%,1,app_pilot.tex:153,"The prevalence estimates, and their denominators",round20_numbers.py,483,s30_facts.csv,False,False,False
K049,auditMaxWeight,1.00,2,app_corrections.tex:118; app_pilot.tex:23,Flow,make_numbers.py,572,r35_facts.csv,False,False,False
K050,auditPrec,0.481,1,app_pilot.tex:42,"The two-stratum adjudication, and why it is the point",make_numbers.py,604,s06_two_screens.csv,True,False,False
K051,auditPrecReg,0.301,0,,,make_numbers.py,600,s06_two_screens.csv,False,False,False
K052,auditRangeBaselinePct,34\%,1,app_pilot.tex:120,"The prevalence estimates, and their denominators",make_numbers.py,610,s06_two_screens.csv,False,False,False
K053,auditRangeMetricPct,15\%,1,app_pilot.tex:121,"The prevalence estimates, and their denominators",make_numbers.py,611,s06_two_screens.csv,False,False,False
K054,auditRangePopulationPct,0\%,1,app_pilot.tex:123,"The prevalence estimates, and their denominators",make_numbers.py,613,s06_two_screens.csv,False,False,False
K055,auditRangeThresholdPct,5\%,2,app_corrections.tex:67; app_pilot.tex:122,"The prevalence estimates, and their denominators",make_numbers.py,612,s06_two_screens.csv,False,False,False
K056,auditSens,0.474,3,70_standard.tex:75; app_corrections.tex:62; app_pilot.tex:41,"Beyond process logs, and beyond this paper's claims; The two-stratum adjudication, and why it is the point",make_numbers.py,584,r35_facts.csv,True,False,False
K057,auditSensHi,0.602,1,app_pilot.tex:41,"The two-stratum adjudication, and why it is the point",make_numbers.py,589,s06_screen_accuracy.csv,False,False,False
K058,auditSensLo,0.347,1,app_pilot.tex:41,"The two-stratum adjudication, and why it is the point",make_numbers.py,588,s06_screen_accuracy.csv,False,False,False
K059,auditSensReg,0.569,0,,,make_numbers.py,598,s06_two_screens.csv,False,False,False
K060,auditSpec,0.911,1,app_pilot.tex:42,"The two-stratum adjudication, and why it is the point",make_numbers.py,593,s06_screen_accuracy.csv,True,False,False
K061,auditSpecReg,0.769,0,,,make_numbers.py,599,s06_two_screens.csv,False,False,False
