org,k,auc,sd,base,gain
Rabobank,2,0.5835544215454338,0.012582431103028802,0.565556138314809,0.0179982832306248
Rabobank,4,0.6071437998937468,0.013430358560755636,0.565556138314809,0.041587661578937785
Rabobank,8,0.6370888943445074,0.013883654745708837,0.565556138314809,0.07153275602969844
Rabobank,16,0.6673039478256151,0.020487353268096843,0.565556138314809,0.10174780951080609
Rabobank,32,0.694563779535829,0.00986470810625989,0.565556138314809,0.12900764122102004
Rabobank,64,0.7115600173471165,0.0075990019016060764,0.565556138314809,0.1460038790323075
Rabobank,128,0.7208337993948639,0.007181364755974607,0.565556138314809,0.15527766108005492
Rabobank,256,0.7295006708660342,0.006080244004180053,0.565556138314809,0.1639445325512252
Rabobank,512,0.7313494472466485,0.006814051877606085,0.565556138314809,0.16579330893183952
Rabobank,1024,0.7329293848950551,0.0043776909636204075,0.565556138314809,0.1673732465802461
Rabobank,2048,0.7349240275943435,0.0017226113867033763,0.565556138314809,0.1693678892795345
Rabobank,3019,0.7385671824414273,0.0,0.565556138314809,0.17301104412661827
VolvoIT,2,0.8122094151434004,0.004866071836615096,0.8076837410844001,0.004525674059000284
VolvoIT,4,0.8232229123533472,0.0063798612902116825,0.8076837410844001,0.015539171268947105
VolvoIT,8,0.8312788011629302,0.003578656491869409,0.8076837410844001,0.023595060078530072
VolvoIT,16,0.843878081334231,0.006182194462075988,0.8076837410844001,0.036194340249830925
VolvoIT,32,0.8548179251857364,0.006712121280837209,0.8076837410844001,0.047134184101336296
VolvoIT,64,0.8604401315467542,0.005210493773740461,0.8076837410844001,0.05275639046235414
VolvoIT,128,0.862245187221269,0.003437515745132745,0.8076837410844001,0.05456144613686886
VolvoIT,256,0.8658106678410707,0.006694114792214072,0.8076837410844001,0.05812692675667064
VolvoIT,512,0.8683652497886578,0.0046262167338788135,0.8076837410844001,0.0606815087042577
VolvoIT,704,0.8678162665087296,0.0,0.8076837410844001,0.06013252542432945
ServiceNow-IT,2,0.5670201975350343,0.006539442373360164,0.5588973142517301,0.008122883283304239
ServiceNow-IT,4,0.5834951009515811,0.012672341069915907,0.5588973142517301,0.02459778669985102
ServiceNow-IT,8,0.5866122253593102,0.019577700426880465,0.5588973142517301,0.027714911107580176
ServiceNow-IT,16,0.6074201478155262,0.014733707386099562,0.5588973142517301,0.048522833563796164
ServiceNow-IT,32,0.6304162174026852,0.006806686091281189,0.5588973142517301,0.0715189031509551
ServiceNow-IT,64,0.6368888220815373,0.008373839932879748,0.5588973142517301,0.07799150782980724
ServiceNow-IT,128,0.6440693206647345,0.010436901047761503,0.5588973142517301,0.08517200641300449
ServiceNow-IT,247,0.6531879701950649,0.0,0.5588973142517301,0.09429065594333486
