org,condition,n_feat,auc,lo,hi,ap,n_train,n_test,base
ServiceNow-IT,trivial (majority),0,0.5,,,0.39018191546281433,17442,7476,0.39018191546281433
ServiceNow-IT,intake,9,0.6994694480314962,0.6871650626906364,0.7113194671430078,0.6270147810190484,17442,7476,0.39018191546281433
ServiceNow-IT,config-only,1,0.5,0.5,0.5,0.39018191546281433,17442,7476,0.39018191546281433
ServiceNow-IT,intake+config,10,0.6994304589737734,0.6871351322500661,0.7113315736864225,0.6250365749130117,17442,7476,0.39018191546281433
VolvoIT,trivial (majority),0,0.5,,,0.36082928981032203,5287,2267,0.36082928981032203
VolvoIT,intake,5,0.8678162665087296,0.8506309107036887,0.883480859817928,0.8286725067214862,5287,2267,0.36082928981032203
Rabobank,trivial (majority),0,0.5,,,0.3726219424974968,32624,13982,0.3726219424974968
Rabobank,intake,4,0.5664214373425127,0.5567316066642154,0.575166574693134,0.42698932785960014,32624,13982,0.3726219424974968
Rabobank,config-only,4,0.7424857315152995,0.7339557814033048,0.7510947991872304,0.6402314525561535,32624,13982,0.3726219424974968
Rabobank,intake+config,8,0.742804360060321,0.7348935561479055,0.7514983446305006,0.6428547199903605,32624,13982,0.3726219424974968
