layer,rate,auc,retained
CI layer (service held at 99.6%),1.0,0.7342061593641609,1.0
CI layer (service held at 99.6%),0.9,0.7303496971256476,0.8589842217002895
CI layer (service held at 99.6%),0.75,0.7286544748908803,0.7969965583856256
CI layer (service held at 99.6%),0.65,0.7250558207146627,0.665407815100935
CI layer (service held at 99.6%),0.5,0.7195820265011775,0.46525251640296933
CI layer (service held at 99.6%),0.35,0.7143635049096192,0.27443154155760663
CI layer (service held at 99.6%),0.2,0.7086570710505333,0.06576951865004492
CI layer (service held at 99.6%),0.1,0.705964884670558,-0.0326732338573566
CI layer (service held at 99.6%),0.05,0.7041473650456478,-0.09913283559340501
CI layer (service held at 99.6%),0.02,0.7042132372633918,-0.09672414558712589
CI layer (service held at 99.6%),0.002,0.7049435945203417,-0.07001783014675007
CI layer (service held at 99.6%),0.0,0.70685842363549,0.0
service + CI together,1.0,0.7342061593641609,1.0
service + CI together,0.9,0.7217713368657734,0.9297825914379023
service + CI together,0.75,0.7061641861471635,0.8416515643451563
service + CI together,0.65,0.6889885414505935,0.7446635083328669
service + CI together,0.5,0.6580356009743094,0.5698773167403945
service + CI together,0.35,0.6290530477579596,0.40621757968913547
service + CI together,0.2,0.597521750632137,0.22816550270420882
service + CI together,0.1,0.5752666260339784,0.10249445458816679
service + CI together,0.05,0.5641320030668162,0.03961906009246477
service + CI together,0.02,0.5588755674791455,0.009936828175789569
service + CI together,0.002,0.5565718751121392,-0.003071745783061797
service + CI together,0.0,0.5571158515184853,0.0
