capacity,model,k,caught,recall,precision,lift,excess_hours
0.05,intake-only,699,371,0.07120921305182341,0.530758226037196,1.4243880069965593,9639.166111042
0.05,intake+CMDB,699,638,0.12245681381957774,0.9127324749642346,2.449486653541253,23602.3265278615
0.1,intake-only,1398,747,0.14337811900191938,0.5343347639484979,1.4339863089304985,22329.757083283497
0.1,intake+CMDB,1398,1098,0.2107485604606526,0.7854077253218884,2.107787104693022,37743.2251390435
0.15,intake-only,2097,1107,0.21247600767754318,0.5278969957081545,1.416709365449408,32532.7943051085
0.15,intake+CMDB,2097,1487,0.2854126679462572,0.709108249880782,1.9030233301023212,46426.370555495
0.2,intake-only,2796,1408,0.27024952015355086,0.5035765379113019,1.3514409122986224,41812.3156937305
0.2,intake+CMDB,2796,1812,0.34779270633397313,0.648068669527897,1.739212310429761,56079.215694325496
0.3,intake-only,4194,1961,0.3763915547024952,0.4675727229375298,1.2548180061636356,58324.9684714925
0.3,intake+CMDB,4194,2567,0.4927063339731286,0.612064854554125,1.6425894042947744,79269.90180517551
0.5,intake-only,6991,2887,0.554126679462572,0.41295951938206266,1.108253358925144,85043.77638808699
0.5,intake+CMDB,6991,3835,0.736084452975048,0.5485624374195394,1.4721689059500958,103475.60930487751
