org,field,tag,population,cardinality,eff_granularity,auc
VolvoIT,product,component-ish,1.0,615,9.264442600226602,0.7425372189909237
Rabobank,CI Name (aff),configuration,1.0,2633,11.362491806046062,0.7311214775157038
Rabobank,Service Component WBS (aff),configuration,1.0,259,8.016808287686555,0.7124152446319776
VolvoIT,organization country,other,1.0,22,4.459431618637297,0.6844552604359131
ServiceNow-IT,category,other,0.9984348663616662,43,5.417771925204009,0.6189295597439821
ServiceNow-IT,subcategory,component-ish,0.9972309174091019,210,7.692884134701239,0.6146922349663345
Rabobank,CI Subtype (aff),other,1.0,60,5.906890595608519,0.5721314569214733
VolvoIT,organization involved,other,1.0,17,4.087462841250339,0.5710725380120512
Rabobank,CI Type (aff),other,1.0,13,3.700439718141092,0.5655381413378634
VolvoIT,resource country,other,1.0,28,4.807354922057604,0.5580596010063429
VolvoIT,impact,other,1.0,4,2.0,0.5555471187447375
Rabobank,Category,other,1.0,4,2.0,0.5538955960905096
Rabobank,Priority,other,1.0,4,2.0,0.55166109362104
Rabobank,Urgency,other,1.0,5,2.321928094887362,0.5503057407402545
Rabobank,Impact,other,1.0,4,2.0,0.5497824499169842
ServiceNow-IT,opened_by,other,0.971346014928967,151,7.030995597986363,0.539251152921852
ServiceNow-IT,location,other,0.9979131551488883,190,7.554058494131044,0.5237284322270542
ServiceNow-IT,caller_id,other,0.9998796051047436,4526,12.142558791146346,0.5182834618042211
ServiceNow-IT,priority,other,1.0,4,2.0,0.514892616916228
ServiceNow-IT,impact,other,1.0,3,1.584962500721156,0.5126918594381681
ServiceNow-IT,urgency,other,1.0,3,1.584962500721156,0.5121292063534794
ServiceNow-IT,contact_type,other,1.0,2,1.0,0.5009122386764986
ServiceNow-IT,cmdb_ci,configuration,0.002046713219359453,40,0.010892460584286433,0.5
