split,model,intake,both,delta
0.6,HistGradientBoosting,0.5511775630592985,0.7339622462843765,0.1827846832250779
0.6,RandomForest,0.5665356118254818,0.7438733450141489,0.17733773318866708
0.6,LogisticRegression,0.5600355556207205,0.7381605770029667,0.17812502138224617
0.7,HistGradientBoosting,0.5664214373425127,0.742804360060321,0.1763829227178083
0.7,RandomForest,0.567402157711721,0.7544308994856255,0.1870287417739045
0.7,LogisticRegression,0.5633547743518245,0.749854798858346,0.1865000245065216
0.8,HistGradientBoosting,0.5736750172782659,0.7664541940151294,0.1927791767368635
0.8,RandomForest,0.5743530163823429,0.7717358996268411,0.19738288324449815
0.8,LogisticRegression,0.5709983444340699,0.7635211956574894,0.1925228512234195
0.9,HistGradientBoosting,0.5701714952639008,0.7716874745887645,0.20151597932486376
0.9,RandomForest,0.5711228878098835,0.781036445415741,0.2099135576058575
0.9,LogisticRegression,0.5665037469881649,0.7647816822864829,0.19827793529831805
