threshold,split,n,pos_rate,n_train,n_test,gain_intake,gain_plus_group,shrinkage
1,0.55,7554,0.5056923484246757,4154,3400,0.23639317902741486,0.08459350083948525,64.2149146656745
1,0.6,7554,0.5056923484246757,4532,3022,0.2497713647706381,0.0804364219459619,67.79597932700345
1,0.65,7554,0.5056923484246757,4910,2644,0.2452786490137734,0.08553261976144044,65.12838760921362
1,0.7,7554,0.5056923484246757,5287,2267,0.2381994327088408,0.0922721343950218,61.262655689105216
1,0.75,7554,0.5056923484246757,5665,1889,0.23597676419965574,0.09235677403491527,60.86192030467294
1,0.8,7554,0.5056923484246757,6043,1511,0.2524888537183224,0.10002123101271942,60.385882568779245
2,0.55,7554,0.27217368281705057,4154,3400,0.24264243403443786,0.11223560602069282,53.744444384874825
2,0.6,7554,0.27217368281705057,4532,3022,0.2463888343867524,0.11630888180497934,52.79458093364278
2,0.65,7554,0.27217368281705057,4910,2644,0.2593759787034138,0.13413239029822177,48.286502486185555
2,0.7,7554,0.27217368281705057,5287,2267,0.24882549943647336,0.1394911032859737,43.94018956984487
2,0.75,7554,0.27217368281705057,5665,1889,0.2426940977744233,0.13956238712633762,42.49452771774591
2,0.8,7554,0.27217368281705057,6043,1511,0.2631198154967823,0.15553323661793683,40.88881663120547
