threshold,delta_honest,honest_lo,honest_hi,delta_naive,naive_lo,naive_hi,honest_resolved,honest_negative,naive_resolved
0.05,-4.245415915676842e-05,-0.0002663033619834665,0.00012350300845609397,-0.00014280035352737253,-0.0003627900873398038,7.718938028478117e-06,False,False,False
0.075,0.0002853920871079829,-0.00025174951295062615,0.0007531675548834477,0.000392414119773532,-0.00020616605459314595,0.000919695819600506,False,False,False
0.1,0.0008147767918978976,4.073883959487823e-05,0.0015317803687679432,0.0014421549216592222,0.0005377526826526036,0.0022976705531519426,True,False,True
0.125,0.002639876805749064,0.001508239139316317,0.003739825474811165,0.0028179637331210428,0.0017494421688892814,0.003865795786672828,True,False,True
0.15,0.004322151240785221,0.002519098128361874,0.006190662082828357,0.004805265950334092,0.002816731297637487,0.0067040792998287945,True,False,True
0.175,0.011690565551385396,0.00877953473282359,0.0145327662486862,0.01227276060450519,0.009263901017952478,0.015246566271351767,True,False,True
0.2,0.017195864193004312,0.014041761384468708,0.020367841167412182,0.019304099142040038,0.016040918090489104,0.022494408594265592,True,False,True
0.225,0.026318341703193637,0.022871481051314386,0.029850714493538672,0.03003687784892617,0.026436024383378248,0.033521349648844366,True,False,True
0.25,0.03407396543716848,0.030186869057221753,0.03813155386081982,0.03979369851629147,0.03578377453496613,0.04351030285253355,True,False,True
0.275,0.047411580563022,0.04296115031873229,0.05199097030644318,0.0535156635219092,0.04884189312544727,0.05811054104831427,True,False,True
0.3,0.06492839857949487,0.05977435338731814,0.07018798646539352,0.06987292973946933,0.06467698174085208,0.0747965094962235,True,False,True
0.325,0.08692582000494298,0.08077024924022062,0.0930801007064115,0.09281937213300412,0.08663229666566175,0.09881511085038251,True,False,True
0.35,0.06335704333797759,0.055600995030488334,0.07078606844501105,0.11217784195711894,0.1053845307731793,0.11899216498101879,True,False,True
0.375,0.046608491603725155,0.038922783603431835,0.05424946835814329,0.13255114761311135,0.12455745398548067,0.14033915083962747,True,False,True
0.4,0.040673657451541126,0.03302290337562025,0.04893549412138544,0.09716213243381976,0.08855686734619052,0.10598860942044926,True,False,True
0.425,0.009354346072545594,0.001510357052902744,0.017280990655218684,0.08418273813888685,0.07516291993330167,0.0932088531520703,True,False,True
0.45,-0.0007932963128387399,-0.008506769684081393,0.006960008532935129,0.06569026778750325,0.056595525542141374,0.07450518975781129,False,False,True
0.475,-0.010329041787573726,-0.01829406691179808,-0.0024177046341011905,0.0614015790374227,0.05240932407281313,0.0705959277455941,False,True,True
0.5,-0.01613258047957762,-0.02302559213903351,-0.008871086015985921,0.08410940822761603,0.07545281220209724,0.09320231722519616,False,True,True
0.525,-0.021099717100921248,-0.027680497717124095,-0.014402959440840142,0.0762592482526254,0.06806569202209159,0.08497016630451981,False,True,True
0.55,0.00219174957020523,-0.004246412945173689,0.008702019831667109,0.05074429859939867,0.04270815510091009,0.0591446473238656,False,False,True
0.575,-0.012539414827308061,-0.018242217323975848,-0.006362340345685819,0.0367771072644061,0.028840114912284495,0.045106630318036134,False,True,True
0.6,0.0017599178704993876,-0.003666495563540359,0.00722299626017453,0.039818141820048406,0.032519065776930416,0.04722537948229083,False,False,True
0.625,0.004155361638679078,-0.0018338588643641031,0.01004680892669453,0.03749602796313949,0.030749065043631292,0.04443853731270318,False,False,True
0.65,0.004410270377858551,-0.0019914308760829225,0.01059224379052786,0.03755539027226348,0.030484029792895377,0.044409903728302176,False,False,True
0.675,0.011213835662028077,0.005668825198413823,0.01682089451210225,0.04253698929947371,0.03650630919275048,0.048974227356569505,True,False,True
0.7,0.007504094253379293,0.0018081933954193208,0.013249492801447037,0.03620053286402191,0.03004082031727409,0.04255701400601305,True,False,True
0.725,0.008352943529301951,0.0023983880752231532,0.014492823668228814,0.03363843020659036,0.027405387748571736,0.04009829541288073,True,False,True
0.75,0.015032631810515514,0.008726259441226077,0.021267507516315898,0.02999193370976021,0.023390408447605777,0.03666495563540368,True,False,True
0.775,0.018169522459322275,0.011478982832652996,0.02523384093927469,0.03400878329381665,0.027620729551139457,0.04033246966993391,True,False,True
0.8,0.020972354623450915,0.013492703673828564,0.028598665395614876,0.030871892645009894,0.02390371782650142,0.03747158465938256,True,False,True
