representation,capacity,policy,honest_extra,naive_extra,honest_lo,honest_hi,naive_lo,naive_hi,factor,factor_lo,factor_hi,frac_pos
"A0 paper, one-hot intake",0.05,random,63,271,42.95,84.02499999999998,242.0,300.0,4.301587301587301,3.150955149501661,6.388078168362623,1.0
"A0 paper, one-hot intake",0.1,random,37,361,5.925000000000004,70.02499999999998,303.95,404.0,9.756756756756756,5.492741935483871,39.94166666666662,0.98
"A0 paper, one-hot intake",0.2,random,28,470,-28.0,82.02499999999998,406.975,524.025,16.785714285714285,5.836717239327681,220.95833333333334,0.815
"A1 intake target-encoded, per field",0.05,random,68,264,45.975,87.02499999999998,234.975,295.025,3.8823529411764706,2.932135516579885,5.727320075757576,1.0
"A1 intake target-encoded, per field",0.1,random,23,344,-12.024999999999999,52.02499999999998,293.95,393.0,14.956521739130435,6.778101503759398,109.78333333333326,0.895
"A1 intake target-encoded, per field",0.2,random,8,456,-43.0,55.02499999999998,394.85,516.1749999999998,57.0,7.841269841269841,251.5,0.6025
"A2 intake target-encoded, composite",0.05,random,116,263,97.0,139.02499999999998,232.975,294.0,2.2672413793103448,1.903230490018149,2.7506617647058818,1.0
"A2 intake target-encoded, composite",0.1,random,9,349,-28.0,42.02499999999998,303.975,388.025,38.77777777777778,8.524935400516796,341.0,0.6775
"A2 intake target-encoded, composite",0.2,random,59,434,4.0,110.04999999999995,370.95,496.0,7.3559322033898304,4.261160714285714,48.23660714285709,0.9875
A3 naive arm re-encoded only,0.05,random,63,263,42.95,84.02499999999998,232.975,294.0,4.174603174603175,3.1228703703703706,6.279236111111108,1.0
A3 naive arm re-encoded only,0.1,random,37,349,5.925000000000004,70.02499999999998,303.975,388.025,9.432432432432432,5.173151408450704,39.12499999999998,0.98
A3 naive arm re-encoded only,0.2,random,28,434,-28.0,82.02499999999998,370.95,496.0,15.5,5.5119731800766285,202.33333333333334,0.815
"A0 paper, one-hot intake",0.05,oracle,24,-26,9.0,40.0,-44.0,-2.0,-1.0833333333333333,-3.405,-0.09870370370370342,0.9975
"A0 paper, one-hot intake",0.1,oracle,22,32,-12.024999999999999,61.0,-33.025,96.0,1.4545454545454546,-2.625,10.63888888888889,0.89
"A0 paper, one-hot intake",0.2,oracle,-448,62,-500.0,-400.0,-12.099999999999994,127.02499999999998,-0.13839285714285715,,,0.0
"A0 paper, one-hot intake",0.05,adversarial,104,608,70.975,136.0,592.0,623.0,5.846153846153846,4.4621488147497805,8.61535714285714,1.0
"A0 paper, one-hot intake",0.1,adversarial,100,645,65.0,133.0,581.975,708.025,6.45,4.8834558823529415,9.686119402985065,1.0
"A0 paper, one-hot intake",0.2,adversarial,302,709,233.95,375.025,641.95,772.0749999999999,2.347682119205298,1.9656589381769414,2.996778772657785,1.0
