cost_ratio,bayes_threshold,contrast,delta_cost_saved,r_times_delta_nb,abs_difference
1.0,0.5,naive,0.08410940822761603,0.08410940822761603,0.0
1.0,0.5,honest,-0.01613258047957762,-0.01613258047957762,0.0
2.0,0.3333333333333333,naive,0.19799076043117986,0.19799076043117975,1.1102230246251565e-16
2.0,0.3333333333333333,honest,0.18347143799956003,0.18347143799955998,5.551115123125783e-17
3.0,0.25,naive,0.11938109554887438,0.11938109554887441,2.7755575615628914e-17
3.0,0.25,honest,0.10222189631150547,0.10222189631150544,2.7755575615628914e-17
5.0,0.16666666666666666,naive,0.037031605191757855,0.03703160519175755,3.0531133177191805e-16
5.0,0.16666666666666666,honest,0.03417173865219625,0.034171738652196276,2.7755575615628914e-17
10.0,0.09090909090909091,naive,0.004546454498789654,0.004546454498789987,3.3306690738754696e-16
10.0,0.09090909090909091,honest,0.005499743345310559,0.005499743345310781,2.220446049250313e-16
