instrument,family,key,naive_increment,honest_increment,naive_lo,naive_hi,honest_lo,honest_hi,reduction,frac_denominator_positive,n_draws,reduction_lo,reduction_hi,tie_policy
ROC AUC,rank,auc,0.18345785349865806,0.10333536025591061,0.17228442361090682,0.19492231019987902,0.09399907132148715,0.11347648546336091,0.43673515041607924,1.0,2000,0.4017948425358718,0.47078624259926616,
Average precision,rank,ap,0.22641585509474682,0.08983934955736306,0.21360129190642654,0.23860920532954394,0.08098199934845532,0.09912786900447212,0.6032108726671612,1.0,2000,0.57292603927267,0.6337380542666471,
Brier skill,proper,brier_skill,0.16766012579149558,0.06980247674386886,0.15639867324942577,0.17863093539924474,0.06084072799113972,0.07928072761986195,0.5836667996380001,1.0,2000,0.5443966016851846,0.623417208057451,
Nagelkerke R2,proper,nagelkerke,0.2231713848632344,0.09691323907677399,0.20907402754005674,0.2370566064904522,0.08574746336125955,0.10850806153608178,0.5657452269870302,1.0,2000,0.5286933708334464,0.6027508395695302,
Net benefit @ p_t=0.2,decision,nb_0.2,0.019304099142040038,0.017195864193004312,0.016040918090489104,0.022494408594265592,0.014041761384468708,0.020367841167412182,0.10921177587844322,1.0,2000,0.05067091919672407,0.16791564005720155,
Net benefit @ p_t=0.3,decision,nb_0.3,0.06987292973946933,0.06492839857949487,0.06467698174085208,0.0747965094962235,0.05977435338731814,0.07018798646539352,0.07076461769115483,1.0,2000,0.04554794702792221,0.09658051434606917,
Net benefit @ p_t=0.325,decision,nb_0.325,0.09281937213300412,0.08692582000494298,0.08663229666566175,0.09881511085038251,0.08077024924022062,0.0930801007064115,0.06349485018726553,1.0,2000,0.037771887487160184,0.08815464840107687,
Net benefit @ p_t=0.4,decision,nb_0.4,0.09716213243381976,0.040673657451541126,0.08855686734619052,0.10598860942044926,0.03302290337562025,0.04893549412138544,0.5813836477987424,1.0,2000,0.527109438031759,0.6375623235175472,
Net benefit @ p_t=0.5,decision,nb_0.5,0.08410940822761603,-0.01613258047957762,0.07545281220209724,0.09320231722519616,-0.02302559213903351,-0.008871086015985921,1.1918047079337402,1.0,2000,1.1000845233514926,1.2944426881061708,
Expected cost @ 1:1,decision,cost_r1,0.08410940822761603,-0.01613258047957762,0.07545281220209724,0.09320231722519616,-0.02302559213903351,-0.008871086015985921,1.1918047079337402,1.0,2000,1.1000845233514926,1.2944426881061708,
Expected cost @ 2:1,decision,cost_r2,0.19799076043117986,0.18347143799956003,0.18479137640243457,0.2106841680721566,0.17063870352716873,0.19638116887878565,0.07333333333333314,1.0,2000,0.04928489145225135,0.09694400008312776,
Expected cost @ 3:1,decision,cost_r3,0.11938109554887438,0.10222189631150547,0.10735132360489837,0.1305309085576006,0.09056060717166528,0.11439466158245942,0.14373464373464373,1.0,2000,0.10971210108306242,0.17995501759564067,
Expected cost @ 5:1,decision,cost_r5,0.037031605191757855,0.03417173865219625,0.026325438146219897,0.04788626530761904,0.024565520275720454,0.04451125614138007,0.07722772277228018,1.0,2000,-0.05818594022707017,0.19651918945059987,
Expected cost @ 10:1,decision,cost_r10,0.004546454498789654,0.005499743345310559,-0.0032998460071862468,0.011587959228569212,-0.0016865879592282806,0.011879445625870844,-0.20967741935494733,0.876,2000,,,
Detection @ 5% capacity,capacity,cap_0.05_random,269.0,63.0,242.975,299.025,42.0,83.0,0.7657992565055762,1.0,400,,,random
Detection @ 5% capacity,capacity,cap_0.05_oracle,-26.0,24.0,-44.025,-4.0,7.0,41.02499999999998,,0.0125,400,,,oracle
Detection @ 5% capacity,capacity,cap_0.05_adversarial,608.0,109.0,591.975,624.0,70.0,133.0,0.8207236842105263,1.0,400,,,adversarial
Detection @ 10% capacity,capacity,cap_0.1_random,358.5,35.0,306.975,403.0,1.0,68.04999999999995,0.902370990237099,1.0,400,,,random
Detection @ 10% capacity,capacity,cap_0.1_oracle,29.0,22.0,-43.025,95.0,-18.0,64.04999999999995,0.24137931034482762,0.8075,400,,,oracle
Detection @ 10% capacity,capacity,cap_0.1_adversarial,643.0,100.0,579.0,714.025,62.975,130.0999999999999,0.8444790046656299,1.0,400,,,adversarial
Detection @ 20% capacity,capacity,cap_0.2_random,469.0,28.0,404.0,538.025,-29.025,86.04999999999995,0.9402985074626866,1.0,400,,,random
Detection @ 20% capacity,capacity,cap_0.2_oracle,58.0,-444.0,-14.024999999999999,137.02499999999998,-495.1,-392.0,8.655172413793103,0.9425,400,,,oracle
Detection @ 20% capacity,capacity,cap_0.2_adversarial,708.0,303.0,629.975,776.025,232.975,374.04999999999995,0.5720338983050848,1.0,400,,,adversarial
