contrast,fpr_lo,fpr_hi,delta_auc_band,delta_auc_total,share
naive,0.0,0.1,0.013859903509926927,0.18345785349865806,0.07554816131122077
naive,0.1,0.2,0.02101858282004931,0.18345785349865806,0.11456900001396264
naive,0.2,0.3,0.022384826446494886,0.18345785349865806,0.12201617984513606
naive,0.3,0.4,0.026104339341309422,0.18345785349865806,0.14229066155241138
naive,0.4,0.5,0.02616058186197956,0.18345785349865806,0.14259723071583258
naive,0.5,0.6,0.024170553698156086,0.18345785349865806,0.13174989915780785
naive,0.6,0.7,0.0205452546252627,0.18345785349865806,0.11198896222457429
naive,0.7,0.8,0.015588459426387424,0.18345785349865806,0.08497024863806907
naive,0.8,0.9,0.009934555216446206,0.18345785349865806,0.05415170311321055
naive,0.9,1.0,0.0036909518564542387,0.18345785349865806,0.020118799964490137
honest,0.0,0.1,-0.0006682617736804876,0.10333536025591061,-0.006466922571572146
honest,0.1,0.2,0.002994427007608276,0.10333536025591061,0.028977757470362134
honest,0.2,0.3,0.009530739695565414,0.10333536025591061,0.09223115564664876
honest,0.3,0.4,0.01713226733781035,0.10333536025591061,0.16579288343682347
honest,0.4,0.5,0.018798912373164722,0.10333536025591061,0.18192138999282634
honest,0.5,0.6,0.017476994318901526,0.10333536025591061,0.16912888555882177
honest,0.6,0.7,0.015693546287633753,0.10333536025591061,0.1518700496013039
honest,0.7,0.8,0.012552450311267657,0.10333536025591061,0.1214729428550057
honest,0.8,0.9,0.007977152610281618,0.10333536025591061,0.07719673682393088
honest,0.9,1.0,0.001847310942756905,0.10333536025591061,0.017876852010599555
