instrument,family,threshold,reduction_raw,reduction_recal,shift,rank_invariant,naive_raw,honest_raw,naive_recal,honest_recal
ROC AUC,scalar,,0.43673515041607924,0.43673515041607924,0.0,True,0.18345785349865806,0.10333536025591061,0.18345785349865806,0.10333536025591061
Average precision,scalar,,0.6032108726671612,0.6032108726671612,0.0,True,0.22641585509474682,0.08983934955736306,0.22641585509474682,0.08983934955736306
Brier skill,scalar,,0.5836667996380001,0.5980255201499348,0.014358720511934764,False,0.16766012579149558,0.06980247674386886,0.16302331277023574,0.06553121135425
Nagelkerke R2,scalar,,0.5657452269870304,0.5762807679316087,0.010535540944578203,False,0.22317138486323457,0.09691323907677399,0.21787694963351237,0.09231865378411544
Net benefit @ p_t=0.05,decision,0.05,,-1.7692307692288969,,False,-0.00014280035352737253,-4.245415915676842e-05,5.017309718530205e-05,0.0001389408845130502
Net benefit @ p_t=0.075,decision,0.075,0.2727272727273756,-1.8684210526328981,-2.1411483253602737,False,0.000392414119773532,0.0002853920871079829,7.53118007645881e-05,0.00021602595482483888
Net benefit @ p_t=0.1,decision,0.1,0.4350282485875484,0.5430107526881529,0.1079825041006045,False,0.0014421549216592222,0.0008147767918978976,0.0015154848329300141,0.0006925602731132074
Net benefit @ p_t=0.125,decision,0.125,0.06319702602231081,-0.10126582278478757,-0.16446284880709838,False,0.0028179637331210428,0.002639876805749064,0.002482741281597367,0.002734158120240082
Net benefit @ p_t=0.15,decision,0.15,0.10053859964093803,0.04020530367836761,-0.06033329596257042,False,0.004805265950334092,0.004322151240785221,0.005042509780916138,0.0048397741438732655
Net benefit @ p_t=0.175,decision,0.175,0.04743798660148857,0.16817548746518607,0.1207375008636975,False,0.01227276060450519,0.011690565551385396,0.012763848798167249,0.010617282304603542
Net benefit @ p_t=0.2,decision,0.2,0.10921177587844322,0.10962821734985784,0.0004164414714146192,False,0.019304099142040038,0.017195864193004312,0.019230769230769218,0.017122534281733492
