model,instrument,n_distinct,value,oracle,adversarial,random,span,kind,tie_policy,reduction,naive_increment,honest_increment
intake,ROC AUC,23.0,0.5623977964686157,0.7153272635219398,0.4094683294152916,0.5630376834507641,0.30585893410664816,value,,,,
intake,Average precision,23.0,0.423172445329683,0.666877131227324,0.42317244532968296,0.43595290074518667,0.243704685897641,value,,,,
intake + item,ROC AUC,872.0,0.7458556499672737,0.7458556499672737,0.7458556499672737,0.7458556499672737,0.0,value,,,,
intake + item,Average precision,872.0,0.6495883004244298,0.6495883004244298,0.6495883004244298,0.6495883004244298,0.0,value,,,,
intake + group,ROC AUC,132.0,0.6442537504512584,0.7476536403170414,0.5408538605854755,0.6470449696919143,0.20679977973156594,value,,,,
intake + group,Average precision,132.0,0.5713024733214064,0.7059476064675292,0.5713024733214065,0.5991362895142068,0.1346451331461227,value,,,,
intake + group + item,ROC AUC,1210.0,0.747589110707169,0.7518605749794247,0.7433176464349136,0.7475968791192724,0.008542928544511108,value,,,,
intake + group + item,Average precision,1210.0,0.6611418228787694,0.6691275429567525,0.6611418228787694,0.6626663283532732,0.007985720077983038,value,,,,
,ROC AUC,,,,,,,reduction,as-scored,0.43673515041607924,0.18345785349865806,0.10333536025591061
,ROC AUC,,,,,,,reduction,oracle,0.8621959706283032,0.030528386445333955,0.00420693466238331
,ROC AUC,,,,,,,reduction,adversarial,0.3981230162979603,0.3363873205519821,0.20246378584943814
,ROC AUC,,,,,,,reduction,random,0.4363817186982596,0.18392658222184044,0.10366438415757695
,Average precision,,,,,,,reduction,as-scored,0.6032108726671612,0.22641585509474682,0.08983934955736306
,Average precision,,,,,,,reduction,oracle,,-0.017288830802894117,-0.03682006351077671
,Average precision,,,,,,,reduction,adversarial,0.6032108726671619,0.22641585509474688,0.08983934955736295
,Average precision,,,,,,,reduction,random,0.7115664336015656,0.21446327529232545,0.06185840735405468
