log,attribute,cardinality,missing_rate,n,reuse,resource_like,outcome_listed,example
BPIC14,CI Name (aff),3019,0.0,46606,15.437562106657834,False,False,SUB000508
BPIC14,CI Type (aff),13,0.0,46606,3585.076923076923,False,False,subapplication
BPIC14,CI Subtype (aff),65,0.0,46606,717.0153846153846,False,False,Web Based Application
BPIC14,Service Component WBS (aff),274,0.0,46606,170.09489051094891,False,False,WBS000162
BPIC14,Incident ID,46606,0.0,46606,1.0,False,False,IM0000004
BPIC14,Status,2,0.0,46606,23303.0,False,True,Closed
BPIC14,Impact,5,0.0,46606,9321.2,False,False,4.0
BPIC14,Urgency,6,0.0,46606,7767.666666666667,False,False,4
BPIC14,Priority,5,0.0,46606,9321.2,False,False,4.0
BPIC14,Category,4,0.0,46606,11651.5,False,False,incident
BPIC14,KM number,1825,0.0,46606,25.537534246575344,False,False,KM0000553
BPIC14,Alert Status,1,0.0,46606,46606.0,False,True,closed
BPIC14,# Reassignments,41,2.145646483285414e-05,46606,1136.7317073170732,False,True,26.0
BPIC14,Open Time,46336,0.0,46606,1.005827002762431,False,False,05/02/2012 13:32:57
BPIC14,Reopen Time,2282,0.9509934343217612,46606,20.42331288343558,False,True,02/12/2013 12:31:02
BPIC14,Resolved Time,44603,0.03819250740248037,46606,1.044907293231397,False,True,04/11/2013 13:50:27
BPIC14,Close Time,46376,0.0,46606,1.0049594617905813,False,True,04/11/2013 13:51:17
BPIC14,Handle Time (Hours),31376,2.145646483285414e-05,46606,1.4854028556858745,False,True,"3871,691111"
BPIC14,Closure Code,13,0.04398575290735098,46606,3585.076923076923,False,True,Other
BPIC14,# Related Interactions,49,0.0024460369909453717,46606,951.1428571428571,False,True,1.0
BPIC14,Related Interaction,43059,0.0024460369909453717,46606,1.0823753454562344,False,False,SD0000007
BPIC14,# Related Incidents,24,0.9737801999742522,46606,1941.9166666666667,False,True,2.0
BPIC14,# Related Changes,4,0.9879843796936016,46606,11651.5,False,True,1.0
BPIC14,Related Change,232,0.9879843796936016,46606,200.88793103448276,False,True,C00000056
BPIC14,CI Name (CBy),3651,0.02375230656996953,46606,12.765269789098877,False,True,SUB000508
