log,domain,n,f,g,card_f,card_g,n_b0,nmi_f_g,entropy_f,top1pct_share,g_is_stamp,events_mean,events_median,coverage_f,has_time
BPIC14,itsm,46606,CI Name (aff),assignment group,3019,57,4,0.346049020205335,0.64925291590757,0.5572029352443891,False,10.012981161223877,7.0,0.9469317694178229,True
UCI498,itsm,24918,caller_id,assigned_to,5244,205,10,0.45332146419210284,0.9395319116739606,0.0989244722690425,True,5.687133798860262,5.0,0.8388175494917068,True
Helpdesk,itsm,4580,customer,Resource,394,17,7,0.16495732688596934,0.8523727578383683,0.1646288209606987,True,4.661135371179039,4.0,0.8056768558951966,True
BPIC13_incidents,itsm,7554,product,org:resource,704,806,5,0.5720493400201293,0.7657945378150379,0.3193010325655282,True,8.675271379401641,6.0,0.948831054256727,True
BPIC13_closed,itsm,1487,product,org:resource,337,412,5,0.8130131479474483,0.8501771227560412,0.19098856758574312,True,4.478816408876933,3.0,0.8008948545861297,True
BPIC17,lending,31509,case:RequestedAmount,org:resource,701,111,2,0.14230658569416382,0.5520053543264783,0.6101113967437874,True,38.15630454790695,35.0,0.9852956733312176,True
BPIC19,procurement,251734,case:Vendor,org:resource,1975,355,8,0.6547208405677295,0.7034022022380162,0.4145923872023644,True,6.33971970413214,5.0,0.989406919929556,True
BPIC15_1,permitting,1199,case:parts,org:resource,88,15,9,0.08744309836461428,0.5303651271433111,0.49958298582151794,True,43.55045871559633,44.0,0.9166666666666666,True
BPIC15_3,permitting,1409,case:parts,org:resource,93,10,9,0.11716267132523234,0.5412244738908344,0.38963804116394607,True,42.3569907735983,42.0,0.9219858156028369,True
BPIC15_4,permitting,1053,case:parts,org:resource,52,7,8,0.08471845707370973,0.5406474197745127,0.4444444444444444,True,44.91263057929724,44.0,0.9746835443037974,True
BPIC15_5,permitting,1156,case:parts,org:resource,106,18,8,0.15101555644898804,0.5043202229337577,0.5977508650519031,True,51.1098615916955,50.0,0.9279538904899135,True
Sepsis,healthcare,1050,Diagnose,org:group,145,4,23,0.08653601966338081,0.6688497316926698,0.38095238095238093,False,14.48952380952381,13.0,0.9206349206349206,True
RoadFines,enforcement,150370,article,org:resource,66,147,3,0.19300124884376696,0.3365691247020181,0.45270998204429075,True,3.7339229899581032,5.0,0.9995344816120236,True
