log,target,n,prevalence_full,prevalence_train,admitted_as_registered,admitted_train_only,decision_changes
BPIC13_closed,handover,1487,0.3846671149966375,0.43173076923076925,True,True,False
BPIC13_closed,duration,1487,0.3496973772696705,0.5,True,True,False
BPIC13_incidents,handover,7554,0.7415938575589092,0.7955362209192358,True,True,False
BPIC13_incidents,duration,7554,0.39608154620068836,0.49990542840930585,True,True,False
BPIC14,handover,46606,0.9266403467364717,0.9186794997547818,True,True,False
BPIC14,duration,46606,0.47817877526498737,0.5,True,True,False
BPIC15_1,handover,1199,0.8698915763135947,0.8831942789034565,True,True,False
BPIC15_1,duration,1199,0.48123436196830693,0.49821215733015495,True,True,False
BPIC15_3,handover,1409,0.8537970191625266,0.8316430020283976,True,True,False
BPIC15_3,duration,1409,0.4854506742370476,0.49797160243407707,True,True,False
BPIC15_4,handover,1053,0.8945868945868946,0.9063772048846676,True,True,False
BPIC15_4,duration,1053,0.41690408357075026,0.4993215739484396,True,True,False
BPIC15_5,handover,1156,0.9593425605536332,0.9789864029666254,False,False,False
BPIC15_5,duration,1156,0.435121107266436,0.49938195302843014,True,True,False
BPIC17,handover,31509,0.9977466755530165,0.9975516866158868,False,False,False
BPIC17,duration,31509,0.4982068615316259,0.5,True,True,False
BPIC19,handover,251734,0.963147608189597,0.9749507698069949,False,False,False
BPIC19,duration,251734,0.3985953427030119,0.4999744627240896,True,True,False
Helpdesk,handover,4580,0.9993449781659388,0.9996880848409233,False,False,False
Helpdesk,duration,4580,0.4853711790393013,0.5,True,True,False
RoadFines,handover,150370,0.0036908957903837203,0.0037241471038106004,False,False,False
RoadFines,duration,150370,0.4786460065172574,0.4999952498123676,True,True,False
Sepsis,handover,1050,1.0,1.0,False,False,False
Sepsis,duration,1050,0.4828571428571429,0.4993197278911565,True,True,False
UCI498,handover,24918,0.3591379725499639,0.333104001834652,True,True,False
UCI498,duration,24918,0.4357492575648126,0.5,True,True,False
