log,domain,target,f_rule,g_rule,instrument,base,with_f,base_g,with_gf,naive,honest,reduction
BPIC14,itsm,handover,registered,primary,auc,0.641127051868453,0.8983072579166639,0.732497973024232,0.8997695055917664,0.2571802060482109,0.16727153256753435,0.3495940642641149
BPIC14,itsm,handover,registered,primary,ap,0.9619036277076416,0.9921092920749628,0.973294516368866,0.9919963379852348,0.030205664367321194,0.018701821616368797,0.38085051237602097
BPIC14,itsm,handover,registered,primary,brier_skill,0.015421468344613998,0.284232990555189,0.04975913228633977,0.29715430682038924,0.268811522210575,0.24739517453404947,0.07967049738198706
BPIC14,itsm,handover,registered,primary,nagelkerke,0.05080610154344653,0.41282821454016927,0.15750539683939907,0.4239992693942419,0.3620221129967227,0.2664938725548428,0.2638740480550278
BPIC14,itsm,handover,registered,primary,nb_0.2,0.9315190959805464,0.9331283078243456,0.9297310828207695,0.933021027034759,0.001609211843799252,0.0032899442139894264,-1.044444444444348
BPIC14,itsm,handover,registered,primary,nb_0.3,0.9217361096920531,0.9248114923268693,0.9199480965322763,0.9250873572143777,0.003075382634816215,0.005139260682101465,-0.6710963455149339
BPIC14,itsm,handover,registered,primary,nb_0.4,0.9084775663948887,0.9149144137700854,0.9069279549897487,0.9164640251752253,0.006436847375196675,0.009536070185476642,-0.48148148148149494
BPIC14,itsm,handover,registered,primary,nb_0.5,0.890215991989701,0.902732084108139,0.8867114861965384,0.9031612072664855,0.01251609211843796,0.016449721069947132,-0.31428571428572205
BPIC14,itsm,handover,amended,primary,auc,0.641127051868453,0.8983072579166639,0.732497973024232,0.8997695055917664,0.2571802060482109,0.16727153256753435,0.3495940642641149
BPIC14,itsm,handover,amended,primary,ap,0.9619036277076416,0.9921092920749628,0.973294516368866,0.9919963379852348,0.030205664367321194,0.018701821616368797,0.38085051237602097
BPIC14,itsm,handover,amended,primary,brier_skill,0.015421468344613998,0.284232990555189,0.04975913228633977,0.29715430682038924,0.268811522210575,0.24739517453404947,0.07967049738198706
BPIC14,itsm,handover,amended,primary,nagelkerke,0.05080610154344653,0.41282821454016927,0.15750539683939907,0.4239992693942419,0.3620221129967227,0.2664938725548428,0.2638740480550278
BPIC14,itsm,handover,amended,primary,nb_0.2,0.9315190959805464,0.9331283078243456,0.9297310828207695,0.933021027034759,0.001609211843799252,0.0032899442139894264,-1.044444444444348
BPIC14,itsm,handover,amended,primary,nb_0.3,0.9217361096920531,0.9248114923268693,0.9199480965322763,0.9250873572143777,0.003075382634816215,0.005139260682101465,-0.6710963455149339
BPIC14,itsm,handover,amended,primary,nb_0.4,0.9084775663948887,0.9149144137700854,0.9069279549897487,0.9164640251752253,0.006436847375196675,0.009536070185476642,-0.48148148148149494
BPIC14,itsm,handover,amended,primary,nb_0.5,0.890215991989701,0.902732084108139,0.8867114861965384,0.9031612072664855,0.01251609211843796,0.016449721069947132,-0.31428571428572205
BPIC14,itsm,duration,registered,primary,auc,0.6177990071528738,0.7467201257898446,0.6542574119051353,0.7501377200803883,0.12892111863697076,0.09588030817525295,0.2562870289293525
