log,domain,target,f_rule,g_rule,n,n_test,prevalence,f,g,n_b0,card_f,card_g,auc_b0,auc_b0f,auc_b0g,auc_b0gf,naive,honest,reduction,primary,naive_lo,naive_hi,honest_lo,honest_hi,frac_denom_pos,reduction_lo,reduction_hi,n_draws
BPIC14,itsm,duration,registered,primary,46606,13982,0.47817877526498737,CI Name (aff),assignment group,4,3019,57,0.6177990071528738,0.7467201257898446,0.6542574119051353,0.7501377200803883,0.12892111863697076,0.09588030817525295,0.2562870289293525,False,,,,,,,,
BPIC14,itsm,duration,amended,primary,46606,13982,0.47817877526498737,CI Name (aff),assignment group,4,3019,57,0.6177990071528738,0.7467201257898446,0.6542574119051353,0.7501377200803883,0.12892111863697076,0.09588030817525295,0.2562870289293525,True,0.11998788048952135,0.13789026441627406,0.08774552464510067,0.10415306181577988,1.0,0.22240266526123725,0.28900738782240654,2000.0
BPIC14,itsm,handover,registered,primary,46606,13982,0.9266403467364717,CI Name (aff),assignment group,4,3019,57,0.641127051868453,0.8983072579166639,0.732497973024232,0.8997695055917664,0.2571802060482109,0.16727153256753435,0.3495940642641149,False,,,,,,,,
BPIC14,itsm,handover,amended,primary,46606,13982,0.9266403467364717,CI Name (aff),assignment group,4,3019,57,0.641127051868453,0.8983072579166639,0.732497973024232,0.8997695055917664,0.2571802060482109,0.16727153256753435,0.3495940642641149,True,0.23656406848267003,0.2777919823138244,0.1494886616623362,0.18508047735984512,1.0,0.26951542970560616,0.42560619152511203,2000.0
UCI498,itsm,duration,registered,primary,24918,7476,0.4357492575648126,caller_id,assigned_to,10,5244,205,0.7557419761858665,0.7562317021085078,0.7869393799504498,0.7800710779658568,0.0004897259226412931,-0.006868301984592984,15.024787472040298,False,,,,,,,,
UCI498,itsm,duration,amended,primary,24918,7476,0.4357492575648126,caller_id,assigned_to,10,5244,205,0.7557419761858665,0.7562317021085078,0.7869393799504498,0.7800710779658568,0.0004897259226412931,-0.006868301984592984,15.024787472040298,True,-0.005303913785731984,0.006724737344089833,-0.0116214322452238,-0.0018388157085478679,0.5675,,,2000.0
UCI498,itsm,handover,registered,primary,24918,7476,0.3591379725499639,caller_id,assigned_to,10,5244,205,0.8160191064345315,0.8033313591173337,0.9448559087981256,0.9415231246606853,-0.012687747317197795,-0.0033327841374403144,,False,,,,,,,,
UCI498,itsm,handover,amended,primary,24918,7476,0.3591379725499639,caller_id,assigned_to,10,5244,205,0.8160191064345315,0.8033313591173337,0.9448559087981256,0.9415231246606853,-0.012687747317197795,-0.0033327841374403144,,True,-0.017268525980857267,-0.007697918662160588,-0.005141846196231642,-0.001466268007154756,0.0,,,2000.0
UCI498,itsm,handover,registered,g=assignment_group,24918,7476,0.45525323059635603,caller_id,assignment_group,10,5244,69,0.8197537741370279,0.8111821971074706,0.821323487888164,0.8122439627681193,-0.008571577029557242,-0.009079525120044729,,False,,,,,,,,
UCI498,itsm,handover,amended,g=assignment_group,24918,7476,0.45525323059635603,caller_id,assignment_group,10,5244,69,0.8197537741370279,0.8111821971074706,0.821323487888164,0.8122439627681193,-0.008571577029557242,-0.009079525120044729,,False,,,,,,,,
