log,domain,attribute,role,cardinality,missing,reuse,coverage,resource_like,g_alt
BPIC14,itsm,CI Name (aff),f_registered,3019,0.0,15.437562106657834,0.9469317694178229,False,False
BPIC14,itsm,CI Type (aff),layer,13,0.0,3585.076923076923,1.0,False,False
BPIC14,itsm,CI Subtype (aff),layer,65,0.0,717.0153846153846,0.9994278357888714,False,False
BPIC14,itsm,Service Component WBS (aff),unused,274,0.0,170.09489051094891,0.9919897010441997,False,False
BPIC14,itsm,Incident ID,unused,46606,0.0,1.0,0.0,False,False
BPIC14,itsm,Impact,B0,5,0.0,9321.2,0.9997854384208268,False,False
BPIC14,itsm,Urgency,B0,6,0.0,7767.666666666667,0.999928479473609,False,False
BPIC14,itsm,Priority,B0,5,0.0,9321.2,0.9997854384208268,False,False
BPIC14,itsm,Category,B0,4,0.0,11651.5,1.0,False,False
BPIC14,itsm,KM number,unused,1825,0.0,25.537534246575344,0.9409240452009727,False,False
BPIC14,itsm,Related Interaction,unused,43059,0.0024460369909453717,1.0823753454562344,0.06558432270061508,False,False
BPIC14,itsm,assignment group,g,57,0.0,817.6491228070175,0.9998569589472178,True,False
BPIC14,itsm,case_id,unused,46606,0.0,1.0,0.0,False,False
UCI498,itsm,case_id,unused,24918,0.0,1.0,0.0,False,False
UCI498,itsm,caller_id,f_registered,5244,0.00012039489525644112,4.751716247139588,0.8388175494917068,False,False
UCI498,itsm,opened_by,unused,207,0.02865398507103299,120.3768115942029,0.9755216693418941,True,False
UCI498,itsm,sys_created_by,B0,185,0.46131310699093026,134.69189189189188,0.9871589085072231,False,False
UCI498,itsm,contact_type,B0,5,0.0,4983.6,0.9768592830390583,False,False
UCI498,itsm,location,unused,219,0.002086844851111646,113.78082191780823,0.9926431246655966,False,False
UCI498,itsm,category,B0,57,0.0015651336383337346,437.1578947368421,0.9890315676832531,False,False
UCI498,itsm,subcategory,unused,246,0.002769082590898146,101.29268292682927,0.9895666131621188,False,False
UCI498,itsm,u_symptom,unused,500,0.2301549080985633,49.836,0.9907704654895666,False,False
UCI498,itsm,impact,B0,3,0.0,8306.0,1.0,False,False
UCI498,itsm,urgency,B0,3,0.0,8306.0,1.0,False,False
UCI498,itsm,priority,B0,4,0.0,6229.5,1.0,False,False
UCI498,itsm,assignment_group,B0,69,0.03635925836744522,361.1304347826087,0.9997324772605671,True,True
UCI498,itsm,assigned_to,g,205,0.2865398507103299,121.55121951219512,0.9854200107009096,True,False
UCI498,itsm,knowledge,B0,2,0.0,12459.0,1.0,False,False
UCI498,itsm,u_priority_confirmation,B0,2,0.0,12459.0,1.0,False,False
UCI498,itsm,notify,B0,2,0.0,12459.0,1.0,False,False
Helpdesk,itsm,case_id,unused,4580,0.0,1.0,0.0,False,False
Helpdesk,itsm,Resource,g,17,0.0,269.4117647058824,0.962882096069869,True,False
Helpdesk,itsm,Variant,unused,226,0.0,20.265486725663717,0.9221251819505094,False,False
Helpdesk,itsm,Variant index,unused,226,0.0,20.265486725663717,0.9221251819505094,False,False
Helpdesk,itsm,Variant.1,unused,226,0.0,20.265486725663717,0.9221251819505094,False,False
Helpdesk,itsm,customer,f_registered,394,0.0,11.624365482233502,0.8056768558951966,False,False
Helpdesk,itsm,product,B0,21,0.0,218.0952380952381,0.9868995633187773,False,False
Helpdesk,itsm,responsible_section,B0,7,0.0,654.2857142857143,1.0,False,False
Helpdesk,itsm,seriousness_2,B0,4,0.0,1145.0,1.0,False,False
Helpdesk,itsm,service_level,B0,4,0.0,1145.0,1.0,False,False
Helpdesk,itsm,service_type,B0,3,0.0,1526.6666666666667,1.0,False,False
Helpdesk,itsm,support_section,B0,7,0.0,654.2857142857143,1.0,False,False
Helpdesk,itsm,workgroup,B0,4,0.0,1145.0,1.0,True,True
BPIC13_incidents,itsm,org:group,unused,338,0.0,22.349112426035504,0.9779444199382443,True,False
BPIC13_incidents,itsm,resource country,B0,29,0.0,260.48275862068965,0.9991177767975298,False,False
BPIC13_incidents,itsm,organization country,B0,23,0.0,328.4347826086956,0.9991177767975298,False,False
BPIC13_incidents,itsm,org:resource,g,806,0.0,9.372208436724566,0.940891045434495,True,False
BPIC13_incidents,itsm,organization involved,B0,18,0.0,419.6666666666667,0.9995588883987648,False,False
BPIC13_incidents,itsm,org:role,B0,20,0.11066984379136881,377.7,0.9995588883987648,True,True
BPIC13_incidents,itsm,impact,B0,4,0.0,1888.5,1.0,False,False
BPIC13_incidents,itsm,product,f_registered,704,0.0,10.730113636363637,0.948831054256727,False,False
BPIC13_closed,itsm,org:group,B0,13,0.0,114.38461538461539,0.9955257270693513,True,True
BPIC13_closed,itsm,resource country,B0,19,0.0,78.26315789473684,0.9910514541387024,False,False
BPIC13_closed,itsm,organization country,B0,17,0.0,87.47058823529412,0.9977628635346756,False,False
BPIC13_closed,itsm,org:resource,g,412,0.0033624747814391394,3.6092233009708736,0.7181208053691275,True,False
BPIC13_closed,itsm,organization involved,unused,271,0.0,5.487084870848708,0.8187919463087249,False,False
BPIC13_closed,itsm,org:role,B0,26,0.3389374579690652,57.19230769230769,1.0,True,False
BPIC13_closed,itsm,impact,B0,4,0.0,371.75,1.0,False,False
BPIC13_closed,itsm,product,f_registered,337,0.0,4.41246290801187,0.8008948545861297,False,False
BPIC17,lending,case:LoanGoal,B0,13,0.07505791995937669,2423.769230769231,1.0,False,False
