log,domain,target,f_rule,g_rule,n,n_test,prevalence,f,g,n_b0,card_f,card_g,auc_b0,auc_b0f,auc_b0g,auc_b0gf,naive,honest,reduction,primary,naive_lo,naive_hi,honest_lo,honest_hi,frac_denom_pos,reduction_lo,reduction_hi,n_draws,nmi_f_g,entropy_f,top1pct_share,g_is_stamp,events_mean,events_median,coverage_f,has_time,entity_pays,entity_pays_resolved,reduction_resolved
BPIC14,itsm,duration,amended,primary,46606,13982,0.4781787752649873,CI Name (aff),assignment group,4,3019,57,0.6177990071528738,0.7467201257898446,0.6542574119051353,0.7501377200803883,0.1289211186369707,0.0958803081752529,0.2562870289293525,True,0.1199878804895213,0.137890264416274,0.0877455246451006,0.1041530618157798,1.0,0.2224026652612372,0.2890073878224065,2000.0,0.346049020205335,0.64925291590757,0.5572029352443891,False,10.012981161223877,7.0,0.9469317694178228,True,True,True,True
BPIC14,itsm,handover,amended,primary,46606,13982,0.9266403467364716,CI Name (aff),assignment group,4,3019,57,0.641127051868453,0.8983072579166639,0.732497973024232,0.8997695055917664,0.2571802060482109,0.1672715325675343,0.3495940642641149,True,0.23656406848267,0.2777919823138244,0.1494886616623362,0.1850804773598451,1.0,0.2695154297056061,0.425606191525112,2000.0,0.346049020205335,0.64925291590757,0.5572029352443891,False,10.012981161223877,7.0,0.9469317694178228,True,True,True,True
UCI498,itsm,duration,amended,primary,24918,7476,0.4357492575648126,caller_id,assigned_to,10,5244,205,0.7557419761858665,0.7562317021085078,0.7869393799504498,0.7800710779658568,0.0004897259226412,-0.0068683019845929,15.024787472040298,True,-0.0053039137857319,0.0067247373440898,-0.0116214322452238,-0.0018388157085478,0.5675,,,2000.0,0.4533214641921028,0.9395319116739606,0.0989244722690425,True,5.687133798860262,5.0,0.8388175494917068,True,True,False,False
UCI498,itsm,handover,amended,primary,24918,7476,0.3591379725499639,caller_id,assigned_to,10,5244,205,0.8160191064345315,0.8033313591173337,0.9448559087981256,0.9415231246606852,-0.0126877473171977,-0.0033327841374403,,True,-0.0172685259808572,-0.0076979186621605,-0.0051418461962316,-0.0014662680071547,0.0,,,2000.0,0.4533214641921028,0.9395319116739606,0.0989244722690425,True,5.687133798860262,5.0,0.8388175494917068,True,False,False,False
Helpdesk,itsm,duration,amended,primary,4580,1374,0.4853711790393013,customer,Resource,7,394,17,0.6387471121759221,0.6170852228972362,0.6345651150851374,0.6150423547531445,-0.0216618892786858,-0.0195227603319928,,True,-0.0400101322704897,-0.0037267214764348,-0.0365001161797173,-0.0037140165930445,0.01,,,2000.0,0.1649573268859693,0.8523727578383683,0.1646288209606987,True,4.661135371179039,4.0,0.8056768558951966,True,False,False,False
BPIC13_incidents,itsm,duration,amended,primary,7554,2267,0.3960815462006883,product,org:resource,5,704,806,0.6492600637603044,0.6939624907750732,0.6707672151327643,0.6985517985246094,0.0447024270147687,0.027784583391845,0.378454700397685,True,0.0220570040769491,0.0680982179669099,0.010913092430784,0.0448243822610421,1.0,0.1288432886400213,0.6279626964889258,2000.0,0.5720493400201293,0.7657945378150379,0.3193010325655282,True,8.675271379401641,6.0,0.948831054256727,True,True,True,True
BPIC13_incidents,itsm,handover,amended,primary,7554,2267,0.7415938575589092,product,org:resource,5,704,806,0.816850835090582,0.8598965718026574,0.8295762207257739,0.8668263268186289,0.0430457367120754,0.037250106092855,0.1346388995032478,True,0.0298861388158117,0.0556943172977917,0.0283041660524372,0.0460964219913292,1.0,-0.0906101790805944,0.286979767493241,2000.0,0.5720493400201293,0.7657945378150379,0.3193010325655282,True,8.675271379401641,6.0,0.948831054256727,True,True,True,False
BPIC13_closed,itsm,handover,amended,primary,1487,447,0.3846671149966375,product,org:resource,5,337,412,0.6914583960654421,0.6829268292682926,0.7735872729097661,0.7645162099769145,-0.0085315667971495,-0.0090710629328516,,True,-0.0367204622051433,0.0203003749226606,-0.028907550366633,0.0101465705097274,0.2845,,,2000.0,0.8130131479474483,0.8501771227560412,0.1909885675857431,True,4.478816408876933,3.0,0.8008948545861297,True,False,False,False
BPIC17,lending,duration,amended,primary,31509,9453,0.4982068615316259,case:RequestedAmount,org:resource,2,701,111,0.569591267430465,0.5745104785372535,0.5870320070950785,0.5891186263269135,0.0049192111067885,0.0020866192318349,0.5758223856350825,True,-0.0019418949045672,0.0118124063331717,-0.0039138534072628,0.0081466115000831,0.918,,,2000.0,0.1423065856941638,0.5520053543264783,0.6101113967437874,True,38.15630454790695,35.0,0.9852956733312176,True,True,False,False
BPIC19,procurement,duration,amended,primary,251734,75521,0.3985953427030119,case:Vendor,org:resource,8,1975,355,0.6205450771663794,0.6667236670077512,0.6344234882170156,0.6588462668274954,0.0461785898413718,0.0244227786104798,0.4711233345501765,True,0.0423311946823361,0.0500602833092534,0.0206923282755121,0.02839903869652,1.0,0.4082123725521032,0.5336643486712611,2000.0,0.6547208405677295,0.7034022022380162,0.4145923872023644,True,6.33971970413214,5.0,0.989406919929556,True,True,True,True
BPIC15_1,permitting,duration,amended,primary,1199,360,0.4812343619683069,case:parts,org:resource,9,88,15,0.8057980537563754,0.8053599924903784,0.8007916392878376,0.8018867924528302,-0.0004380612659969,0.0010951531649926,,True,-0.025300496031746,0.0240735614879594,-0.0245778899365321,0.0251597418340077,0.479,,,2000.0,0.0874430983646142,0.5303651271433111,0.4995829858215179,True,43.55045871559633,44.0,0.9166666666666666,True,False,False,False
BPIC15_1,permitting,handover,amended,primary,1199,360,0.8698915763135947,case:parts,org:resource,9,88,15,0.947419502169445,0.951130395067367,0.9440511532313312,0.951130395067367,0.0037108928979219,0.0070792418360356,-0.9076923076923152,True,-0.0039243084916712,0.0117611316143675,-0.0002771446404438,0.0150477173318753,0.8315,,,2000.0,0.0874430983646142,0.5303651271433111,0.4995829858215179,True,43.55045871559633,44.0,0.9166666666666666,True,True,False,False
BPIC15_3,permitting,duration,amended,primary,1409,423,0.4854506742370476,case:parts,org:resource,9,93,10,0.7411015994593375,0.7773597657129985,0.7426560036044154,0.7780355936021627,0.0362581662536609,0.0353795899977472,0.024231127679409,True,0.0085904967881268,0.0644799508538298,0.0084806619772184,0.0633647042005194,0.997,,,2000.0,0.1171626713252323,0.5412244738908344,0.389638041163946,True,42.3569907735983,42.0,0.9219858156028368,True,True,True,False
BPIC15_3,permitting,handover,amended,primary,1409,423,0.8537970191625266,case:parts,org:resource,9,93,10,0.8965731070496085,0.8946801566579634,0.9011749347258486,0.8981396866840732,-0.001892950391645,-0.0030352480417754,,True,-0.0304718725722164,0.0258731746887357,-0.0296266933728091,0.0234555513310543,0.428,,,2000.0,0.1171626713252323,0.5412244738908344,0.389638041163946,True,42.3569907735983,42.0,0.9219858156028368,True,False,False,False
BPIC15_4,permitting,duration,amended,primary,1053,316,0.4169040835707502,case:parts,org:resource,8,52,7,0.4531762000574878,0.4887323943661972,0.4617418798505318,0.4964932451853981,0.0355561943087093,0.0347513653348663,0.0226354082457553,True,0.0171357169244327,0.0561060784479915,0.0185832275618581,0.0540693837142151,0.9995,,,2000.0,0.0847184570737097,0.5406474197745127,0.4444444444444444,True,44.91263057929724,44.0,0.9746835443037974,True,True,True,False
BPIC15_4,permitting,handover,amended,primary,1053,316,0.8945868945868946,case:parts,org:resource,8,52,7,0.7093760862009038,0.6908672228015293,0.6395550921098366,0.6410323253388948,-0.0185088633993744,0.0014772332290581,,True,-0.0372183507925135,-0.0008550207653986,-0.0120978393779993,0.0155893478367722,0.0195,,,2000.0,0.0847184570737097,0.5406474197745127,0.4444444444444444,True,44.91263057929724,44.0,0.9746835443037974,True,False,False,False
BPIC15_5,permitting,duration,amended,primary,1156,347,0.435121107266436,case:parts,org:resource,8,106,18,0.6004398826979472,0.6159376018246986,0.547613229064842,0.5795658194851743,0.0154977191267513,0.0319525904203322,-1.061760840998685,True,-0.0355264518114485,0.0657378034633637,-0.0063543304589394,0.0701381106169389,0.715,,,2000.0,0.151015556448988,0.5043202229337577,0.5977508650519031,True,51.1098615916955,50.0,0.9279538904899136,True,True,False,False
Sepsis,healthcare,duration,amended,primary,1050,315,0.4828571428571429,Diagnose,org:group,23,145,4,0.6236734693877553,0.7818979591836734,0.6301020408163265,0.7828367346938776,0.1582244897959182,0.1527346938775511,0.0346962466142121,True,0.1176318265418798,0.2008236405850047,0.1115832926401723,0.1949981983769475,1.0,-0.0323747275018085,0.0979346731483625,2000.0,0.0865360196633808,0.6688497316926698,0.3809523809523809,False,14.48952380952381,13.0,0.9206349206349206,True,True,True,False
RoadFines,enforcement,duration,amended,primary,150370,45111,0.4786460065172574,article,org:resource,3,66,147,0.5359238273996558,0.5623341127667347,0.5357289516618411,0.5663524958417033,0.0264102853670789,0.0306235441798622,-0.1595309840171312,True,0.0216590055222249,0.0311694401400794,0.0263632769671018,0.035199482501109,1.0,-0.3714345964391067,0.0046237922060155,2000.0,0.1930012488437669,0.3365691247020181,0.4527099820442907,True,3.7339229899581032,5.0,0.9995344816120236,True,True,True,False
