log,domain,target,f,n_test,prevalence,auc_history,auc_model,auc_b0,share_of_model,unseen_share
BPIC13_closed,itsm,handover,product,447,0.3846671149966375,0.5125087824952325,0.6829268292682926,0.6914583960654421,0.06838134430727082,0.19910514541387025
BPIC13_incidents,itsm,handover,product,2267,0.7415938575589092,0.802137236453834,0.8598965718026574,0.816850835090582,0.8395112933154174,0.05116894574327305
BPIC13_incidents,itsm,duration,product,2267,0.39608154620068836,0.649797873262203,0.6939624907750732,0.6492600637603044,0.7723033080448253,0.05116894574327305
BPIC14,itsm,handover,CI Name (aff),13982,0.9266403467364717,0.8717266613298857,0.8983072579166639,0.641127051868453,0.9332661003321725,0.053068230582177085
BPIC14,itsm,duration,CI Name (aff),13982,0.47817877526498737,0.729912370856462,0.7467201257898446,0.6177990071528738,0.9318752173963327,0.053068230582177085
BPIC15_1,permitting,handover,case:parts,360,0.8698915763135947,0.755566339346883,0.951130395067367,0.947419502169445,0.5665021513540879,0.08333333333333333
BPIC15_1,permitting,duration,case:parts,360,0.48123436196830693,0.6279608248067836,0.8053599924903784,0.8057980537563754,0.41904908289783754,0.08333333333333333
BPIC15_3,permitting,handover,case:parts,423,0.8537970191625266,0.6339425587467363,0.8946801566579634,0.8965731070496085,0.33936988340362206,0.07801418439716312
BPIC15_3,permitting,duration,case:parts,423,0.4854506742370476,0.7087181797702184,0.7773597657129985,0.7411015994593375,0.7525178687459385,0.07801418439716312
BPIC15_4,permitting,handover,case:parts,316,0.8945868945868946,0.6927789363920751,0.6908672228015293,0.7093760862009038,1.0100159344411566,0.02531645569620253
BPIC15_4,permitting,duration,case:parts,316,0.41690408357075026,0.5037654498419086,0.4887323943661972,0.4531762000574878,,0.02531645569620253
BPIC15_5,permitting,duration,case:parts,347,0.435121107266436,0.6266699250570218,0.6159376018246986,0.6004398826979472,1.0925698225891443,0.07204610951008646
BPIC17,lending,duration,case:RequestedAmount,9453,0.4982068615316259,0.5291736078124658,0.5745104785372535,0.569591267430465,0.3915369809077216,0.014704326668782398
BPIC19,procurement,duration,case:Vendor,75521,0.3985953427030119,0.6565812279703654,0.6667236670077512,0.6205450771663794,0.9391661710696765,0.010593080070443982
Helpdesk,itsm,duration,customer,1374,0.4853711790393013,0.5071853341319414,0.6170852228972362,0.6387471121759221,0.061368411436923134,0.1943231441048035
RoadFines,enforcement,duration,article,45111,0.4786460065172574,0.556276168599889,0.5623341127667347,0.5359238273996558,0.9028149451727085,0.00046551838797632506
Sepsis,healthcare,duration,Diagnose,315,0.4828571428571429,0.7649387755102041,0.7818979591836734,0.6236734693877553,0.9398392818359517,0.07936507936507936
UCI498,itsm,handover,caller_id,7476,0.3591379725499639,0.5376157929836564,0.8033313591173337,0.8160191064345315,0.12400891583750145,0.16118245050829322
UCI498,itsm,duration,caller_id,7476,0.4357492575648126,0.5594175806829484,0.7562317021085078,0.7557419761858665,0.23189004402658409,0.16118245050829322
