log,target,level,levels_from_coarse,cardinality,n,n_test,base_auc,auc,gain_over_b0
Helpdesk,handover,service_type,0,3,4580,1374,0.40032798833819244,0.45043731778425655,0.05010932944606411
Helpdesk,handover,support_section,1,7,4580,1374,0.40032798833819244,0.40032798833819244,0.0
Helpdesk,handover,product,2,21,4580,1374,0.40032798833819244,0.3852040816326531,-0.01512390670553937
Helpdesk,handover,product marginal over support_section,-1,21,4580,1374,0.40032798833819244,0.3852040816326531,-0.01512390670553937
Helpdesk,duration,service_type,0,3,4580,1374,0.6286311713870112,0.6293884230341404,0.0007572516471292534
Helpdesk,duration,support_section,1,7,4580,1374,0.6286311713870112,0.6286311713870112,0.0
Helpdesk,duration,product,2,21,4580,1374,0.6286311713870112,0.6379877213998459,0.009356550012834752
Helpdesk,duration,product marginal over support_section,-1,21,4580,1374,0.6286311713870112,0.6379941387866861,0.009362967399674904
BPIC19,handover,case:Spend area text,0,20,248445,74534,0.6413846749539485,0.6391064533141595,-0.0022782216397889687
BPIC19,handover,case:Vendor,1,1944,248445,74534,0.6413846749539485,0.5974236110309061,-0.04396106392304233
BPIC19,handover,case:Item Category,2,4,248445,74534,0.6413846749539485,0.6388940655376016,-0.002490609416346823
BPIC19,handover,case:Item,3,490,248445,74534,0.6413846749539485,0.6918507613500029,0.05046608639605443
BPIC19,handover,case:Item marginal over case:Item Category,-1,490,248445,74534,0.6388940655376016,0.6929719751472763,0.054077909609674624
BPIC19,duration,case:Spend area text,0,20,248445,74534,0.6194750408881073,0.6198778394063394,0.0004027985182321059
BPIC19,duration,case:Vendor,1,1944,248445,74534,0.6194750408881073,0.6716727282101936,0.052197687322086295
BPIC19,duration,case:Item Category,2,4,248445,74534,0.6194750408881073,0.6198113696485822,0.0003363287604748466
BPIC19,duration,case:Item,3,490,248445,74534,0.6194750408881073,0.6214621043985431,0.0019870635104357603
BPIC19,duration,case:Item marginal over case:Item Category,-1,490,248445,74534,0.6198113696485822,0.6214462183561904,0.0016348487076082163
BPIC14,handover,CI Type (aff),0,13,46606,13982,0.641127051868453,0.7748488263296645,0.13372177446121147
BPIC14,handover,CI Subtype (aff),1,65,46606,13982,0.641127051868453,0.804261163381359,0.16313411151290602
BPIC14,handover,CI Name (aff),2,3019,46606,13982,0.641127051868453,0.8983072579166639,0.2571802060482109
BPIC14,handover,CI Name (aff) marginal over CI Subtype (aff),-1,3019,46606,13982,0.804261163381359,0.9131369761472761,0.10887581276591707
BPIC14,duration,CI Type (aff),0,13,46606,13982,0.6177990071528738,0.662475758673867,0.04467675152099315
BPIC14,duration,CI Subtype (aff),1,65,46606,13982,0.6177990071528738,0.6623735947681377,0.044574587615263894
BPIC14,duration,CI Name (aff),2,3019,46606,13982,0.6177990071528738,0.7467201257898446,0.12892111863697076
BPIC14,duration,CI Name (aff) marginal over CI Subtype (aff),-1,3019,46606,13982,0.6623735947681377,0.7494979911283896,0.08712439636025182
