regime,level,actual_population,n_items,auc_b0,auc_b0f,auc_b0g,auc_b0gf,naive,honest,reduction,naive_lo,naive_hi,honest_lo,honest_hi,frac_denom_pos,reduction_lo,reduction_hi
full,1.0,1.0,2929,0.5623977964686157,0.7458556499672737,0.6442537504512584,0.747589110707169,0.18345785349865806,0.10333536025591061,0.43673515041607924,0.17228442361090682,0.19492231019987902,0.09399907132148715,0.11347648546336091,1.0,0.4017948425358718,0.47078624259926616
random,0.9,0.9005169948300517,2712,0.5623977964686157,0.7296027623046354,0.6442537504512584,0.7443795826150716,0.16720496583601974,0.10012583216381321,0.40117907585347656,0.1563263009325888,0.17867347986917384,0.0908498982124613,0.11000908191522567,1.0,0.3648611460453176,0.43728262896742054
random,0.75,0.7523044769552304,2417,0.5623977964686157,0.7057881713530791,0.6442537504512584,0.7325011971410769,0.1433903748844635,0.08824744668981843,0.38456506051453154,0.132784991569587,0.15460616764301083,0.079190714879901,0.09807193850731548,1.0,0.3420014128635951,0.4247593072063441
random,0.5,0.5032449675503246,1828,0.5623977964686157,0.6680006123580314,0.6442537504512584,0.7117263110386581,0.10560281588941578,0.0674725605873997,0.3610723348697916,0.09572418465483706,0.11601842671586857,0.0590232955239207,0.07604139238480213,1.0,0.3144023920139604,0.40812592934593644
random,0.25,0.25007149928500716,1160,0.5623977964686157,0.6194662090415939,0.6442537504512584,0.6792373039747661,0.05706841257297823,0.03498355352350768,0.38698919513888286,0.049178305838517095,0.06511437410349916,0.028482610009118427,0.041635668794784475,1.0,0.32348420826688135,0.4550191623640082
random,0.1,0.0988670113298867,644,0.5623977964686157,0.5789226130811497,0.6442537504512584,0.6543847495873649,0.01652481661253402,0.010130999136106489,0.3869221442117453,0.011860441419187415,0.02126801665860461,0.006060159372060683,0.014128363386735671,1.0,0.24837922552321395,0.5428608280232265
random,0.05,0.04875151248487515,424,0.5623977964686157,0.5677518551428453,0.6442537504512584,0.6483342268733565,0.005354058674229667,0.004080476422098078,0.23787230017886007,0.002057725255051687,0.008741048405756693,0.0014495639131865494,0.006950327753755,0.9985,,
rare-first,0.9,0.8998130018699813,245,0.5623977964686157,0.7428223209704405,0.6442537504512584,0.7461863426389473,0.1804245245018249,0.10193259218768891,0.4350402614659078,0.1693429892188508,0.1917076117088652,0.09266787007226548,0.11180102800386334,1.0,0.39893147677979723,0.46838145278076354
rare-first,0.75,0.7478825211747883,82,0.5623977964686157,0.7318066090289619,0.6442537504512584,0.7401824534150768,0.16940881256034623,0.09592870296381839,0.4337443164023891,0.15898243380277494,0.18032293807206803,0.08695472525694171,0.10533289318256507,1.0,0.39650719702236764,0.4677679431029299
rare-first,0.5,0.4941370586294137,23,0.5623977964686157,0.6951453777188407,0.6442537504512584,0.7231789414943507,0.132747581250225,0.07892519104309226,0.4054491215601077,0.12410247320880066,0.14218711815193674,0.07057833825938015,0.08786113745692405,1.0,0.3617919073551427,0.448154000592149
rare-first,0.25,0.22261577384226158,5,0.5623977964686157,0.64554864692445,0.6442537504512584,0.6876420123276299,0.08315085045583437,0.04338826187637146,0.47819821879732716,0.07702752467245973,0.08941507207867941,0.03795561939088614,0.04890994185362337,1.0,0.4243822078558972,0.5353227426198307
rare-first,0.1,0.06659333406665933,1,0.5623977964686157,0.5906855081618735,0.6442537504512584,0.6677722440597081,0.028287711693257833,0.02351849360844971,0.16859681463541043,0.024437459645645317,0.03203841902260349,0.019181299446404825,0.027638832422237483,1.0,0.04338332905603934,0.2874068953085627
rare-first,0.05,0.0,0,0.5623977964686157,0.5624471690433174,0.6442537504512584,0.6434907888038746,4.937257470172263e-05,-0.0007629616473838752,16.45314685315075,-6.353094384045632e-06,0.0001557874520114577,-0.001186939083689098,-0.0003727202988958845,0.7525,,
common-first,0.9,0.8869871301286987,2927,0.5623977964686157,0.7331592334356508,0.6442537504512584,0.7470028660491896,0.17076143696703516,0.1027491155979312,0.39828852800198367,0.15979804382080534,0.18219670235901347,0.0934017415365587,0.11307437234307811,1.0,0.36056570388644105,0.43390657639386987
common-first,0.75,0.746430535694643,2923,0.5623977964686157,0.697585533784974,0.6442537504512584,0.7446317049912934,0.13518773731635836,0.10037795454003495,0.25749216213940773,0.12419797577633727,0.1459206503320247,0.09109921445587686,0.10978934427444972,1.0,0.20988289387281708,0.30519955171836516
common-first,0.5,0.4970410295897041,2905,0.5623977964686157,0.6325121695915945,0.6442537504512584,0.7049782769878319,0.07011437312297886,0.06072452653657345,0.1339218503734726,0.06012574513820376,0.08079438721521183,0.052122250233352985,0.06968799284481264,1.0,0.04763902378723982,0.21058299857067767
common-first,0.25,0.24996150038499615,2846,0.5623977964686157,0.5999603016878376,0.6442537504512584,0.6824651770281862,0.037562505219222,0.038211426576927776,-0.017275774177428982,0.029809336412291824,0.0448079994396933,0.031004480625304198,0.04525265800214642,1.0,-0.16701665451788875,0.12026748550046339
common-first,0.1,0.0998570014299857,2683,0.5623977964686157,0.571308913220553,0.6442537504512584,0.6519610740636497,0.008911116751937342,0.007707323612391237,0.13508892017203034,0.003918469796786209,0.014065359014879658,0.0025058080425087643,0.012851003404748231,0.9995,,
common-first,0.05,0.04998350016499835,2129,0.5623977964686157,0.5686425064676923,0.6442537504512584,0.6482009669566965,0.00624470999907667,0.003947216505438056,0.3679103583638498,0.0023858262342126985,0.010112756867554504,0.00104122486092377,0.007121381953810805,1.0,-0.027730236766751855,0.7103796544611656
