log,attribute,n,unique_share,mean_length,space_share,digitstrip_ratio,structurally_excluded,is_free_text,fails,example
BPIC14,CI Name (aff),32624,0.08070745463462482,8.995586071603727,0.0,0.020508925180402583,-,False,"unique, length, space, not-an-id",SUB000508
BPIC14,CI Type (aff),32624,0.0003984796468857283,11.162027954879843,0.003157184894556155,1.0,-,False,"unique, length, space",subapplication
BPIC14,CI Subtype (aff),32624,0.0018391368317802845,19.79466037273173,0.8647314860225601,1.0,-,False,"unique, length",Web Based Application
BPIC14,Service Component WBS (aff),32624,0.007938940657184895,9.0,0.0,0.003861003861003861,-,False,"unique, length, space, not-an-id",WBS000162
BPIC14,Incident ID,32624,1.0,9.0,0.0,3.065228052967141e-05,-,False,"length, space, not-an-id",IM0000004
BPIC14,Status,32624,6.130456105934282e-05,6.00275870524767,0.00027587052476704265,1.0,outcome-field,False,"unique, length, space, outcome-field",Closed
BPIC14,Impact,32624,0.00012260912211868564,3.0,0.0,0.25,-,False,"unique, length, space, not-an-id",4.0
BPIC14,Urgency,32624,0.00015326140264835703,1.0,0.0,0.2,-,False,"unique, length, space, not-an-id",4
BPIC14,Priority,32624,0.00012260912211868564,3.0,0.0,0.25,-,False,"unique, length, space, not-an-id",4.0
BPIC14,Category,32624,0.00012260912211868564,11.062714565963708,0.20417484060814126,1.0,-,False,"unique, length, space",incident
BPIC14,KM number,32624,0.05002452182442374,9.0,0.0,0.0006127450980392157,-,False,"unique, length, space, not-an-id",KM0000553
BPIC14,Alert Status,32624,3.065228052967141e-05,6.0,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",closed
BPIC14,# Reassignments,32623,0.0012261288048309475,3.0150813842994206,0.0,0.025,outcome-field,False,"unique, length, space, not-an-id, outcome-field",26.0
BPIC14,Open Time,32624,0.9944825895046592,19.0,1.0,3.082234003205523e-05,timestamp,False,"length, not-an-id, timestamp",05/02/2012 13:32:57
BPIC14,Reopen Time,1720,0.9994186046511628,19.0,1.0,0.0005817335660267597,outcome-field,False,"length, not-an-id, outcome-field",02/12/2013 12:31:02
BPIC14,Resolved Time,31320,0.99514687100894,19.0,1.0,3.208418891170431e-05,outcome-field,False,"length, not-an-id, outcome-field",04/11/2013 13:50:27
BPIC14,Close Time,32624,0.9951875919568416,19.0,1.0,3.080050512828411e-05,outcome-field,False,"length, not-an-id, outcome-field",04/11/2013 13:51:17
BPIC14,Handle Time (Hours),32623,0.7432179750482788,10.355883885602182,0.0,8.248783304462591e-05,outcome-field,False,"length, space, not-an-id, outcome-field","3871,691111"
