k,strategy,auc,coverage,recovered,rec_lo,rec_hi,base,full
8,top-k,0.7040933915510796,0.3015274372996417,0.5790819420537945,0.5159603215718208,0.6420334287569984,0.6442537504512584,0.747589110707169
8,volume-proportional,0.6728877146579141,0.14349110566346093,0.27709744404764713,,,0.6442537504512584,0.747589110707169
8,uniform-random,0.6449837832383308,0.003620592117669244,0.007064694846608832,,,0.6442537504512584,0.747589110707169
8,k random buckets,0.6726109612363831,1.0,0.27441923766364057,,,0.6442537504512584,0.747589110707169
16,top-k,0.722579346676312,0.4246967125526432,0.7579747729245802,0.6798360744698764,0.8362856474482234,0.6442537504512584,0.747589110707169
16,volume-proportional,0.6931887851658177,0.23884593626249292,0.4735555631041629,,,0.6442537504512584,0.747589110707169
16,uniform-random,0.6478506955847706,0.004236595637689358,0.03480846367210903,,,0.6442537504512584,0.747589110707169
16,k random buckets,0.6919236917740824,1.0,0.4613129639725366,,,0.6442537504512584,0.747589110707169
32,top-k,0.7225309408373386,0.5719089823370419,0.757506338510131,0.6755538730854961,0.8411848290004127,0.6442537504512584,0.747589110707169
32,volume-proportional,0.7057246476087147,0.37356213464076937,0.5948679813494936,,,0.6442537504512584,0.747589110707169
32,uniform-random,0.6479217276432926,0.009397196555408886,0.03549585720657855,,,0.6442537504512584,0.747589110707169
32,k random buckets,0.7020493853724414,1.0,0.5593016250976605,,,0.6442537504512584,0.747589110707169
64,top-k,0.7372422187671395,0.7051354579169024,0.8998707517503646,0.8164485541227862,0.9893009601156225,0.6442537504512584,0.747589110707169
64,volume-proportional,0.7209637954707603,0.5309761770067258,0.7423407130872625,,,0.6442537504512584,0.747589110707169
64,uniform-random,0.645957914495079,0.014155509460054057,0.016491586612754766,,,0.6442537504512584,0.747589110707169
64,k random buckets,0.7126909153449777,1.0,0.6622821532168106,,,0.6442537504512584,0.747589110707169
128,top-k,0.7428711526334848,0.8196932553900308,0.9543432367971603,0.8686670417412775,1.047763784178861,0.6442537504512584,0.747589110707169
128,volume-proportional,0.7351349259245652,0.7152492299956,0.8794779952209874,,,0.6442537504512584,0.747589110707169
128,uniform-random,0.6568545798368575,0.04214595511974354,0.12194111826187093,,,0.6442537504512584,0.747589110707169
128,k random buckets,0.7229794279557692,1.0,0.7618464512974665,,,0.6442537504512584,0.747589110707169
256,top-k,0.7427209748415774,0.8928908165189515,0.9528899318342174,0.8611933890230032,1.0489764995680526,0.6442537504512584,0.747589110707169
256,volume-proportional,0.744710988829783,0.8368156389465083,0.9721477539705835,,,0.6442537504512584,0.747589110707169
256,uniform-random,0.667257982083717,0.1216166949525426,0.22261722972164089,,,0.6442537504512584,0.747589110707169
256,k random buckets,0.7309498786194242,1.0,0.8389783318455781,,,0.6442537504512584,0.747589110707169
512,top-k,0.7452988677314938,0.926708152618015,0.9778367930396386,0.8874617076278215,1.074684166489025,0.6442537504512584,0.747589110707169
512,volume-proportional,0.743672712355702,0.8981582751901438,0.9621001142129075,,,0.6442537504512584,0.747589110707169
512,uniform-random,0.6810262714577353,0.18522848701992584,0.35585612626122864,,,0.6442537504512584,0.747589110707169
512,k random buckets,0.7371563772379586,1.0,0.899040043569077,,,0.6442537504512584,0.747589110707169
1024,top-k,0.7459153343897453,0.9519140109372054,0.9838024823905525,0.8939198001854177,1.0812515237629379,0.6442537504512584,0.747589110707169
1024,volume-proportional,0.744890594517614,0.9401030863033503,0.9738858394370312,,,0.6442537504512584,0.747589110707169
1024,uniform-random,0.706412779307215,0.39246967125526433,0.6015271897443373,,,0.6442537504512584,0.747589110707169
1024,k random buckets,0.7414476112558607,1.0,0.9405673001371562,,,0.6442537504512584,0.747589110707169
