frame,venue,n
A,Empirical Software Engineering,28
A,Information Systems,8
A,Decision Support Systems,6
A,Information & Management,1
B,Business & Information Systems Engineering,1
B,Engineering Applications of Artificial Intelligence,1
B,Flexible Services and Manufacturing Journal,1
B,IEEE Access,1
B,IEEE Transactions on Artificial Intelligence,1
B,Journal of Intelligent Manufacturing,1
B,K&uuml;nstliche Intell.,1
B,Knowledge and Information Systems,1
B,Lecture notes in computer science,1
B,Process Science,1
B,arXiv (Cornell University),1
