target_r,reachable,P,N,rho,a1,b1,a3,b3,alpha3,beta3,auc_naive,auc_honest,ap_naive,ap_honest,R_auc,R_ap,err_auc,err_ap
0.05,True,20000,180000,9,10000,0,10059,531,0.50295,0.00295,0.25,0.25,0.45000000000000007,0.4274362606232295,0.0,0.050141643059490204,0.0,0.00014164305949020128
0.1,True,20000,180000,9,10000,0,10125,1125,0.50625,0.00625,0.25,0.2500000000000001,0.45000000000000007,0.405,-4.440892098500626e-16,0.10000000000000009,4.440892098500626e-16,8.326672684688674e-17
0.25,True,20000,180000,9,10000,0,10385,3465,0.51925,0.01925,0.25,0.25,0.45000000000000007,0.33741877256317687,0.0,0.25018050541516257,0.0,0.00018050541516256846
0.4,True,20000,180000,9,10000,0,10800,7200,0.54,0.04,0.25,0.25,0.45000000000000007,0.27,0.0,0.4,0.0,0.0
0.5,True,20000,180000,9,10000,0,11250,11250,0.5625,0.0625,0.25,0.25,0.45000000000000007,0.225,0.0,0.5,0.0,0.0
0.6,True,20000,180000,9,10000,0,12000,18000,0.6,0.1,0.25,0.2500000000000001,0.45000000000000007,0.18000000000000002,-4.440892098500626e-16,0.6000000000000001,4.440892098500626e-16,1.1102230246251565e-16
0.75,True,20000,180000,9,10000,0,15000,45000,0.75,0.25,0.25,0.25,0.45000000000000007,0.11249999999999999,0.0,0.75,0.0,0.0
0.9,True,10000,490000,49,5000,0,6125,55125,0.6125,0.1125,0.25,0.25,0.49,0.049,0.0,0.9,0.0,0.0
0.95,True,10000,490000,49,5000,0,8167,155183,0.8167,0.3167,0.25,0.25,0.49,0.024498500153045607,0.0,0.9500030609121518,0.0,3.0609121518532234e-06
0.99,True,5000,995000,199,2500,0,4975,492525,0.995,0.495,0.25,0.25,0.49749999999999994,0.004975000000000001,0.0,0.99,0.0,0.0
