x_axis,y_axis,config_a,config_b,x_gap,y_gap,x_tol,y_needed,constructible
baseline,metric,c05,c17,0.0020106512531239407,0.6012298455175027,0.004778088780955415,0.18550493017844089,True
baseline,threshold,c10,c12,0.004300964962436149,13.392574123989974,0.004778088780955415,3.3963700073622145,True
baseline,population,c07,c17,0.0022258481150682075,1.262522857007161,0.004778088780955415,0.32689133483066257,True
metric,baseline,c06,c15,0.0018689231092122727,0.06610895168129838,0.03710098603568818,0.02389044390477707,True
metric,threshold,c07,c17,0.016717013848215778,1.9067304612996763,0.03710098603568818,3.3963700073622145,False
metric,population,c06,c17,0.030040352911169577,1.2769260794414672,0.03710098603568818,0.32689133483066257,True
threshold,baseline,c01,c16,0.6395753088524285,0.09487111324160602,0.679274001472443,0.02389044390477707,True
threshold,metric,c01,c03,0.6497058864717418,0.24513447689812196,0.679274001472443,0.18550493017844089,True
threshold,population,c15,c17,0.6590409590410566,1.2163129859521296,0.679274001472443,0.32689133483066257,True
population,baseline,c06,c15,0.06061309348933752,0.06610895168129838,0.06537826696613251,0.02389044390477707,True
population,metric,c00,c08,0.06114095007985909,0.36780523191774417,0.06537826696613251,0.18550493017844089,True
population,threshold,c07,c08,0.03929861371065557,2.91274660504379,0.06537826696613251,3.3963700073622145,False
