config,couple,overlap,wf,spread_baseline,spread_metric,spread_threshold,spread_population
c00,0.15,0.15,1.2,0.008738997940039628,0.0633620099629203,0.6321212121212273,0.03661645061611518
c01,0.15,0.15,2.2,0.0014927904816175452,0.02820004818872901,0.06923695168397304,0.01341630466982946
c02,0.15,0.5,1.2,0.0075919338455271435,0.38512221701408045,3.0106422018348784,0.3137076049190982
c03,0.15,0.5,2.2,0.03830610101347376,0.27333452508685097,0.7189428381557148,0.05093134756163098
c04,0.15,0.8,1.2,0.000802128104115285,0.0,,
c05,0.15,0.8,2.2,0.01811317116679101,0.7420197207137635,4.466666666666673,1.0828918447477558
c06,0.55,0.15,1.2,0.010424938589246757,0.11074952228509127,0.38137609440426734,0.04405556455101267
c07,0.55,0.15,2.2,0.017897974304846742,0.15750688904447663,0.138024783455593,0.0584587869853187
c08,0.55,0.5,1.2,0.020699159096661535,0.43116724188066446,3.050771388499383,0.09775740069597427
c09,0.55,0.5,2.2,0.03674328135058014,0.18262486186046267,0.49999999999998324,0.1432763095448546
c10,0.55,0.8,1.2,0.035415685566419164,0.536310449703969,13.65471698113283,0.4080623087437836
c11,0.55,0.8,2.2,0.045214629899529846,0.12911524569000865,0.8108108108108038,0.1399595331841954
c12,0.85,0.15,1.2,0.03971665052885531,0.09887072882124015,0.2621428571428579,0.08204978114476924
c13,0.85,0.15,2.2,0.05985465116279076,0.12485494544790254,0.21722823251121814,0.0888575067676125
c14,0.85,0.5,1.2,0.050264471691133905,0.18602129165547077,1.0661818181818146,0.15484905977150243
c15,0.85,0.5,2.2,0.07653389027054514,0.108880599175879,1.3857142857142126,0.1046686580403502
c16,0.85,0.8,1.2,0.09636390372322357,0.19515005682564612,0.7088122605364016,0.904896203728567
c17,0.85,0.8,2.2,0.02012382241991495,0.14078987519626085,2.0447552447552693,1.3209816439924797
