log,instrument,population,regime,b_lo,b_hi,V_lo,V_hi,R
BPIC13_incidents,ap,0.25,rare-first,empty,B0_half,0.010420923801006926,0.007550456792615623,0.27545225962730324
BPIC13_incidents,ap,0.25,rare-first,empty,B0,0.010420923801006926,0.0022376602930512246,0.7852723678072562
BPIC13_incidents,ap,0.25,rare-first,empty,B0+g,0.010420923801006926,0.0006067804797134091,0.9417728704959172
BPIC13_incidents,ap,0.25,rare-first,B0_half,B0,0.007550456792615623,0.0022376602930512246,0.7036390837651485
BPIC13_incidents,ap,0.25,rare-first,B0_half,B0+g,0.007550456792615623,0.0006067804797134091,0.9196365867152776
BPIC13_incidents,ap,0.25,rare-first,B0,B0+g,0.0022376602930512246,0.0006067804797134091,0.7288326196797207
BPIC13_incidents,ap,0.5,random,empty,B0_half,0.05676467171729069,0.04177175263801758,0.26412412202335034
BPIC13_incidents,ap,0.5,random,empty,B0,0.05676467171729069,0.012770308275386388,0.7750307032693273
BPIC13_incidents,ap,0.5,random,empty,B0+g,0.05676467171729069,0.005755753594899993,0.8986032435179789
BPIC13_incidents,ap,0.5,random,B0_half,B0,0.04177175263801758,0.012770308275386388,0.694283637412815
BPIC13_incidents,ap,0.5,random,B0_half,B0+g,0.04177175263801758,0.005755753594899993,0.8622094302631312
BPIC13_incidents,ap,0.5,random,B0,B0+g,0.012770308275386388,0.005755753594899993,0.5492862450318693
BPIC13_incidents,ap,0.5,rare-first,empty,B0_half,0.04389463362676643,0.03554005517819456,0.19033257048254193
BPIC13_incidents,ap,0.5,rare-first,empty,B0,0.04389463362676643,0.013385432726616853,0.6950553719064516
BPIC13_incidents,ap,0.5,rare-first,empty,B0+g,0.04389463362676643,0.006053434660681367,0.8620916918420284
BPIC13_incidents,ap,0.5,rare-first,B0_half,B0,0.03554005517819456,0.013385432726616853,0.6233705136499218
BPIC13_incidents,ap,0.5,rare-first,B0_half,B0+g,0.03554005517819456,0.006053434660681367,0.8296728963888772
BPIC13_incidents,ap,0.5,rare-first,B0,B0+g,0.013385432726616853,0.006053434660681367,0.5477595095865562
BPIC13_incidents,ap,0.75,rare-first,empty,B0_half,0.07641890366881368,0.054448980307103934,0.287493307374882
BPIC13_incidents,ap,0.75,rare-first,empty,B0,0.07641890366881368,0.026885903008901757,0.648177326314172
BPIC13_incidents,ap,0.75,rare-first,empty,B0+g,0.07641890366881368,0.014334265236643162,0.8124251389582166
BPIC13_incidents,ap,0.75,rare-first,B0_half,B0,0.054448980307103934,0.026885903008901757,0.5062184294864753
BPIC13_incidents,ap,0.75,rare-first,B0_half,B0+g,0.054448980307103934,0.014334265236643162,0.7367395099817329
BPIC13_incidents,ap,0.75,rare-first,B0,B0+g,0.026885903008901757,0.014334265236643162,0.46684828730144656
BPIC13_incidents,ap,1.0,full,empty,B0_half,0.0978011684496278,0.06881812285865258,0.29634661886379055
BPIC13_incidents,ap,1.0,full,empty,B0,0.0978011684496278,0.030865126094762385,0.6844094341198043
BPIC13_incidents,ap,1.0,full,empty,B0+g,0.0978011684496278,0.01592338626402634,0.837186134721615
BPIC13_incidents,ap,1.0,full,B0_half,B0,0.06881812285865258,0.030865126094762385,0.5514971229576093
BPIC13_incidents,ap,1.0,full,B0_half,B0+g,0.06881812285865258,0.01592338626402634,0.7686163818107649
BPIC13_incidents,ap,1.0,full,B0,B0+g,0.030865126094762385,0.01592338626402634,0.48409780620567633
BPIC13_incidents,auc,0.25,rare-first,empty,B0_half,0.03320600195404111,0.015573319868176894,0.5310088853897195
BPIC13_incidents,auc,0.25,rare-first,empty,B0,0.03320600195404111,0.003267192724034862,0.9016083680126011
BPIC13_incidents,auc,0.25,rare-first,empty,B0+g,0.03320600195404111,0.00606305517626704,0.8174108649195819
BPIC13_incidents,auc,0.25,rare-first,B0_half,B0,0.015573319868176894,0.003267192724034862,0.79020576526453
BPIC13_incidents,auc,0.25,rare-first,B0_half,B0+g,0.015573319868176894,0.00606305517626704,0.6106767710681578
BPIC13_incidents,auc,0.25,rare-first,B0,B0+g,0.003267192724034862,0.00606305517626704,-0.8557384545039608
BPIC13_incidents,auc,0.5,random,empty,B0_half,0.0966720049239449,0.057691273443265745,0.40322667882337393
BPIC13_incidents,auc,0.5,random,empty,B0,0.0966720049239449,0.022428150144461534,0.767997465635408
BPIC13_incidents,auc,0.5,random,empty,B0+g,0.0966720049239449,0.013398926173694536,0.8613980729557029
BPIC13_incidents,auc,0.5,random,B0_half,B0,0.057691273443265745,0.022428150144461534,0.6112384281737578
BPIC13_incidents,auc,0.5,random,B0_half,B0+g,0.057691273443265745,0.013398926173694536,0.7677477827409861
BPIC13_incidents,auc,0.5,random,B0,B0+g,0.022428150144461534,0.013398926173694536,0.4025844268300789
BPIC13_incidents,auc,0.5,rare-first,empty,B0_half,0.10185663791377719,0.05751499143986549,0.43533389067335415
BPIC13_incidents,auc,0.5,rare-first,empty,B0,0.10185663791377719,0.027067504055979796,0.7342588111057352
BPIC13_incidents,auc,0.5,rare-first,empty,B0+g,0.10185663791377719,0.015226731522508752,0.8505082060984739
BPIC13_incidents,auc,0.5,rare-first,B0_half,B0,0.05751499143986549,0.027067504055979796,0.5293834984869973
BPIC13_incidents,auc,0.5,rare-first,B0_half,B0+g,0.05751499143986549,0.015226731522508752,0.735256302029898
BPIC13_incidents,auc,0.5,rare-first,B0,B0+g,0.027067504055979796,0.015226731522508752,0.43745343157546
BPIC13_incidents,auc,0.75,rare-first,empty,B0_half,0.13831564039666433,0.08490742206990931,0.38613289266195694
BPIC13_incidents,auc,0.75,rare-first,empty,B0,0.13831564039666433,0.04146063085054563,0.700246257533537
BPIC13_incidents,auc,0.75,rare-first,empty,B0+g,0.13831564039666433,0.02427164160374795,0.8245199058172941
BPIC13_incidents,auc,0.75,rare-first,B0_half,B0,0.08490742206990931,0.04146063085054563,0.5116960350485187
BPIC13_incidents,auc,0.75,rare-first,B0_half,B0+g,0.08490742206990931,0.02427164160374795,0.7141399301492906
BPIC13_incidents,auc,0.75,rare-first,B0,B0+g,0.04146063085054563,0.02427164160374795,0.4145858105430026
BPIC13_incidents,auc,1.0,full,empty,B0_half,0.15686558646632254,0.1010200453552681,0.3560088759368768
BPIC13_incidents,auc,1.0,full,empty,B0,0.15686558646632254,0.044702427014768786,0.7150271896993421
BPIC13_incidents,auc,1.0,full,empty,B0+g,0.15686558646632254,0.027784583391845086,0.8228764892431639
BPIC13_incidents,auc,1.0,full,B0_half,B0,0.1010200453552681,0.044702427014768786,0.5574895372739248
BPIC13_incidents,auc,1.0,full,B0_half,B0+g,0.1010200453552681,0.027784583391845086,0.7249597018677625
BPIC13_incidents,auc,1.0,full,B0,B0+g,0.044702427014768786,0.027784583391845086,0.37845470039768503
BPIC13_incidents,brier_skill,0.5,random,empty,B0_half,0.04156416950372943,0.031207560459513117,0.24917156213808256
BPIC13_incidents,brier_skill,0.5,random,empty,B0,0.04156416950372943,0.012510159787523789,0.6990157643736563
BPIC13_incidents,brier_skill,0.5,random,empty,B0+g,0.04156416950372943,0.007865149326956367,0.8107709255143267
BPIC13_incidents,brier_skill,0.5,random,B0_half,B0,0.031207560459513117,0.012510159787523789,0.5991304798158207
BPIC13_incidents,brier_skill,0.5,random,B0_half,B0+g,0.031207560459513117,0.007865149326956367,0.7479729523504359
BPIC13_incidents,brier_skill,0.5,random,B0,B0+g,0.012510159787523789,0.007865149326956367,0.3712990512878842
BPIC13_incidents,brier_skill,0.5,rare-first,empty,B0_half,0.057475167855305265,0.04996107969318264,0.13073625432533698
BPIC13_incidents,brier_skill,0.5,rare-first,empty,B0,0.057475167855305265,0.02151636953121805,0.6256405969028941
BPIC13_incidents,brier_skill,0.5,rare-first,empty,B0+g,0.057475167855305265,0.012098186342490158,0.789505854546653
BPIC13_incidents,brier_skill,0.5,rare-first,B0_half,B0,0.04996107969318264,0.02151636953121805,0.5693373789487173
BPIC13_incidents,brier_skill,0.5,rare-first,B0_half,B0+g,0.04996107969318264,0.012098186342490158,0.7578477803765118
BPIC13_incidents,brier_skill,0.5,rare-first,B0,B0+g,0.02151636953121805,0.012098186342490158,0.4377217622639856
BPIC13_incidents,brier_skill,0.75,rare-first,empty,B0_half,0.06884969857121326,0.051713731627764825,0.24888949841551156
BPIC13_incidents,brier_skill,0.75,rare-first,empty,B0,0.06884969857121326,0.016573180597378334,0.759284630996079
BPIC13_incidents,brier_skill,0.75,rare-first,empty,B0+g,0.06884969857121326,0.01463893057592347,0.7873784362210098
BPIC13_incidents,brier_skill,0.75,rare-first,B0_half,B0,0.051713731627764825,0.016573180597378334,0.6795206983577978
BPIC13_incidents,brier_skill,0.75,rare-first,B0_half,B0+g,0.051713731627764825,0.01463893057592347,0.7169237238323001
BPIC13_incidents,brier_skill,0.75,rare-first,B0,B0+g,0.016573180597378334,0.01463893057592347,0.11670964484396185
BPIC13_incidents,brier_skill,1.0,full,empty,B0_half,0.07814273883397782,0.05452442415651393,0.302245800824097
BPIC13_incidents,brier_skill,1.0,full,empty,B0,0.07814273883397782,0.014442560808158977,0.8151771869828666
BPIC13_incidents,brier_skill,1.0,full,empty,B0+g,0.07814273883397782,0.012317990957385061,0.8423655077721823
BPIC13_incidents,brier_skill,1.0,full,B0_half,B0,0.05452442415651393,0.014442560808158977,0.7351175912156139
BPIC13_incidents,brier_skill,1.0,full,B0_half,B0+g,0.05452442415651393,0.012317990957385061,0.7740830618948691
BPIC13_incidents,brier_skill,1.0,full,B0,B0+g,0.014442560808158977,0.012317990957385061,0.14710478834014618
BPIC13_incidents,nagelkerke,0.25,rare-first,empty,B0_half,0.004383450381850241,0.0005728187110725508,0.8693224147250947
BPIC13_incidents,nagelkerke,0.25,rare-first,empty,B0,0.004383450381850241,-0.0013560652517561472,1.309360237627181
BPIC13_incidents,nagelkerke,0.25,rare-first,empty,B0+g,0.004383450381850241,-0.0014744198860277002,1.3363605738832047
BPIC13_incidents,nagelkerke,0.25,rare-first,B0_half,B0,0.0005728187110725508,-0.0013560652517561472,3.3673550209577456
BPIC13_incidents,nagelkerke,0.25,rare-first,B0_half,B0+g,0.0005728187110725508,-0.0014744198860277002,3.573972982249451
BPIC13_incidents,nagelkerke,0.5,random,empty,B0_half,0.05573822655260934,0.03713844497082177,0.33369884067322986
BPIC13_incidents,nagelkerke,0.5,random,empty,B0,0.05573822655260934,0.011504328257456606,0.7936007481939154
BPIC13_incidents,nagelkerke,0.5,random,empty,B0+g,0.05573822655260934,0.004864147811862257,0.9127322824440574
BPIC13_incidents,nagelkerke,0.5,random,B0_half,B0,0.03713844497082177,0.011504328257456606,0.6902312881841146
BPIC13_incidents,nagelkerke,0.5,random,B0_half,B0+g,0.03713844497082177,0.004864147811862257,0.8690266160663478
BPIC13_incidents,nagelkerke,0.5,random,B0,B0+g,0.011504328257456606,0.004864147811862257,0.5771897582364682
BPIC13_incidents,nagelkerke,0.5,rare-first,empty,B0_half,0.08176581364201277,0.06794417443095938,0.16903934047017888
BPIC13_incidents,nagelkerke,0.5,rare-first,empty,B0,0.08176581364201277,0.0285518039243617,0.6508100066200373
BPIC13_incidents,nagelkerke,0.5,rare-first,empty,B0+g,0.08176581364201277,0.016193441409807913,0.8019533997337069
BPIC13_incidents,nagelkerke,0.5,rare-first,B0_half,B0,0.06794417443095938,0.0285518039243617,0.5797755412662455
BPIC13_incidents,nagelkerke,0.5,rare-first,B0_half,B0+g,0.06794417443095938,0.016193441409807913,0.7616654916270611
BPIC13_incidents,nagelkerke,0.5,rare-first,B0,B0+g,0.0285518039243617,0.016193441409807913,0.43283998963053505
BPIC13_incidents,nagelkerke,0.75,rare-first,empty,B0_half,0.09587128354597034,0.06689614162569726,0.3022296233926969
BPIC13_incidents,nagelkerke,0.75,rare-first,empty,B0,0.09587128354597034,0.0206957567385226,0.7841297626040548
BPIC13_incidents,nagelkerke,0.75,rare-first,empty,B0+g,0.09587128354597034,0.015803259810452275,0.8351616957034418
BPIC13_incidents,nagelkerke,0.75,rare-first,B0_half,B0,0.06689614162569726,0.0206957567385226,0.6906285439551778
BPIC13_incidents,nagelkerke,0.75,rare-first,B0_half,B0+g,0.06689614162569726,0.015803259810452275,0.7637642556595272
BPIC13_incidents,nagelkerke,0.75,rare-first,B0,B0+g,0.0206957567385226,0.015803259810452275,0.2364009680768785
BPIC13_incidents,nagelkerke,1.0,full,empty,B0_half,0.10335339085640277,0.06654698767731021,0.35612187344903545
BPIC13_incidents,nagelkerke,1.0,full,empty,B0,0.10335339085640277,0.01676256297509761,0.8378131299205539
BPIC13_incidents,nagelkerke,1.0,full,empty,B0+g,0.10335339085640277,0.011214071843867301,0.8914977849207878
BPIC13_incidents,nagelkerke,1.0,full,B0_half,B0,0.06654698767731021,0.01676256297509761,0.7481093651243818
BPIC13_incidents,nagelkerke,1.0,full,B0_half,B0+g,0.06654698767731021,0.011214071843867301,0.8314864092985709
BPIC13_incidents,nagelkerke,1.0,full,B0,B0+g,0.01676256297509761,0.011214071843867301,0.33100493877178094
BPIC13_incidents,nb_0.050,0.25,rare-first,B0,B0+g,2.3216400065015352e-05,0.0,1.0
BPIC13_incidents,nb_0.050,0.5,rare-first,B0,B0+g,2.3216400065015352e-05,0.0,1.0
BPIC13_incidents,nb_0.050,1.0,full,B0,B0+g,2.3216400065015352e-05,-0.00013929840039002273,6.999999999997011
BPIC13_incidents,nb_0.075,0.25,rare-first,B0,B0+g,3.576580550554431e-05,3.576580550555819e-05,-3.879119248040297e-13
BPIC13_incidents,nb_0.075,0.5,random,B0,B0+g,7.15316110111025e-05,-0.00022651676820181765,4.16666666666657
BPIC13_incidents,nb_0.075,0.5,rare-first,B0,B0+g,3.576580550554431e-05,0.0003218922495499543,-8.000000000001553
BPIC13_incidents,nb_0.100,0.25,rare-first,empty,B0_half,0.0022055580061755564,0.001911483605352142,0.13333333333333652
BPIC13_incidents,nb_0.100,0.25,rare-first,empty,B0,0.0022055580061755564,0.0015193844042542676,0.3111111111111132
BPIC13_incidents,nb_0.100,0.25,rare-first,empty,B0+g,0.0022055580061755564,0.0015193844042542745,0.3111111111111101
BPIC13_incidents,nb_0.100,0.25,rare-first,B0_half,B0,0.001911483605352142,0.0015193844042542676,0.20512820512820462
BPIC13_incidents,nb_0.100,0.25,rare-first,B0_half,B0+g,0.001911483605352142,0.0015193844042542745,0.20512820512820107
BPIC13_incidents,nb_0.100,0.25,rare-first,B0,B0+g,0.0015193844042542676,0.0015193844042542745,-4.6629367034256575e-15
BPIC13_incidents,nb_0.100,0.5,random,B0_half,B0,0.0003920992010978744,0.00014703720041169682,0.6250000000000155
BPIC13_incidents,nb_0.100,0.5,random,B0_half,B0+g,0.0003920992010978744,-0.0003430868009606444,1.875000000000011
