log,domain,target,population,regime,populated,baseline,instrument,without_f,with_f,V,n,n_test,card_f,card_g,n_b0,f,g
BPIC14,itsm,handover,1.0,full,1.0,empty,auc,0.5,0.8938026203699606,0.3938026203699606,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,ap,0.9452152767844372,0.9917219616770151,0.04650668489257792,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,brier_skill,-1.9904186030261783e-05,0.2589275101815951,0.25894741436762536,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nagelkerke,-3.9619626170500563e-05,0.38874382631524196,0.38878344594141245,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.050,0.9423318702994075,0.9423318702994075,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.075,0.9407732721993914,0.9407732721993914,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.100,0.9391280853160412,0.9391280853160412,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.125,0.9373888877536425,0.9373888877536425,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.150,0.9355473844522789,0.9355473844522789,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.175,0.9335942748902268,0.9335942748902268,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.200,0.9315190959805464,0.9331461879559434,0.0016270919753970103,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.225,0.929310034560564,0.9312918452757232,0.001981810715159127,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.250,0.9269537023792495,0.9293138797501549,0.0023601773709054363,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.275,0.9244348645302581,0.9270761915566319,0.002641327026373763,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.300,0.9217361096920531,0.924831926762981,0.0030958170709278754,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.325,0.918837447088055,0.9219658078905683,0.0031283608025132192,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.350,0.9157158104375955,0.9197814772839805,0.004065666846384985,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.375,0.9123444428550994,0.9173508797024745,0.0050064368473751175,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.400,0.908692127974062,0.914938253945549,0.006246125971486993,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.425,0.9047222204946733,0.9122225470014241,0.00750032650675081,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.450,0.9003914123353403,0.9092599576078335,0.008868545272493256,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.475,0.8956481462560708,0.9061446349387989,0.010496488682728122,46606,13982,3019,57,4,CI Name (aff),assignment group
