rho,axis,level,R,R_true
0.0,metric,auc,0.11978080776211553,0.1328895331262817
0.0,metric,ap,0.14112504623209632,0.1328895331262817
0.0,metric,brier_skill,0.05159437091605834,0.1328895331262817
0.0,metric,nagelkerke,0.05447280282023348,0.1328895331262817
0.0,threshold,nb_0.05,-0.009652509652530616,0.1328895331262817
0.0,threshold,nb_0.10,0.0020661157024804977,0.1328895331262817
0.0,threshold,nb_0.15,-0.0016699559738893033,0.1328895331262817
0.0,threshold,nb_0.20,-0.07840342124019894,0.1328895331262817
0.0,threshold,nb_0.25,0.02854620364920457,0.1328895331262817
0.0,threshold,nb_0.30,0.03819350167435964,0.1328895331262817
0.0,threshold,nb_0.35,-0.0009071042757595738,0.1328895331262817
0.0,threshold,nb_0.40,0.004393673110720586,0.1328895331262817
0.0,threshold,nb_0.45,0.07102618270277195,0.1328895331262817
0.0,threshold,nb_0.50,0.09074941451990615,0.1328895331262817
0.0,threshold,nb_0.55,0.09482836699574326,0.1328895331262817
0.0,threshold,nb_0.60,0.10888710968775017,0.1328895331262817
0.0,threshold,nb_0.65,0.048064195896757034,0.1328895331262817
0.0,threshold,nb_0.70,0.004220322475922411,0.1328895331262817
0.0,threshold,nb_0.75,-0.001832844574779946,0.1328895331262817
0.0,threshold,nb_0.80,0.0,0.1328895331262817
0.0,baseline,b -> b+g,0.11978080776211553,0.1328895331262817
0.0,baseline,empty -> b,0.25937920319854535,0.1328895331262817
0.0,baseline,empty -> b+g,0.3480913604848451,0.1328895331262817
0.0,baseline,b -> b+g,0.11978080776211553,0.1328895331262817
0.0,population,1.00,0.11978080776211553,0.1328895331262817
0.0,population,0.75,0.12863272093710487,0.1328895331262817
0.0,population,0.50,0.13900526893650866,0.1328895331262817
0.0,population,0.25,0.11944906149405776,0.1328895331262817
0.2,metric,auc,0.15445105926155256,0.15585542439685396
0.2,metric,ap,0.18122496026728552,0.15585542439685396
0.2,metric,brier_skill,0.061673438790345814,0.15585542439685396
0.2,metric,nagelkerke,0.06816480003427083,0.15585542439685396
0.2,threshold,nb_0.05,-0.08469945355192254,0.15585542439685396
0.2,threshold,nb_0.10,0.008988764044942088,0.15585542439685396
0.2,threshold,nb_0.15,-0.19013563501850084,0.15585542439685396
0.2,threshold,nb_0.20,-0.14357682619647405,0.15585542439685396
0.2,threshold,nb_0.25,0.06299810246679294,0.15585542439685396
0.2,threshold,nb_0.30,0.122861586314152,0.15585542439685396
0.2,threshold,nb_0.35,-0.0350801446381348,0.15585542439685396
0.2,threshold,nb_0.40,-0.020346073397984332,0.15585542439685396
0.2,threshold,nb_0.45,0.04740802675585254,0.15585542439685396
0.2,threshold,nb_0.50,0.12756909992912835,0.15585542439685396
0.2,threshold,nb_0.55,0.16611870565841824,0.15585542439685396
0.2,threshold,nb_0.60,0.16061068702290082,0.15585542439685396
0.2,threshold,nb_0.65,0.08526344929408503,0.15585542439685396
0.2,threshold,nb_0.70,0.008574228319451427,0.15585542439685396
0.2,threshold,nb_0.75,-0.017161992465466902,0.15585542439685396
0.2,threshold,nb_0.80,-0.04274353876739578,0.15585542439685396
0.2,baseline,b -> b+g,0.15445105926155256,0.15585542439685396
0.2,baseline,empty -> b,0.3083697322950225,0.15585542439685396
0.2,baseline,empty -> b+g,0.4151927597594075,0.15585542439685396
0.2,baseline,b -> b+g,0.15445105926155256,0.15585542439685396
0.2,population,1.00,0.15445105926155256,0.15585542439685396
0.2,population,0.75,0.16273314101657999,0.15585542439685396
0.2,population,0.50,0.16905950927887392,0.15585542439685396
0.2,population,0.25,0.15250315293716687,0.15585542439685396
0.4,metric,auc,0.30336871729396075,0.3078239074071256
0.4,metric,ap,0.3542445271194985,0.3078239074071256
0.4,metric,brier_skill,0.16678409040185171,0.3078239074071256
0.4,metric,nagelkerke,0.18771824712833218,0.3078239074071256
0.4,threshold,nb_0.05,-0.15189873417713295,0.3078239074071256
0.4,threshold,nb_0.10,-0.08714596949891273,0.3078239074071256
0.4,threshold,nb_0.15,-0.5425742574257337,0.3078239074071256
0.4,threshold,nb_0.20,-0.14525993883791877,0.3078239074071256
0.4,threshold,nb_0.25,0.2692530399536759,0.3078239074071256
0.4,threshold,nb_0.30,0.29338549075391107,0.3078239074071256
0.4,threshold,nb_0.35,0.08537094216807195,0.3078239074071256
0.4,threshold,nb_0.40,-0.04347826086956519,0.3078239074071256
0.4,threshold,nb_0.45,-0.024217472906703064,0.3078239074071256
0.4,threshold,nb_0.50,0.14941406249999967,0.3078239074071256
0.4,threshold,nb_0.55,0.2904867545347779,0.3078239074071256
0.4,threshold,nb_0.60,0.33917817924194127,0.3078239074071256
0.4,threshold,nb_0.65,0.39229729052937334,0.3078239074071256
0.4,threshold,nb_0.70,0.25902187543541877,0.3078239074071256
