rho,n,reps,n_finite,R_true,R_mean,bias,sd,rmse,coverage,share_resolvable
0.0,5000,10,10,0.1328895331262817,0.14399720892383108,0.011107675797549371,0.04111552227420777,0.0405563560532286,,
0.0,20000,10,10,0.1328895331262817,0.12050055713832815,-0.012388975987953563,0.016471693980302047,0.0199417090128388,,
0.0,60000,40,40,0.1328895331262817,0.12902097320013106,-0.00386855992615065,0.011212012975058146,0.011727414889107871,0.9,1.0
0.2,5000,10,10,0.15585542439685396,0.12148112053747062,-0.03437430385938334,0.04822558939342245,0.05722525221373774,,
0.2,20000,10,10,0.15585542439685396,0.1519363643028353,-0.003919060094018656,0.02299301158326037,0.02216234995485995,,
0.2,60000,40,40,0.15585542439685396,0.15144739926136813,-0.004408025135485827,0.009555199420045133,0.010413931805662302,0.975,1.0
0.4,5000,10,10,0.3078239074071256,0.2844752435904088,-0.023348663816716797,0.02085705098793893,0.030605146958447956,,
0.4,20000,10,10,0.3078239074071256,0.3001792816370553,-0.007644625770070301,0.02446127745527254,0.024432744185495518,,
0.4,60000,40,40,0.3078239074071256,0.3065358601674961,-0.0012880472396294973,0.013601270061729207,0.013491803041154512,0.925,1.0
0.6,5000,10,10,0.600006020344926,0.6197943047032552,0.019788284358329244,0.04735652195707772,0.04909126554215285,,
0.6,20000,10,10,0.600006020344926,0.5956616350356404,-0.004344385309285603,0.024643146671963104,0.02377876981304614,,
0.6,60000,40,40,0.600006020344926,0.6008389370623096,0.0008329167173836138,0.01393476195320233,0.013784661808807717,0.975,1.0
0.8,5000,10,10,0.8765818692805066,0.8979579449173769,0.021376075636870273,0.03268340200595161,0.03766060142440087,,
0.8,20000,10,10,0.8765818692805066,0.8834904733073115,0.006908604026804821,0.02205434275075499,0.022033688759492475,,
0.8,60000,40,40,0.8765818692805066,0.8787012957439391,0.002119426463432439,0.009421656971442873,0.00954150921601228,0.975,1.0
1.0,5000,10,10,0.9999999999999984,1.0203861913756616,0.02038619137566311,0.024901892657992704,0.031204016263300577,,
1.0,20000,10,10,0.9999999999999984,1.0092273028809908,0.009227302880992383,0.0030581127225315233,0.009672640101797884,,
1.0,60000,40,40,0.9999999999999984,1.0027004393309729,0.0027004393309744135,0.002800306082544026,0.003864976569438521,0.85,1.0
