quantity,fieldvalue,r30,abs_diff,tol,agrees
"V(item | intake), auc",0.18345785349865806,0.18345785349865806,0.0,1e-09,True
"V(item | intake+group), auc",0.10333536025591061,0.10333536025591061,0.0,1e-09,True
R under auc,0.43673515041607924,0.4367351504160792,5.551115123125783e-17,1e-09,True
"V(item | intake), ap",0.22641585509474688,0.22641585509474682,5.551115123125783e-17,1e-09,True
"V(item | intake+group), ap",0.08983934955736306,0.08983934955736306,0.0,1e-09,True
R under ap,0.6032108726671614,0.6032108726671612,2.220446049250313e-16,1e-09,True
"V(item | intake), brier_skill",0.16766012579149558,0.1676601257914956,2.7755575615628914e-17,1e-09,True
"V(item | intake+group), brier_skill",0.06980247674386886,0.0698024767438688,5.551115123125783e-17,1e-09,True
R under brier_skill,0.5836667996380001,0.5836667996380001,0.0,1e-09,True
"V(item | intake), nagelkerke",0.22317138486323457,0.2231713848632344,1.6653345369377348e-16,1e-09,True
"V(item | intake+group), nagelkerke",0.09691323907677399,0.09691323907677402,2.7755575615628914e-17,1e-09,True
R under nagelkerke,0.5657452269870304,0.5657452269870302,2.220446049250313e-16,1e-09,True
"V(item | intake), net benefit at 0.2",0.019304099142040038,0.01930409914204001,2.7755575615628914e-17,1e-09,True
"V(item | intake+group), net benefit at 0.2",0.017195864193004312,0.017195864193004312,0.0,1e-09,True
"V(item | intake), net benefit at 0.3",0.06987292973946933,0.0698729297394694,6.938893903907228e-17,1e-09,True
"V(item | intake+group), net benefit at 0.3",0.06492839857949487,0.0649283985794949,2.7755575615628914e-17,1e-09,True
"V(item | intake), net benefit at 0.4",0.09716213243381976,0.0971621324338198,4.163336342344337e-17,1e-09,True
"V(item | intake+group), net benefit at 0.4",0.040673657451541126,0.0406736574515411,2.7755575615628914e-17,1e-09,True
"V(item | intake), net benefit at 0.5",0.08410940822761603,0.08410940822761599,4.163336342344337e-17,1e-09,True
"V(item | intake+group), net benefit at 0.5",-0.01613258047957762,-0.016132580479577593,2.7755575615628914e-17,1e-09,True
