baseline_pair,baseline,baseline_hi,metric,threshold,population,regime,populated,V_lo,V_hi,R
intake -> intake+group,intake,intake+group,ap,,1.0,full,1.0,0.22641585509474688,0.08983934955736306,0.6032108726671614
intake -> intake+group,intake,intake+group,auc,,1.0,full,1.0,0.18345785349865806,0.10333536025591061,0.43673515041607924
intake -> intake+group,intake,intake+group,brier_skill,,1.0,full,1.0,0.16766012579149558,0.06980247674386886,0.5836667996380001
intake -> intake+group,intake,intake+group,nagelkerke,,1.0,full,1.0,0.22317138486323457,0.09691323907677399,0.5657452269870304
intake -> intake+group,intake,intake+group,net_benefit,0.05,1.0,full,1.0,-0.00014280035352737253,-4.245415915676842e-05,
intake -> intake+group,intake,intake+group,net_benefit,0.075,1.0,full,1.0,0.000392414119773532,0.0002853920871079829,0.2727272727273756
intake -> intake+group,intake,intake+group,net_benefit,0.1,1.0,full,1.0,0.0014421549216592222,0.0008147767918978976,0.4350282485875484
intake -> intake+group,intake,intake+group,net_benefit,0.125,1.0,full,1.0,0.0028179637331210428,0.002639876805749064,0.06319702602231081
intake -> intake+group,intake,intake+group,net_benefit,0.15,1.0,full,1.0,0.004805265950334092,0.004322151240785221,0.10053859964093803
intake -> intake+group,intake,intake+group,net_benefit,0.175,1.0,full,1.0,0.01227276060450519,0.011690565551385396,0.04743798660148857
intake -> intake+group,intake,intake+group,net_benefit,0.2,1.0,full,1.0,0.019304099142040038,0.017195864193004312,0.10921177587844322
intake -> intake+group,intake,intake+group,net_benefit,0.225,1.0,full,1.0,0.03003687784892617,0.026318341703193637,0.1237990234682621
intake -> intake+group,intake,intake+group,net_benefit,0.25,1.0,full,1.0,0.03979369851629147,0.03407396543716848,0.14373464373464406
intake -> intake+group,intake,intake+group,net_benefit,0.275,1.0,full,1.0,0.0535156635219092,0.047411580563022,0.11406161406161397
intake -> intake+group,intake,intake+group,net_benefit,0.3,1.0,full,1.0,0.06987292973946933,0.06492839857949487,0.07076461769115483
intake -> intake+group,intake,intake+group,net_benefit,0.325,1.0,full,1.0,0.09281937213300412,0.08692582000494298,0.06349485018726553
intake -> intake+group,intake,intake+group,net_benefit,0.35,1.0,full,1.0,0.11217784195711894,0.06335704333797759,0.4352089304570823
intake -> intake+group,intake,intake+group,net_benefit,0.375,1.0,full,1.0,0.13255114761311135,0.046608491603725155,0.6483735339676919
intake -> intake+group,intake,intake+group,net_benefit,0.4,1.0,full,1.0,0.09716213243381976,0.040673657451541126,0.5813836477987424
intake -> intake+group,intake,intake+group,net_benefit,0.425,1.0,full,1.0,0.08418273813888685,0.009354346072545594,0.8888804726556583
intake -> intake+group,intake,intake+group,net_benefit,0.45,1.0,full,1.0,0.06569026778750325,-0.0007932963128387399,1.0120763141871323
intake -> intake+group,intake,intake+group,net_benefit,0.475,1.0,full,1.0,0.0614015790374227,-0.010329041787573726,1.168221110100091
intake -> intake+group,intake,intake+group,net_benefit,0.5,1.0,full,1.0,0.08410940822761603,-0.01613258047957762,1.1918047079337402
intake -> intake+group,intake,intake+group,net_benefit,0.525,1.0,full,1.0,0.0762592482526254,-0.021099717100921248,1.2766840427147121
intake -> intake+group,intake,intake+group,net_benefit,0.55,1.0,full,1.0,0.05074429859939867,0.00219174957020523,0.9568079640333977
intake -> intake+group,intake,intake+group,net_benefit,0.575,1.0,full,1.0,0.0367771072644061,-0.012539414827308061,1.3409570724841662
intake -> intake+group,intake,intake+group,net_benefit,0.6,1.0,full,1.0,0.039818141820048406,0.0017599178704993876,0.9558011049723755
intake -> intake+group,intake,intake+group,net_benefit,0.625,1.0,full,1.0,0.03749602796313949,0.004155361638679078,0.8891786179921775
intake -> intake+group,intake,intake+group,net_benefit,0.65,1.0,full,1.0,0.03755539027226348,0.004410270377858551,0.882566248256625
intake -> intake+group,intake,intake+group,net_benefit,0.675,1.0,full,1.0,0.04253698929947371,0.011213835662028077,0.7363744861424215
intake -> intake+group,intake,intake+group,net_benefit,0.7,1.0,full,1.0,0.03620053286402191,0.007504094253379293,0.7927076299797433
intake -> intake+group,intake,intake+group,net_benefit,0.725,1.0,full,1.0,0.03363843020659036,0.008352943529301951,0.7516845025762985
intake -> intake+group,intake,intake+group,net_benefit,0.75,1.0,full,1.0,0.02999193370976021,0.015032631810515514,0.4987775061124693
intake -> intake+group,intake,intake+group,net_benefit,0.775,1.0,full,1.0,0.03400878329381665,0.018169522459322275,0.4657402970771439
intake -> intake+group,intake,intake+group,net_benefit,0.8,1.0,full,1.0,0.030871892645009894,0.020972354623450915,0.32066508313539155
