rule,k,auc,cov_train,cov_test,recovered
top-k,8,0.7040933915510796,0.3015274372996417,0.29001979907604314,0.5790819420537945
volume-proportional,8,0.6728877146579141,0.14349110566346093,,0.27709744404764713
uniform-random,8,0.6449837832383308,0.003620592117669244,,0.007064694846608832
top-k,16,0.722579346676312,0.4246967125526432,0.41196744151939574,0.7579747729245802
volume-proportional,16,0.6931887851658177,0.23884593626249292,,0.4735555631041629
uniform-random,16,0.6478506955847706,0.004236595637689358,,0.03480846367210903
top-k,32,0.7225309408373386,0.5719089823370419,0.5433013126054117,0.757506338510131
volume-proportional,32,0.7057246476087147,0.37356213464076937,,0.5948679813494936
uniform-random,32,0.6479217276432926,0.009397196555408886,,0.03549585720657855
top-k,64,0.7372422187671395,0.7051354579169024,0.6885678668328812,0.8998707517503646
volume-proportional,64,0.7209637954707603,0.5309761770067258,,0.7423407130872625
uniform-random,64,0.645957914495079,0.014155509460054057,,0.016491586612754766
top-k,128,0.7428711526334848,0.8196932553900308,0.8141820048397741,0.9543432367971603
volume-proportional,128,0.7351349259245652,0.7152492299956,,0.8794779952209874
uniform-random,128,0.6568545798368575,0.04214595511974354,,0.12194111826187093
top-k,256,0.7427209748415774,0.8928908165189515,0.9071643323311579,0.9528899318342174
volume-proportional,256,0.744710988829783,0.8368156389465083,,0.9721477539705835
uniform-random,256,0.667257982083717,0.1216166949525426,,0.22261722972164089
top-k,512,0.7452988677314938,0.926708152618015,0.9304099142040038,0.9778367930396386
volume-proportional,512,0.743672712355702,0.8981582751901438,,0.9621001142129075
uniform-random,512,0.6810262714577353,0.18522848701992584,,0.35585612626122864
top-k,1024,0.7459153343897453,0.9519140109372054,0.9375962455085429,0.9838024823905525
volume-proportional,1024,0.744890594517614,0.9401030863033503,,0.9738858394370312
uniform-random,1024,0.706412779307215,0.39246967125526433,,0.6015271897443373
