task,cut,gain_intake,gain_queue,shrink_pct
reassigned,0.6,0.17824808346533527,0.09581392506196507,46.246869419721726
reassigned,0.65,0.17544579803977256,0.10077207772248076,42.56227344946939
reassigned,0.7,0.18345785349865806,0.10333536025591061,43.673515041607914
reassigned,0.75,0.1912655945530447,0.11629246194586007,39.198441717855296
reassigned,0.8,0.19318632137105585,0.11832262392191883,38.752069462177495
reopened,0.6,0.06623402147994051,0.04620343553901374,30.24214066028467
reopened,0.65,0.08064218977537796,0.04957913321391294,38.51960945999675
reopened,0.7,0.08265660751519788,0.05513363592206755,33.29796905597625
reopened,0.75,0.08886366015809033,0.06066670238313354,31.730583373218934
reopened,0.8,0.09103608272024988,0.05881203848278027,35.39700223755537
long-handling,0.6,0.11871721798124646,0.08238506196321338,30.60394830324646
long-handling,0.65,0.1163675695935108,0.08136855003005672,30.07626582364043
long-handling,0.7,0.11796824757433899,0.07841301811894674,33.530403535464984
long-handling,0.75,0.11750791294836405,0.08083543005069893,31.208522028452613
long-handling,0.8,0.1165102834127526,0.08018111214081491,31.181085658539637
