log,target,mechanism,level,train_only
BPIC13_closed,handover,clean,1.0,True
BPIC13_closed,handover,mask_rare,0.75,True
BPIC13_closed,handover,mask_rare,0.5,True
BPIC13_closed,handover,mask_rare,0.25,True
BPIC13_closed,handover,corrupt,0.15,True
BPIC13_closed,handover,stale,1.0,True
BPIC13_incidents,duration,clean,1.0,True
BPIC13_incidents,duration,mask_rare,0.75,True
BPIC13_incidents,duration,mask_rare,0.5,True
BPIC13_incidents,duration,mask_rare,0.25,True
BPIC13_incidents,duration,corrupt,0.15,True
BPIC13_incidents,duration,stale,1.0,True
BPIC13_incidents,handover,clean,1.0,True
BPIC13_incidents,handover,mask_rare,0.75,True
BPIC13_incidents,handover,mask_rare,0.5,True
BPIC13_incidents,handover,mask_rare,0.25,True
BPIC13_incidents,handover,corrupt,0.15,True
BPIC13_incidents,handover,stale,1.0,True
BPIC15_1,duration,clean,1.0,True
BPIC15_1,duration,mask_rare,0.75,True
BPIC15_1,duration,mask_rare,0.5,True
BPIC15_1,duration,mask_rare,0.25,True
BPIC15_1,duration,corrupt,0.15,True
BPIC15_1,duration,stale,1.0,True
BPIC14,handover,clean,1.0,True
BPIC14,handover,mask_rare,0.75,True
BPIC14,handover,mask_rare,0.5,True
BPIC14,handover,mask_rare,0.25,True
BPIC14,handover,mask_random,0.5,True
BPIC14,handover,mask_common,0.5,True
BPIC14,handover,corrupt,0.05,True
BPIC14,handover,corrupt,0.15,True
BPIC14,handover,duplicate,0.15,True
BPIC14,handover,stale,1.0,True
BPIC14,duration,clean,1.0,True
BPIC14,duration,mask_rare,0.75,True
BPIC14,duration,mask_rare,0.5,True
BPIC14,duration,mask_rare,0.25,True
BPIC14,duration,mask_random,0.5,True
BPIC14,duration,mask_common,0.5,True
BPIC14,duration,corrupt,0.05,True
BPIC14,duration,corrupt,0.15,True
BPIC14,duration,duplicate,0.15,True
BPIC14,duration,stale,1.0,True
BPIC15_1,handover,clean,1.0,True
BPIC15_1,handover,mask_rare,0.75,True
BPIC15_1,handover,mask_rare,0.5,True
BPIC15_1,handover,mask_rare,0.25,True
BPIC15_1,handover,corrupt,0.15,True
BPIC15_1,handover,stale,1.0,True
BPIC15_3,duration,clean,1.0,True
BPIC15_3,duration,mask_rare,0.75,True
BPIC15_3,duration,mask_rare,0.5,True
BPIC15_3,duration,mask_rare,0.25,True
BPIC15_3,duration,corrupt,0.15,True
BPIC15_3,duration,stale,1.0,True
BPIC15_3,handover,clean,1.0,True
BPIC15_3,handover,mask_rare,0.75,True
BPIC15_3,handover,mask_rare,0.5,True
BPIC15_3,handover,mask_rare,0.25,True
BPIC15_3,handover,corrupt,0.15,True
BPIC15_3,handover,stale,1.0,True
BPIC15_4,duration,clean,1.0,True
BPIC15_4,duration,mask_rare,0.75,True
BPIC15_4,duration,mask_rare,0.5,True
BPIC15_4,duration,mask_rare,0.25,True
BPIC15_4,duration,corrupt,0.15,True
BPIC15_4,duration,stale,1.0,True
BPIC15_4,handover,clean,1.0,True
BPIC15_4,handover,mask_rare,0.75,True
BPIC15_4,handover,mask_rare,0.5,True
BPIC15_4,handover,mask_rare,0.25,True
BPIC15_4,handover,corrupt,0.15,True
BPIC15_4,handover,stale,1.0,True
BPIC15_5,duration,clean,1.0,True
BPIC15_5,duration,mask_rare,0.75,True
BPIC15_5,duration,mask_rare,0.5,True
BPIC15_5,duration,mask_rare,0.25,True
BPIC15_5,duration,corrupt,0.15,True
BPIC15_5,duration,stale,1.0,True
BPIC17,duration,clean,1.0,True
BPIC17,duration,mask_rare,0.75,True
BPIC17,duration,mask_rare,0.5,True
BPIC17,duration,mask_rare,0.25,True
BPIC17,duration,corrupt,0.15,True
BPIC17,duration,stale,1.0,True
Helpdesk,duration,clean,1.0,True
Helpdesk,duration,mask_rare,0.75,True
Helpdesk,duration,mask_rare,0.5,True
Helpdesk,duration,mask_rare,0.25,True
Helpdesk,duration,corrupt,0.15,True
Helpdesk,duration,stale,1.0,True
Sepsis,duration,clean,1.0,True
Sepsis,duration,mask_rare,0.75,True
Sepsis,duration,mask_rare,0.5,True
Sepsis,duration,mask_rare,0.25,True
Sepsis,duration,corrupt,0.15,True
Sepsis,duration,stale,1.0,True
UCI498,duration,clean,1.0,True
UCI498,duration,mask_rare,0.75,True
UCI498,duration,mask_rare,0.5,True
UCI498,duration,mask_rare,0.25,True
UCI498,duration,corrupt,0.15,True
UCI498,duration,stale,1.0,True
RoadFines,duration,clean,1.0,True
RoadFines,duration,mask_rare,0.75,True
RoadFines,duration,mask_rare,0.5,True
RoadFines,duration,mask_rare,0.25,True
RoadFines,duration,corrupt,0.15,True
RoadFines,duration,stale,1.0,True
UCI498,handover,clean,1.0,True
UCI498,handover,mask_rare,0.75,True
UCI498,handover,mask_rare,0.5,True
UCI498,handover,mask_rare,0.25,True
UCI498,handover,corrupt,0.15,True
UCI498,handover,stale,1.0,True
BPIC19,duration,clean,1.0,True
BPIC19,duration,mask_rare,0.75,True
BPIC19,duration,mask_rare,0.5,True
BPIC19,duration,mask_rare,0.25,True
BPIC19,duration,corrupt,0.15,True
BPIC19,duration,stale,1.0,True
