log,target,learner,quality,level,rung,metric,V,without_f,with_f,se,lo,hi,n_draws,mean,resolved
BPIC14,duration,logit,clean,1.0,B_half,auc,0.12796511531655497,0.6180215311136803,0.7459866464302353,0.005602873467308028,0.11330519207559074,0.1353290132405699,200,0.12418802026052089,True
BPIC14,duration,logit,clean,1.0,B_half,ap,0.1623104647147685,0.5149282639092254,0.6772387286239939,0.007512379796820964,0.14281761814706556,0.1744501234051951,200,0.15672347549381146,True
BPIC14,duration,logit,clean,1.0,B_half,brier_skill,0.13219522630878378,0.05051395237678591,0.18270917868556968,0.007271464520110004,0.1137589279415238,0.13911713505927367,200,0.12585082500314582,True
BPIC14,duration,logit,clean,1.0,B_half,nagelkerke,0.17273638248297774,0.0668417937861346,0.23957817626911235,0.009376939673825862,0.14792961836093496,0.1807492757850338,200,0.1635563213779918,True
BPIC14,duration,logit,clean,1.0,B_half,logloss_skill,0.10577381013531229,0.0371000298643408,0.14287383999965309,0.006110640177836856,0.08922349140474581,0.11080220921146855,200,0.0997608323729569,True
BPIC14,duration,logit,clean,1.0,B_half,nb_0.050,-0.0001806834350931985,0.39711960490555526,0.39693892147046206,0.0001501850185933526,-0.0005206882533181591,4.1500726498026904e-05,200,-0.00018792959368812062,False
BPIC14,duration,logit,clean,1.0,B_half,nb_0.075,-0.0002783501567652502,0.38082554017327297,0.3805471900165077,0.0003946525160430871,-0.0013657521059895815,0.00017812477045772997,200,-0.00038350466043213986,False
BPIC14,duration,logit,clean,1.0,B_half,nb_0.100,0.00026224193010060404,0.36362624962253054,0.36388849155263114,0.0007611008550464074,-0.001630071997329867,0.00144709865064607,200,-6.881863983852071e-05,False
BPIC14,duration,logit,clean,1.0,B_half,nb_0.125,0.0004189059402905926,0.34544414246888855,0.34586304840917914,0.0010122518471801405,-0.0012122729223287192,0.0027601814577926393,200,0.0007359462165641539,False
BPIC14,duration,logit,clean,1.0,B_half,nb_0.150,0.003508712882950349,0.3261924996003265,0.32970121248327683,0.0011334212355387072,-0.00024895453818780385,0.004442686815821996,200,0.0024918592812607776,False
BPIC14,duration,logit,clean,1.0,B_half,nb_0.175,0.0048243845983797495,0.30581960355955495,0.3106439881579347,0.0019405936521511011,0.0022000689197800042,0.008983899212407291,200,0.005738601145195339,True
BPIC14,duration,logit,clean,1.0,B_half,nb_0.200,0.011318123301387428,0.2841331712201402,0.29545129452152763,0.002822774381276031,0.0073290659419253164,0.01810810327564012,200,0.012455299671005574,True
BPIC14,duration,logit,clean,1.0,B_half,nb_0.225,0.02303653083918955,0.2621135007682689,0.28515003160745844,0.002501989821696234,0.017186036424711986,0.026460345328786748,200,0.021911247640976194,True
BPIC14,duration,logit,clean,1.0,B_half,nb_0.250,0.03118294950650838,0.23790111095217661,0.269084060458685,0.0025537575235524265,0.024173341915796513,0.03439302913269445,200,0.02925761693606065,True
