log,target,learner,quality,level,metric,b_lo,b_hi,V_lo,V_hi,D,D_se,D_lo,D_hi,R,R_fieller_lo,R_fieller_hi,fieller_kind,denom_t
BPIC13_closed,handover,logit,clean,1.0,ap,B_half,B_intake,-0.041182505370312095,0.0011650179878267553,-0.04234752335813885,0.02550772154194119,-0.09236476984517483,0.00450884564836462,1.028289147961032,-0.29125467180357134,10.977957440407403,bounded,-2.101558268401817
BPIC13_closed,handover,logit,clean,1.0,ap,B_half,B_intake_g,-0.041182505370312095,-0.014448085036550151,-0.026734420333761943,0.03042364828398562,-0.0755626221091198,0.04775332687962661,0.6491693522131954,-2.3002704846603783,5.592457617305617,bounded,-2.101558268401817
BPIC13_closed,handover,logit,clean,1.0,ap,B_intake,B_intake_g,0.0011650179878267553,-0.014448085036550151,0.015613103024376906,0.02241357245352274,-0.015314171968194911,0.06664427642141364,13.401598247853546,-inf,inf,unbounded,0.04279684757820157
BPIC13_closed,handover,logit,clean,1.0,auc,B_half,B_intake,-0.02920806985847635,-0.008531566797149504,-0.020676503061326845,0.02623795288468447,-0.06590596935230843,0.034782001566170284,0.7079037800687267,-inf,inf,unbounded,-0.8630424423858127
BPIC13_closed,handover,logit,clean,1.0,auc,B_half,B_intake_g,-0.02920806985847635,-0.009071062932851648,-0.0201370069256247,0.027727023414162333,-0.0711054264737006,0.041979842902153855,0.6894329896907182,-inf,inf,unbounded,-0.8630424423858127
BPIC13_closed,handover,logit,clean,1.0,auc,B_intake,B_intake_g,-0.008531566797149504,-0.009071062932851648,0.0005394961357021444,0.015202707800303033,-0.02804041988833618,0.030369440074603557,-0.06323529411765216,-inf,inf,unbounded,-0.3688191977661523
BPIC13_closed,handover,logit,clean,1.0,brier_skill,B_half,B_intake,-0.014557552635552362,-0.007511528719498228,-0.007046023916054134,0.02555285246326073,-0.07843342115872019,0.021791206303416133,0.48401157065689593,-inf,inf,unbounded,-0.41609205473213384
BPIC13_closed,handover,logit,clean,1.0,brier_skill,B_half,B_intake_g,-0.014557552635552362,-0.013490201890367204,-0.0010673507451851583,0.027333189747497728,-0.07721107050407786,0.030070815964718722,0.07331938079883571,-inf,inf,unbounded,-0.41609205473213384
BPIC13_closed,handover,logit,clean,1.0,brier_skill,B_intake,B_intake_g,-0.007511528719498228,-0.013490201890367204,0.0059786731708689755,0.017711137197905062,-0.030992472614266343,0.03838771359460914,-0.7959329444284349,-inf,inf,unbounded,-0.2253472764306316
BPIC13_closed,handover,logit,clean,1.0,logloss_skill,B_half,B_intake,-0.020758006200166657,-0.002367177030847878,-0.01839082916931878,0.026673395227689165,-0.09199458650766891,0.009993168252330865,0.8859631793139713,-inf,inf,unbounded,-0.6338663807890661
BPIC13_closed,handover,logit,clean,1.0,logloss_skill,B_half,B_intake_g,-0.020758006200166657,-0.004285941716111297,-0.01647206448405536,0.028148651095185443,-0.08979677591926215,0.010467886349894049,0.7935282572525252,-inf,inf,unbounded,-0.6338663807890661
