log,target,n_cells,n_beneficial,n_harmful,n_unresolved,rho,share_positive,region,dc_cells,dc_beneficial,dc_harmful,dc_rho
BPIC13_closed,handover,30,0,1,29,-0.03333333333333333,0.03333333333333333,conditionally harmful,186,0,1,-0.005376344086021506
BPIC13_incidents,duration,30,16,0,14,0.5333333333333333,1.0,conditionally beneficial,186,23,3,0.10752688172043011
BPIC13_incidents,handover,30,26,0,4,0.8666666666666667,1.0,conditionally beneficial,176,37,0,0.21022727272727273
BPIC14,duration,320,250,0,70,0.78125,0.915625,conditionally beneficial,1973,601,75,0.26659908768373036
BPIC14,handover,320,204,31,85,0.540625,0.790625,sign-changing,1944,490,3,0.25051440329218105
BPIC15_1,duration,30,6,0,24,0.2,0.6666666666666666,conditionally beneficial,181,0,0,0.0
BPIC15_1,handover,30,1,0,29,0.03333333333333333,0.9666666666666667,conditionally beneficial,183,0,0,0.0
BPIC15_3,duration,30,15,0,15,0.5,1.0,conditionally beneficial,186,27,1,0.13978494623655913
BPIC15_3,handover,30,0,0,30,0.0,0.5333333333333333,unresolved,158,0,0,0.0
BPIC15_4,duration,30,1,0,29,0.03333333333333333,1.0,conditionally beneficial,174,1,0,0.005747126436781609
BPIC15_4,handover,30,0,0,30,0.0,0.03333333333333333,unresolved,178,0,0,0.0
BPIC15_5,duration,30,8,0,22,0.26666666666666666,0.7666666666666667,conditionally beneficial,186,5,1,0.021505376344086023
BPIC17,duration,30,6,0,24,0.2,0.7,conditionally beneficial,162,0,0,0.0
BPIC19,duration,30,7,18,5,-0.36666666666666664,0.3333333333333333,sign-changing,186,82,33,0.26344086021505375
Helpdesk,duration,30,1,0,29,0.03333333333333333,0.16666666666666666,conditionally beneficial,186,0,0,0.0
RoadFines,duration,30,21,9,0,0.4,0.7,sign-changing,153,12,2,0.06535947712418301
Sepsis,duration,30,30,0,0,1.0,1.0,uniformly beneficial,186,81,0,0.43548387096774194
UCI498,duration,30,4,0,26,0.13333333333333333,0.4666666666666667,conditionally beneficial,186,11,3,0.043010752688172046
UCI498,handover,30,8,1,21,0.23333333333333334,0.26666666666666666,sign-changing,186,3,4,-0.005376344086021506
