log,target,metric,scale,axis,S,S_total,levels,var_total,n_cells
BPIC13_closed,handover,ap,raw,learner,0.0269586650465563,0.2878434392024154,2,0.000940825665749303,216
BPIC13_closed,handover,ap,raw,split,0.26620171048704494,0.839768808240461,6,0.000940825665749303,216
BPIC13_closed,handover,ap,raw,quality_level,0.032043346140941106,0.43443266429763283,6,0.000940825665749303,216
BPIC13_closed,handover,ap,raw,rung,0.04939598977083283,0.3402699368287887,3,0.000940825665749303,216
BPIC13_closed,handover,auc,raw,learner,0.036061149333127436,0.24571237509773503,2,0.0009362418989708012,216
BPIC13_closed,handover,auc,raw,split,0.28660760274589797,0.8963402280590747,6,0.0009362418989708012,216
BPIC13_closed,handover,auc,raw,quality_level,0.01629496591252936,0.26143588305778875,6,0.0009362418989708012,216
BPIC13_closed,handover,auc,raw,rung,0.02309075794444632,0.45408410215311545,3,0.0009362418989708012,216
BPIC13_closed,handover,brier_skill,raw,learner,0.11009271012423258,0.45266053039497844,2,0.007415729053698472,216
BPIC13_closed,handover,brier_skill,raw,split,0.2029185675410047,0.542022325244593,6,0.007415729053698472,216
BPIC13_closed,handover,brier_skill,raw,quality_level,0.02879399924719395,0.32711645533777955,6,0.007415729053698472,216
BPIC13_closed,handover,brier_skill,raw,rung,0.1124582057730999,0.4706084521785565,3,0.007415729053698472,216
BPIC13_closed,handover,logloss_skill,raw,learner,0.19310680399153313,0.5485322862035794,2,0.021268113670565386,216
BPIC13_closed,handover,logloss_skill,raw,split,0.19260223592522183,0.5664850613177288,6,0.021268113670565386,216
BPIC13_closed,handover,logloss_skill,raw,quality_level,0.02831759928547863,0.2542811250839786,6,0.021268113670565386,216
BPIC13_closed,handover,logloss_skill,raw,rung,0.08355482945237655,0.3491755947484698,3,0.021268113670565386,216
BPIC13_closed,handover,nagelkerke,raw,learner,0.17461720237688627,0.5715773917924949,2,0.37816188676966506,216
BPIC13_closed,handover,nagelkerke,raw,split,0.1607429989396766,0.5978463572786417,6,0.37816188676966506,216
BPIC13_closed,handover,nagelkerke,raw,quality_level,0.029600729015588047,0.2491229958217991,6,0.37816188676966506,216
BPIC13_closed,handover,nagelkerke,raw,rung,0.07507029297447669,0.36658048317157177,3,0.37816188676966506,216
BPIC13_closed,handover,nb_0.050,raw,learner,0.0001333573240660954,0.5006077560094662,2,8.434953601186448e-05,216
BPIC13_closed,handover,nb_0.050,raw,split,0.09371548068099766,0.7444034506716102,6,8.434953601186448e-05,216
BPIC13_closed,handover,nb_0.050,raw,quality_level,0.0399050605368855,0.4134951556981553,6,8.434953601186448e-05,216
BPIC13_closed,handover,nb_0.050,raw,rung,0.0769356328514612,0.5828502521498395,3,8.434953601186448e-05,216
BPIC13_closed,handover,nb_0.075,raw,learner,0.0029073459865547927,0.4859872608411514,2,0.00010577907264253019,216
BPIC13_closed,handover,nb_0.075,raw,split,0.013692786553733531,0.4689112468116592,6,0.00010577907264253019,216
BPIC13_closed,handover,nb_0.075,raw,quality_level,0.019517889442765602,0.4090674788716273,6,0.00010577907264253019,216
BPIC13_closed,handover,nb_0.075,raw,rung,0.2089161662918191,0.8134881584869933,3,0.00010577907264253019,216
BPIC13_closed,handover,nb_0.100,raw,learner,0.00018669590805804782,0.46858377352158864,2,0.0001400622568040861,216
BPIC13_closed,handover,nb_0.100,raw,split,0.03076863384973484,0.5680699369334276,6,0.0001400622568040861,216
BPIC13_closed,handover,nb_0.100,raw,quality_level,0.011397301207412568,0.34003053486019996,6,0.0001400622568040861,216
BPIC13_closed,handover,nb_0.100,raw,rung,0.1846166275771319,0.7916208733874224,3,0.0001400622568040861,216
BPIC13_closed,handover,nb_0.125,raw,learner,0.0018764158821180884,0.4941201705556503,2,0.00012356422785705156,216
BPIC13_closed,handover,nb_0.125,raw,split,0.09049798573435522,0.6602373859089214,6,0.00012356422785705156,216
BPIC13_closed,handover,nb_0.125,raw,quality_level,0.011158543631974738,0.3890993418552823,6,0.00012356422785705156,216
BPIC13_closed,handover,nb_0.125,raw,rung,0.11128698131918209,0.7125729211573795,3,0.00012356422785705156,216
BPIC13_closed,handover,nb_0.150,raw,learner,0.009141166032810599,0.5185054340946351,2,0.0001447988560398917,216
BPIC13_closed,handover,nb_0.150,raw,split,0.1004607188949591,0.647599369937581,6,0.0001447988560398917,216
BPIC13_closed,handover,nb_0.150,raw,quality_level,0.013712175433015276,0.38295616753200834,6,0.0001447988560398917,216
BPIC13_closed,handover,nb_0.150,raw,rung,0.11557558273055536,0.641057390009918,3,0.0001447988560398917,216
BPIC13_closed,handover,nb_0.175,raw,learner,0.005134334754074938,0.5517975511942113,2,0.0002246920756584851,216
BPIC13_closed,handover,nb_0.175,raw,split,0.08419087087978253,0.7246860842274538,6,0.0002246920756584851,216
BPIC13_closed,handover,nb_0.175,raw,quality_level,0.012602199024898736,0.3880036763883469,6,0.0002246920756584851,216
BPIC13_closed,handover,nb_0.175,raw,rung,0.07718041241055588,0.6430062693257673,3,0.0002246920756584851,216
BPIC13_closed,handover,nb_0.200,raw,learner,0.03238872810628011,0.6306616760546374,2,0.0002293797768199402,216
BPIC13_closed,handover,nb_0.200,raw,split,0.0673210611226494,0.6919540973245972,6,0.0002293797768199402,216
BPIC13_closed,handover,nb_0.200,raw,quality_level,0.008706899967794392,0.3402328748786143,6,0.0002293797768199402,216
BPIC13_closed,handover,nb_0.200,raw,rung,0.019830199105255464,0.5966296089555558,3,0.0002293797768199402,216
BPIC13_closed,handover,nb_0.225,raw,learner,0.03212248727270966,0.5575904391302439,2,0.0002121392963196961,216
BPIC13_closed,handover,nb_0.225,raw,split,0.11870089236592393,0.70230439096407,6,0.0002121392963196961,216
BPIC13_closed,handover,nb_0.225,raw,quality_level,0.022165315111162483,0.3880758897915553,6,0.0002121392963196961,216
BPIC13_closed,handover,nb_0.225,raw,rung,0.0005588042832642846,0.546739959705624,3,0.0002121392963196961,216
BPIC13_closed,handover,nb_0.250,raw,learner,0.005878646126423739,0.48121678782067323,2,0.00026016662995687463,216
BPIC13_closed,handover,nb_0.250,raw,split,0.09617449398107987,0.8384875146515097,6,0.00026016662995687463,216
BPIC13_closed,handover,nb_0.250,raw,quality_level,0.025697782776119286,0.3654634776244998,6,0.00026016662995687463,216
BPIC13_closed,handover,nb_0.250,raw,rung,0.026542729390654867,0.47758741263225746,3,0.00026016662995687463,216
BPIC13_closed,handover,nb_0.275,raw,learner,0.004449779251815296,0.48960769083083944,2,0.00037633332957053613,216
BPIC13_closed,handover,nb_0.275,raw,split,0.031246195840358225,0.8613902225990759,6,0.00037633332957053613,216
BPIC13_closed,handover,nb_0.275,raw,quality_level,0.041096800671715575,0.34903598105411116,6,0.00037633332957053613,216
BPIC13_closed,handover,nb_0.275,raw,rung,0.04030032880710035,0.5331394555472795,3,0.00037633332957053613,216
BPIC13_closed,handover,nb_0.300,raw,learner,0.03955233030381418,0.4299246930616575,2,0.0005068513132779989,216
BPIC13_closed,handover,nb_0.300,raw,split,0.058370381372650784,0.7860249871010858,6,0.0005068513132779989,216
BPIC13_closed,handover,nb_0.300,raw,quality_level,0.036927107629910645,0.3101899829578364,6,0.0005068513132779989,216
BPIC13_closed,handover,nb_0.300,raw,rung,0.06264655147215459,0.6120417972742842,3,0.0005068513132779989,216
BPIC13_closed,handover,nb_0.325,raw,learner,0.036820941592013025,0.498513814347191,2,0.0005108720679624462,216
BPIC13_closed,handover,nb_0.325,raw,split,0.034446289607806616,0.7361028966124438,6,0.0005108720679624462,216
BPIC13_closed,handover,nb_0.325,raw,quality_level,0.02429015235945813,0.39076779066291334,6,0.0005108720679624462,216
BPIC13_closed,handover,nb_0.325,raw,rung,0.07289260459204375,0.6773993905301541,3,0.0005108720679624462,216
BPIC13_closed,handover,nb_0.350,raw,learner,0.024546252338751122,0.3909398144377687,2,0.0006645406894615372,216
BPIC13_closed,handover,nb_0.350,raw,split,0.18155807991929493,0.8505055881612182,6,0.0006645406894615372,216
BPIC13_closed,handover,nb_0.350,raw,quality_level,0.004887552565925626,0.2823981593692241,6,0.0006645406894615372,216
BPIC13_closed,handover,nb_0.350,raw,rung,0.05906084121588228,0.6254996047512082,3,0.0006645406894615372,216
BPIC13_closed,handover,nb_0.375,raw,learner,0.005244706109840794,0.26680609531292443,2,0.0007852608096542833,216
BPIC13_closed,handover,nb_0.375,raw,split,0.19570361768151676,0.8963739192371902,6,0.0007852608096542833,216
BPIC13_closed,handover,nb_0.375,raw,quality_level,0.006490162383333577,0.28411639483877493,6,0.0007852608096542833,216
BPIC13_closed,handover,nb_0.375,raw,rung,0.006064714002812515,0.6214905933430879,3,0.0007852608096542833,216
