log,target,axis,pairs,sign_flips,flip_rate
BPIC13_closed,handover,learner,540,155,0.28703703703703703
BPIC13_closed,handover,split,2700,1083,0.4011111111111111
BPIC13_closed,handover,rung,1080,240,0.2222222222222222
BPIC13_closed,handover,metric,2160,462,0.21388888888888888
BPIC13_closed,handover,quality,2700,631,0.2337037037037037
BPIC13_incidents,duration,learner,540,202,0.37407407407407406
BPIC13_incidents,duration,split,2700,1094,0.4051851851851852
BPIC13_incidents,duration,rung,1080,248,0.22962962962962963
BPIC13_incidents,duration,metric,2160,538,0.2490740740740741
BPIC13_incidents,duration,quality,2700,550,0.2037037037037037
BPIC13_incidents,handover,learner,540,94,0.17407407407407408
BPIC13_incidents,handover,split,2700,490,0.1814814814814815
BPIC13_incidents,handover,rung,1080,108,0.1
BPIC13_incidents,handover,metric,2160,192,0.08888888888888889
BPIC13_incidents,handover,quality,2700,300,0.1111111111111111
BPIC14,duration,learner,7200,1115,0.15486111111111112
BPIC14,duration,split,12000,1067,0.08891666666666667
BPIC14,duration,rung,7200,1083,0.15041666666666667
BPIC14,duration,metric,9600,492,0.05125
BPIC14,duration,quality,21600,2623,0.12143518518518519
BPIC14,handover,learner,7200,3066,0.42583333333333334
BPIC14,handover,split,12000,1350,0.1125
BPIC14,handover,rung,7200,998,0.1386111111111111
BPIC14,handover,metric,9600,920,0.09583333333333334
BPIC14,handover,quality,21600,2486,0.1150925925925926
BPIC15_1,duration,learner,540,207,0.38333333333333336
BPIC15_1,duration,split,2700,1205,0.4462962962962963
BPIC15_1,duration,rung,1080,376,0.34814814814814815
BPIC15_1,duration,metric,2160,468,0.21666666666666667
BPIC15_1,duration,quality,2700,615,0.22777777777777777
BPIC15_1,handover,learner,540,169,0.31296296296296294
BPIC15_1,handover,split,2700,893,0.3307407407407407
BPIC15_1,handover,rung,1080,284,0.26296296296296295
BPIC15_1,handover,metric,2160,362,0.1675925925925926
BPIC15_1,handover,quality,2700,627,0.23222222222222222
BPIC15_3,duration,learner,540,182,0.337037037037037
BPIC15_3,duration,split,2700,676,0.25037037037037035
BPIC15_3,duration,rung,1080,202,0.18703703703703703
BPIC15_3,duration,metric,2160,310,0.14351851851851852
BPIC15_3,duration,quality,2700,442,0.1637037037037037
BPIC15_3,handover,learner,540,197,0.3648148148148148
BPIC15_3,handover,split,2700,1211,0.44851851851851854
BPIC15_3,handover,rung,1080,298,0.2759259259259259
BPIC15_3,handover,metric,2160,652,0.30185185185185187
BPIC15_3,handover,quality,2700,585,0.21666666666666667
BPIC15_4,duration,learner,540,233,0.43148148148148147
BPIC15_4,duration,split,2700,1353,0.5011111111111111
BPIC15_4,duration,rung,1080,212,0.1962962962962963
BPIC15_4,duration,metric,2160,364,0.1685185185185185
BPIC15_4,duration,quality,2700,643,0.23814814814814814
BPIC15_4,handover,learner,540,243,0.45
BPIC15_4,handover,split,2700,1225,0.4537037037037037
BPIC15_4,handover,rung,1080,310,0.28703703703703703
BPIC15_4,handover,metric,2160,548,0.2537037037037037
BPIC15_4,handover,quality,2700,689,0.2551851851851852
BPIC15_5,duration,learner,540,230,0.42592592592592593
BPIC15_5,duration,split,2700,904,0.3348148148148148
BPIC15_5,duration,rung,1080,334,0.30925925925925923
BPIC15_5,duration,metric,2160,418,0.1935185185185185
BPIC15_5,duration,quality,2700,598,0.22148148148148147
BPIC17,duration,learner,540,157,0.29074074074074074
BPIC17,duration,split,2700,1073,0.39740740740740743
BPIC17,duration,rung,1080,242,0.22407407407407406
BPIC17,duration,metric,2160,474,0.21944444444444444
BPIC17,duration,quality,2700,693,0.25666666666666665
BPIC19,duration,learner,1620,296,0.18271604938271604
BPIC19,duration,split,4050,1825,0.4506172839506173
BPIC19,duration,rung,1620,128,0.07901234567901234
BPIC19,duration,metric,3240,704,0.21728395061728395
BPIC19,duration,quality,4050,647,0.15975308641975308
Helpdesk,duration,learner,540,136,0.2518518518518518
Helpdesk,duration,split,2700,766,0.2837037037037037
Helpdesk,duration,rung,1080,142,0.13148148148148148
Helpdesk,duration,metric,2160,590,0.27314814814814814
Helpdesk,duration,quality,2700,488,0.18074074074074073
RoadFines,duration,learner,1620,194,0.11975308641975309
RoadFines,duration,split,4050,896,0.22123456790123458
RoadFines,duration,rung,1620,182,0.11234567901234568
RoadFines,duration,metric,3240,556,0.17160493827160495
RoadFines,duration,quality,4050,732,0.18074074074074073
Sepsis,duration,learner,540,61,0.11296296296296296
Sepsis,duration,split,2700,241,0.08925925925925926
Sepsis,duration,rung,1080,68,0.06296296296296296
Sepsis,duration,metric,2160,142,0.06574074074074074
Sepsis,duration,quality,2700,157,0.05814814814814815
UCI498,duration,learner,540,162,0.3
UCI498,duration,split,2700,1036,0.3837037037037037
UCI498,duration,rung,1080,414,0.38333333333333336
UCI498,duration,metric,2160,426,0.19722222222222222
UCI498,duration,quality,2700,538,0.19925925925925925
UCI498,handover,learner,540,180,0.3333333333333333
UCI498,handover,split,2700,780,0.28888888888888886
UCI498,handover,rung,1080,528,0.4888888888888889
UCI498,handover,metric,2160,446,0.2064814814814815
UCI498,handover,quality,2700,622,0.23037037037037036
