log,target,one_number_misreport_conventional,one_number_misreport_any,one_number_regret_conventional,share_cells_positive
BPIC13_closed,handover,0.4280864197530865,0.40691186556927306,0.040936436046023296,0.28425925925925927
BPIC13_incidents,duration,0.3925925925925926,0.4769272976680384,0.09402509489849226,0.6074074074074074
BPIC13_incidents,handover,0.11111111111111116,0.1975308641975309,0.05023607780825166,0.8888888888888888
BPIC14,duration,0.20484375,0.19024991319444443,0.008847644484168339,0.8935416666666667
BPIC14,handover,0.33984375,0.368671875,0.018465524189922238,0.75625
BPIC15_1,duration,0.5,0.48818758573388216,0.03136508403337762,0.5768518518518518
BPIC15_1,handover,0.2416666666666667,0.3665277777777778,0.06097119072232949,0.7583333333333333
BPIC15_3,duration,0.19074074074074077,0.30871742112482853,0.024285203469914116,0.8092592592592592
BPIC15_3,handover,0.5771604938271605,0.4732081618655693,0.07723652133889138,0.6157407407407407
BPIC15_4,duration,0.5000000000000001,0.46966906721536356,0.03492787637614238,0.3768518518518518
BPIC15_4,handover,0.421604938271605,0.4723439643347051,0.06038718287920505,0.3824074074074074
BPIC15_5,duration,0.38518518518518513,0.44067901234567897,0.043346329167202796,0.6722222222222223
BPIC17,duration,0.3527777777777778,0.4566512345679013,0.0012787487460730297,0.6472222222222223
BPIC19,duration,0.3490740740740741,0.4544427297668039,0.09014997889852013,0.6509259259259259
Helpdesk,duration,0.2574074074074075,0.3822976680384088,0.0037859787228054337,0.2574074074074074
RoadFines,duration,0.13611111111111107,0.23516975308641974,0.0011865823770853773,0.8638888888888889
Sepsis,duration,0.056481481481481466,0.1065826474622771,0.00613497271287639,0.9435185185185185
UCI498,duration,0.5024691358024692,0.4998902606310014,0.007117865378667213,0.4925925925925926
UCI498,handover,0.5061728395061729,0.49931412894375865,0.005130259530179649,0.48148148148148145
