config,a0,b0,a1,b1,V_auc_naive,V_auc_honest,V_ap_naive,V_ap_honest,R_auc,R_ap,alpha1
0,5.0,0.0,100,47500,0.025000000000000022,0.025000000000000022,0.04990019960079841,0.00010483235210251773,0.0,0.9978991596638656,
1,50.0,22500.0,55,25000,0.025000000000000022,0.025000000000000022,0.00011064345809489676,0.00010953945232663803,0.0,0.00997804829375315,
sweep,,,5,0,,,,,0.0,0.0,0.05
sweep,,,10,2500,,,,,4.440892098500626e-15,0.9960159362549801,0.1
sweep,,,15,5000,,,,,4.440892098500626e-15,0.9970089730807578,0.15
sweep,,,20,7500,,,,,0.0,0.9973404255319149,0.2
sweep,,,25,10000,,,,,0.0,0.9975062344139651,0.25
sweep,,,30,12500,,,,,0.0,0.9976057462090981,0.3
sweep,,,35,15000,,,,,0.0,0.9976720984369803,0.35
sweep,,,40,17500,,,,,4.440892098500626e-15,0.9977194982896237,0.4
sweep,,,45,20000,,,,,0.0,0.9977550511349463,0.45
sweep,,,50,22500,,,,,0.0,0.9977827050997783,0.5
sweep,,,55,25000,,,,,0.0,0.9978048293753742,0.55
sweep,,,60,27500,,,,,0.0,0.997822931785196,0.6
sweep,,,65,30000,,,,,0.0,0.9978380176284717,0.65
sweep,,,70,32500,,,,,4.440892098500626e-15,0.9978507829290758,0.7
sweep,,,75,35000,,,,,0.0,0.9978617248752673,0.75
sweep,,,80,37500,,,,,0.0,0.9978712080894092,0.8
sweep,,,85,40000,,,,,0.0,0.9978795060496445,0.85
sweep,,,90,42500,,,,,0.0,0.9978868278938718,0.9
sweep,,,95,45000,,,,,4.440892098500626e-15,0.9978933362900543,0.95
sweep,,,100,47500,,,,,0.0,0.9978991596638656,1.0
