tolerance,axis_i,axis_j,witness,estate_a,estate_b,gap
0.0005,baseline,metric,True,0.0,7.0,0.00535246052853644
0.0005,baseline,threshold,False,,,
0.0005,baseline,population,False,,,
0.0005,metric,baseline,False,,,
0.0005,metric,threshold,False,,,
0.0005,metric,population,False,,,
0.0005,threshold,baseline,True,0.0,35.0,0.0016021815135877082
0.0005,threshold,metric,True,0.0,7.0,0.00535246052853644
0.0005,threshold,population,False,,,
0.0005,population,baseline,True,4.0,25.0,0.0023284384546775616
0.0005,population,metric,True,0.0,21.0,0.0057456588602491365
0.0005,population,threshold,False,,,
0.001,baseline,metric,True,0.0,7.0,0.00535246052853644
0.001,baseline,threshold,False,,,
0.001,baseline,population,False,,,
0.001,metric,baseline,False,,,
0.001,metric,threshold,False,,,
0.001,metric,population,False,,,
0.001,threshold,baseline,True,12.0,33.0,0.0041707076226359385
0.001,threshold,metric,True,0.0,7.0,0.00535246052853644
0.001,threshold,population,False,,,
0.001,population,baseline,True,20.0,27.0,0.0032860395913113516
0.001,population,metric,True,0.0,7.0,0.00535246052853644
0.001,population,threshold,False,,,
0.002,baseline,metric,True,0.0,14.0,0.006837439192128425
0.002,baseline,threshold,False,,,
0.002,baseline,population,False,,,
0.002,metric,baseline,False,,,
0.002,metric,threshold,False,,,
0.002,metric,population,False,,,
0.002,threshold,baseline,False,,,
0.002,threshold,metric,True,0.0,14.0,0.006837439192128425
0.002,threshold,population,False,,,
0.002,population,baseline,False,,,
0.002,population,metric,True,0.0,14.0,0.006837439192128425
0.002,population,threshold,False,,,
0.005,baseline,metric,True,4.0,18.0,0.01656639635058954
0.005,baseline,threshold,False,,,
0.005,baseline,population,False,,,
0.005,metric,baseline,False,,,
0.005,metric,threshold,False,,,
0.005,metric,population,False,,,
0.005,threshold,baseline,False,,,
0.005,threshold,metric,True,4.0,18.0,0.01656639635058954
0.005,threshold,population,False,,,
0.005,population,baseline,False,,,
0.005,population,metric,True,4.0,18.0,0.01656639635058954
0.005,population,threshold,False,,,
0.01,baseline,metric,False,,,
0.01,baseline,threshold,False,,,
0.01,baseline,population,False,,,
0.01,metric,baseline,False,,,
0.01,metric,threshold,False,,,
0.01,metric,population,False,,,
0.01,threshold,baseline,False,,,
0.01,threshold,metric,False,,,
0.01,threshold,population,False,,,
0.01,population,baseline,False,,,
0.01,population,metric,False,,,
0.01,population,threshold,False,,,
