lambda_posthoc,V_auc,sd,n_seeds
0.0,-0.0028649673662244357,0.0,5
0.1,-0.00017799906512043772,0.001260812180259879,5
0.2,0.006412703349407934,0.0022122270466008918,5
0.3,0.014138019755106535,0.002648476494813894,5
0.4,0.023889756956192998,0.0032743091348217445,5
0.5,0.03284928645235881,0.003195045231086025,5
0.6,0.04612556258265017,0.002696919606966817,5
0.7,0.05946277298660483,0.003796309418621488,5
0.8,0.0764352618974555,0.0028251538168657946,5
0.9,0.09104080655958739,0.0016534571607933677,5
1.0,0.10419442003820345,0.0,5
