mechanism,level,encoder,populated,V,n_seeds
clean,1.0,ignores-missing,1.0,0.16727153256753435,1
clean,1.0,keeps-missing,1.0,0.16729336305704312,1
mask_rare,0.75,ignores-missing,0.7603527442818522,0.1397637328596084,1
mask_rare,0.75,keeps-missing,0.7603527442818522,0.13923456574513682,1
mask_rare,0.5,ignores-missing,0.5152555464961593,0.10388245871765522,1
mask_rare,0.5,keeps-missing,0.5152555464961593,0.10392681116014135,1
mask_rare,0.25,ignores-missing,0.2676908552546882,0.03729181022765349,1
mask_rare,0.25,keeps-missing,0.2676908552546882,0.035696505225093156,1
mask_random,0.5,ignores-missing,0.5023816675964468,0.09507416900578876,3
mask_random,0.5,keeps-missing,0.5023816675964468,0.09504506168644382,3
mask_common,0.5,ignores-missing,0.5115221216152427,0.1055082375030818,1
mask_common,0.5,keeps-missing,0.5115221216152427,0.10550270579533316,1
corrupt,0.05,ignores-missing,1.0,0.15337907660519623,3
corrupt,0.05,keeps-missing,1.0,0.15337909306861217,3
corrupt,0.15,ignores-missing,1.0,0.13155807002404452,3
corrupt,0.15,keeps-missing,1.0,0.13155807002404452,3
corrupt,0.3,ignores-missing,1.0,0.09732985454769605,3
corrupt,0.3,keeps-missing,1.0,0.09733545210910843,3
duplicate,0.15,ignores-missing,1.0,0.16697780876412174,3
duplicate,0.15,keeps-missing,1.0,0.166977545349467,3
duplicate,0.5,ignores-missing,1.0,0.16481573420513052,3
duplicate,0.5,keeps-missing,1.0,0.16481573420513052,3
duplicate,1.0,ignores-missing,1.0,0.16343924446355074,3
duplicate,1.0,keeps-missing,1.0,0.16343924446355076,3
stale,1.0,ignores-missing,0.9840793030940223,0.16727153256753435,1
stale,1.0,keeps-missing,0.9840793030940223,0.16729336305704312,1
stale_lag,0.1,ignores-missing,0.9819336566107368,0.1689524308694581,1
stale_lag,0.1,keeps-missing,0.9819336566107368,0.16827341374329075,1
stale_lag,0.25,ignores-missing,0.9710766854053127,0.16861593511148765,1
stale_lag,0.25,keeps-missing,0.9710766854053127,0.16835683387175304,1
stale_lag,0.5,ignores-missing,0.9406085053426597,0.16412512683415614,1
stale_lag,0.5,keeps-missing,0.9406085053426597,0.16385644388635656,1
