world,estimand,interval,coverage,n,mean_width,bias,rmse,truth,mean_estimate
drift,V_oracle,naive,0.53,200,0.03229453879120382,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035
drift,V_oracle,nested,0.525,200,0.036812730473127615,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035
drift,V_limit,naive,0.915,200,0.03229453879120382,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035
drift,V_limit,nested,0.975,200,0.036812730473127615,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035
imbalanced,V_oracle,naive,0.91,200,0.10302218487555109,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799
imbalanced,V_oracle,nested,0.94,200,0.11505924128999151,-0.007379376326557719,0.029965845028264236,0.11547982039012572,0.10810044406356799
imbalanced,V_limit,naive,0.91,200,0.10302218487555109,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799
imbalanced,V_limit,nested,0.94,200,0.11505924128999151,-0.007190661450932835,0.029919931239742504,0.11529110551450084,0.10810044406356799
linear,V_oracle,naive,0.9,200,0.05634695045546529,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588
linear,V_oracle,nested,0.945,200,0.06024762057221409,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588
linear,V_limit,naive,0.9,200,0.05634695045546529,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588
linear,V_limit,nested,0.945,200,0.06024762057221409,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588
noisy,V_oracle,naive,0.01,200,0.035046806371516644,-0.04052813739003556,0.041629158603796214,0.11864771682575648,0.07811957943572091
noisy,V_oracle,nested,0.015,200,0.03668115065931254,-0.04052813739003556,0.041629158603796214,0.11864771682575648,0.07811957943572091
noisy,V_limit,naive,0.055,200,0.035046806371516644,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572091
noisy,V_limit,nested,0.035,200,0.03668115065931254,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572091
nonlinear,V_oracle,naive,0.93,200,0.04273145268255499,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485665
nonlinear,V_oracle,nested,0.95,200,0.043934065764556045,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485665
nonlinear,V_limit,naive,0.925,200,0.04273145268255499,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485665
nonlinear,V_limit,nested,0.95,200,0.043934065764556045,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485665
sparse,V_oracle,naive,0.6,200,0.029964678963694247,-0.012273284536863365,0.014662655124828554,0.09148891802160597,0.0792156334847426
sparse,V_oracle,nested,0.395,200,0.03400725485684108,-0.012273284536863365,0.014662655124828554,0.09148891802160597,0.0792156334847426
sparse,V_limit,naive,0.635,200,0.029964678963694247,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426
sparse,V_limit,nested,0.42,200,0.03400725485684108,-0.011619302284618476,0.014119777886645092,0.09083493576936108,0.0792156334847426
