world,estimand,interval,coverage,n,mean_width,bias,rmse,truth,mean_estimate,median_shift
drift,V_oracle,naive,0.53,200,0.03229453879120382,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035,0.00010340641640211951
drift,V_oracle,nested,0.525,200,0.03681273047312762,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035,-0.0019080880742407148
drift,V_oracle,naive_pct,0.53,200,0.03229453879120382,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035,0.00010340641640211951
drift,V_oracle,naive_basic,0.52,200,0.03229453879120382,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035,0.00010340641640211951
drift,V_oracle,naive_bc,0.52,200,0.03225557752623378,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035,0.00010340641640211951
drift,V_oracle,nested_pct,0.525,200,0.03681273047312762,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035,-0.0019080880742407148
drift,V_oracle,nested_basic,0.7,200,0.03681273047312762,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035,-0.0019080880742407148
drift,V_oracle,nested_bc,0.59,200,0.03544549320683708,-0.015712560634493153,0.017953881917499644,0.015583285731330943,-0.00012927490316221035,-0.0019080880742407148
drift,V_limit,naive,0.915,200,0.03229453879120382,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035,0.00010340641640211951
drift,V_limit,nested,0.975,200,0.03681273047312762,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035,-0.0019080880742407148
drift,V_limit,naive_pct,0.915,200,0.03229453879120382,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035,0.00010340641640211951
drift,V_limit,naive_basic,0.935,200,0.03229453879120382,8.59690311782596e-05,0.0086870423556708,-0.00021524393434046996,-0.00012927490316221035,0.00010340641640211951
