quantity,pipeline,package,difference,agrees,tolerance
S[BPIC13_closed/handover/split],0.1106822831728128,0.11068228317281283,2.7755575615628914e-17,True,1e-12
S_total[BPIC13_closed/handover/split],0.5101117403706763,0.5101117403706763,0.0,True,1e-12
S[BPIC13_closed/handover/metric],0.1052428151530648,0.10524281515306481,1.3877787807814457e-17,True,1e-12
S_total[BPIC13_closed/handover/metric],0.5872470762990821,0.5872470762990821,0.0,True,1e-12
S[BPIC13_closed/handover/learner],0.0475993546647385,0.04759935466473858,8.326672684688674e-17,True,1e-12
S_total[BPIC13_closed/handover/learner],0.4696752210953923,0.4696752210953923,0.0,True,1e-12
S[BPIC13_closed/handover/rung],0.0389845921518363,0.03898459215183632,2.0816681711721685e-17,True,1e-12
S_total[BPIC13_closed/handover/rung],0.3399740978761841,0.33997409787618416,5.551115123125783e-17,True,1e-12
S[BPIC13_closed/handover/quality_level],0.0141619782997569,0.014161978299756916,1.5612511283791264e-17,True,1e-12
S_total[BPIC13_closed/handover/quality_level],0.2388320534797146,0.2388320534797146,0.0,True,1e-12
S[BPIC13_incidents/duration/split],0.1581073991838284,0.1581073991838284,0.0,True,1e-12
S_total[BPIC13_incidents/duration/split],0.7921895792082478,0.7921895792082478,0.0,True,1e-12
S[BPIC13_incidents/duration/metric],0.0745720827816873,0.0745720827816873,0.0,True,1e-12
S_total[BPIC13_incidents/duration/metric],0.6437744782849735,0.6437744782849735,0.0,True,1e-12
S[BPIC13_incidents/duration/learner],0.0230541462816389,0.023054146281638918,1.734723475976807e-17,True,1e-12
S_total[BPIC13_incidents/duration/learner],0.3118344462721255,0.31183444627212553,5.551115123125783e-17,True,1e-12
S[BPIC13_incidents/duration/quality_level],0.0111847840885041,0.01118478408850414,3.9898639947466563e-17,True,1e-12
S_total[BPIC13_incidents/duration/quality_level],0.1756590322233526,0.17565903222335266,5.551115123125783e-17,True,1e-12
S[BPIC13_incidents/duration/rung],0.0038529463659009,0.003852946365900915,1.474514954580286e-17,True,1e-12
S_total[BPIC13_incidents/duration/rung],0.2472735228527803,0.24727352285278037,8.326672684688674e-17,True,1e-12
S[BPIC13_incidents/handover/split],0.0944130856876403,0.0944130856876403,0.0,True,1e-12
S_total[BPIC13_incidents/handover/split],0.7643000047821601,0.7643000047821601,0.0,True,1e-12
S[BPIC13_incidents/handover/metric],0.0529804349502773,0.05298043495027734,4.163336342344337e-17,True,1e-12
S_total[BPIC13_incidents/handover/metric],0.6577929139675376,0.6577929139675376,0.0,True,1e-12
S[BPIC13_incidents/handover/quality_level],0.0307052622433244,0.030705262243324413,1.3877787807814457e-17,True,1e-12
S_total[BPIC13_incidents/handover/quality_level],0.433134410233844,0.433134410233844,0.0,True,1e-12
S[BPIC13_incidents/handover/learner],0.0196137221995556,0.01961372219955565,4.85722573273506e-17,True,1e-12
S_total[BPIC13_incidents/handover/learner],0.4451809133538406,0.4451809133538406,0.0,True,1e-12
S[BPIC13_incidents/handover/rung],0.0073175364587724,0.007317536458772448,4.85722573273506e-17,True,1e-12
S_total[BPIC13_incidents/handover/rung],0.4093570410355992,0.4093570410355992,0.0,True,1e-12
S[BPIC14/duration/rung],0.300752021004165,0.300752021004165,0.0,True,1e-12
S_total[BPIC14/duration/rung],0.4808368374013017,0.4808368374013017,0.0,True,1e-12
S[BPIC14/duration/metric],0.2442754979191563,0.24427549791915634,5.551115123125783e-17,True,1e-12
S_total[BPIC14/duration/metric],0.3601516726610018,0.3601516726610018,0.0,True,1e-12
S[BPIC14/duration/quality_level],0.1035009214783782,0.10350092147837825,5.551115123125783e-17,True,1e-12
S_total[BPIC14/duration/quality_level],0.1980607189496122,0.1980607189496122,0.0,True,1e-12
S[BPIC14/duration/learner],0.0961260660613954,0.0961260660613954,0.0,True,1e-12
S_total[BPIC14/duration/learner],0.2160332394819704,0.2160332394819704,0.0,True,1e-12
S[BPIC14/duration/split],0.0084953584835013,0.008495358483501386,8.673617379884035e-17,True,1e-12
S_total[BPIC14/duration/split],0.0371228742098482,0.03712287420984828,7.632783294297951e-17,True,1e-12
S[BPIC14/handover/learner],0.318581228510477,0.318581228510477,0.0,True,1e-12
S_total[BPIC14/handover/learner],0.5810831437371227,0.5810831437371227,0.0,True,1e-12
S[BPIC14/handover/rung],0.154401287770312,0.154401287770312,0.0,True,1e-12
