learner,bin,n,mean_predicted,observed
logit,0,1304,0.5294920388317527,0.6303680981595092
logit,1,1445,0.8868810025711958,0.8968858131487889
logit,2,1441,0.9534329609326618,0.9576682859125607
logit,3,1182,0.972399706703156,0.9898477157360406
logit,4,1607,0.9795026020970259,0.9912881144990666
logit,5,1346,0.9841034616446782,0.9940564635958395
logit,6,1375,0.9869670922633629,0.9825454545454545
logit,7,1403,0.9903086407333535,0.9914468995010691
logit,8,1062,0.9936138568839853,0.9981167608286252
logit,9,1817,0.9967501667521991,0.9988992845349477
logit_fr,0,1279,0.7833438453740498,0.8788115715402658
logit_fr,1,1475,0.8621021592018886,0.9383050847457627
logit_fr,2,1439,0.9114753152897953,0.8902015288394719
logit_fr,3,1383,0.938599924302916,0.9088937093275488
logit_fr,4,1406,0.9560846250416112,0.9765291607396871
logit_fr,5,644,0.9593655534287925,0.9440993788819876
logit_fr,6,2081,0.9609739086380923,0.9956751561749159
logit_fr,7,1458,0.9624125580712396,0.9670781893004116
logit_fr,8,1336,0.964212590743201,0.9775449101796407
logit_fr,9,1481,0.967281812725289,0.9459824442943957
hgb,0,1342,0.5253733249470836,0.643070044709389
hgb,1,1431,0.8596871434316422,0.8888888888888888
hgb,2,1364,0.969074035315382,0.9714076246334311
hgb,3,1248,0.9841588362041003,0.9911858974358975
hgb,4,1346,0.9853720644900695,0.9829123328380386
hgb,5,1631,0.9867086898040721,0.9901900674432863
hgb,6,1060,0.990125221532373,0.9886792452830189
hgb,7,1677,0.9918851017276418,0.9922480620155039
hgb,8,1173,0.9949407341639677,0.9906223358908781
hgb,9,1710,0.9964385176355329,0.9982456140350877
hgb_iso,0,1302,0.5159102463116403,0.6251920122887865
hgb_iso,1,1421,0.852493906317127,0.8972554539057002
hgb_iso,2,1458,0.9629647596681717,0.9725651577503429
hgb_iso,3,1360,0.9861822307530785,0.9830882352941176
hgb_iso,4,270,0.9863061309095281,0.9925925925925926
hgb_iso,5,2373,0.9871670048669562,0.9915718499789297
hgb_iso,6,1554,0.988363535974754,0.990990990990991
hgb_iso,7,670,0.9902690530264425,0.9805970149253731
hgb_iso,8,2090,0.9920235170424118,0.9923444976076555
hgb_iso,9,1484,0.9951790574032042,0.9973045822102425
