log,n,agreement,prev_handover,prev_duration
BPIC13_closed,1487,0.6610625420309347,0.3846671149966375,0.3496973772696705
BPIC13_incidents,7554,0.6425734710087371,0.7415938575589092,0.39608154620068836
BPIC14,46606,0.508239282495816,0.9266403467364717,0.47817877526498737
BPIC15_1,1199,0.5162635529608006,0.8698915763135947,0.48123436196830693
BPIC15_3,1409,0.6188786373314408,0.8537970191625266,0.4854506742370476
BPIC15_4,1053,0.48243114909781576,0.8945868945868946,0.41690408357075026
BPIC15_5,1156,0.4619377162629758,0.9593425605536332,0.435121107266436
BPIC17,31509,0.5004601859786093,0.9977466755530165,0.4982068615316259
BPIC19,251734,0.43416860654500383,0.963147608189597,0.3985953427030119
Helpdesk,4580,0.4851528384279476,0.9993449781659388,0.4853711790393013
RoadFines,150370,0.5243000598523642,0.0036908957903837203,0.4786460065172574
Sepsis,1050,0.4828571428571429,1.0,0.4828571428571429
UCI498,24918,0.5581908660406132,0.3591379725499639,0.4357492575648126
