world,C,V_mean,gap,n_reps
drift,0.1,0.007366133970655838,-0.00767389078126219,30
drift,1.0,-5.921567218373225e-05,-0.00024854113842261996,30
drift,10.0,-0.0018512482929275134,0.0015434914823211612,30
drift,100.0,-0.0020653787922881267,0.0017576219816817747,30
drift,1000.0,-0.0020894993643218933,0.001781742553715541,30
drift,10000.0,-0.002091693039126837,0.0017839362285204847,30
imbalanced,0.1,0.1004342312300665,0.014217904504919169,30
imbalanced,1.0,0.10733850463844667,0.007313631096538997,30
imbalanced,10.0,0.10709422528854391,0.007557910446441759,30
imbalanced,100.0,0.10664994305156726,0.008002192683418419,30
imbalanced,1000.0,0.10665105514741603,0.008001080587569643,30
imbalanced,10000.0,0.10668139340494845,0.007970742330037217,30
linear,0.1,0.1900561193649388,0.0019879100175743828,30
linear,1.0,0.19182398979288579,0.00022003958962739286,30
linear,10.0,0.19176113969134373,0.0002828896911694634,30
linear,100.0,0.1917501528426864,0.000293876539826791,30
linear,1000.0,0.19175444601966904,0.0002895833628441554,30
linear,10000.0,0.1917547971745147,0.00028923220799848736,30
noisy,0.1,0.07647304692030395,0.037591318101059125,30
noisy,1.0,0.07793200981458,0.036132355206783075,30
noisy,10.0,0.07790848654147539,0.036155878479887694,30
noisy,100.0,0.07791063289527789,0.03615373212608519,30
noisy,1000.0,0.07791000383904535,0.03615436118231773,30
noisy,10000.0,0.07790992891437695,0.036154436106986126,30
nonlinear,0.1,0.16373000553747952,0.005672954692219856,30
nonlinear,1.0,0.16756100119643913,0.001841959033260232,30
nonlinear,10.0,0.1676116690352287,0.0017912911944706529,30
nonlinear,100.0,0.16759524666175804,0.001807713567941312,30
nonlinear,1000.0,0.16759863966441646,0.001804320565282913,30
nonlinear,10000.0,0.16759769880454242,0.0018052614251569492,30
sparse,0.1,0.06644496246792642,0.024674551502975373,30
sparse,1.0,0.07927629870085799,0.011843215270043799,30
sparse,10.0,0.07487739232985631,0.01624212164104547,30
sparse,100.0,0.07043148426941918,0.020688029701482594,30
sparse,1000.0,0.06884812794043912,0.022271386030462675,30
sparse,10000.0,0.06864050287320748,0.02247901109769431,30
