world,C,V_mean,gap,n_reps
drift,0.1,0.0016486619531665414,-0.005359622530193231,2
drift,1.0,-0.006007531282284595,0.0022965707052579054,2
drift,10.0,-0.00784487632987424,0.00413391575284755,2
drift,100.0,-0.008012169684123271,0.004301209107096582,2
drift,1000.0,-0.008017761685296942,0.004306801108270253,2
imbalanced,0.1,0.11229854271535378,0.010980659272740612,2
imbalanced,1.0,0.11746778883827097,0.005811413149823419,2
imbalanced,10.0,0.11623744376885214,0.0070417582192422445,2
imbalanced,100.0,0.11427384596244189,0.0090053560256525,2
imbalanced,1000.0,0.11348514064816406,0.009794061339930327,2
linear,0.1,0.08677128166669901,0.0030593939204129894,2
linear,1.0,0.08887303517714035,0.0009576404099716496,2
linear,10.0,0.08881274706692616,0.0010179285201858401,2
linear,100.0,0.08877571477869395,0.0010549608084180484,2
linear,1000.0,0.08878176735588883,0.0010489082312231668,2
noisy,0.1,0.05272596688950759,0.02623786761826219,2
noisy,1.0,0.05352560255975658,0.0254382319480132,2
noisy,10.0,0.0535046105270765,0.02545922398069328,2
noisy,100.0,0.05349009360805351,0.02547374089971627,2
noisy,1000.0,0.053476585043467695,0.025487249464302086,2
nonlinear,0.1,0.2268758385903965,0.0076246725058277676,2
nonlinear,1.0,0.23424078875134902,0.00025972234487525725,2
nonlinear,10.0,0.23483610820383022,-0.00033559710760594497,2
nonlinear,100.0,0.23485524277065944,-0.0003547316744351714,2
nonlinear,1000.0,0.23484481246702948,-0.00034430137080521117,2
sparse,0.1,0.07983846292945068,0.03961505357826883,2
sparse,1.0,0.10027989768152695,0.019173618826192562,2
sparse,10.0,0.09835015928640672,0.02110335722131279,2
sparse,100.0,0.09706418122826416,0.022389335279455358,2
sparse,1000.0,0.0969539887393962,0.022499527768323313,2
