log,target,domain,n,size_class,n_learners,learners,n_splits,splits,n_quality,quality,n_rungs,rungs,n_scalar_metrics,n_thresholds,draws,cells,scalar_cells,dc_cells
BPIC14,duration,itsm,46606,medium,4,logit|logit_fr|hgb|hgb_iso,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,4,B_half|B_intake|B_intake_g|B_intake_g_km,5,31,150,96,480,2976
BPIC14,handover,itsm,46606,medium,4,logit|logit_fr|hgb|hgb_iso,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,4,B_half|B_intake|B_intake_g|B_intake_g_km,5,31,150,96,480,2976
Sepsis,duration,healthcare,1050,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC15_4,duration,permitting,1053,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC15_4,handover,permitting,1053,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC15_5,duration,permitting,1156,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC15_1,duration,permitting,1199,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC15_1,handover,permitting,1199,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC15_3,duration,permitting,1409,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC15_3,handover,permitting,1409,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC13_closed,handover,itsm,1487,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
Helpdesk,duration,itsm,4580,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC13_incidents,duration,itsm,7554,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC13_incidents,handover,itsm,7554,small,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
UCI498,duration,itsm,24918,medium,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
UCI498,handover,itsm,24918,medium,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
BPIC17,duration,lending,31509,medium,2,logit|hgb,2,holdout70|rolling5,3,clean@1.00|mask_rare@0.50|stale@1.00,3,B_half|B_intake|B_intake_g,5,31,80,36,180,1116
RoadFines,duration,enforcement,150370,large,2,logit|logit_fr,2,holdout70|rolling5,2,clean@1.00|mask_rare@0.50,3,B_half|B_intake|B_intake_g,5,31,40,24,120,744
BPIC19,duration,procurement,251734,large,2,logit|logit_fr,2,holdout70|rolling5,2,clean@1.00|mask_rare@0.50,3,B_half|B_intake|B_intake_g,5,31,40,24,120,744
