log,target,rows,draws,seconds,cells
BPIC14,duration,521856,150,0.0,96
BPIC14,handover,521856,150,0.0,96
Sepsis,duration,195696,80,0.0,36
BPIC15_4,duration,191160,80,0.0,36
BPIC15_4,handover,195696,80,0.0,36
BPIC15_5,duration,195696,80,0.0,36
BPIC15_1,duration,104976,80,119.8,36
BPIC15_1,handover,104976,80,126.3,36
BPIC15_3,duration,104976,80,160.6,36
BPIC15_3,handover,104976,80,160.9,36
BPIC13_closed,handover,104976,80,165.0,36
Helpdesk,duration,104976,80,217.3,36
BPIC13_incidents,duration,104976,80,230.8,36
BPIC13_incidents,handover,104976,80,239.1,36
UCI498,duration,104976,80,406.8,36
UCI498,handover,104976,80,357.8,36
BPIC17,duration,104976,80,151.6,36
RoadFines,duration,35424,40,100.9,24
BPIC19,duration,32400,40,472.3,24
