log,target,family,q,q_lo,q_hi,q_emp,q_emp_lo,q_emp_hi,n_family,n_draws,n_mult
BPIC13_closed,handover,whole-surface,3.3381739359880793,3.3210609026017606,3.3590456666948683,4.2666337130599565,3.6997262234567403,6.8908990871779245,180,80,20000
BPIC13_closed,handover,decision-curve,3.852095444180845,3.8379568926085854,3.870153141942003,5.955689669119683,5.045616609865669,8.506068421210587,1116,80,20000
BPIC13_incidents,duration,whole-surface,3.353778843939488,3.334460756052644,3.373818825765122,4.138915906282547,3.5408076318218145,4.833458449357922,180,80,20000
BPIC13_incidents,duration,decision-curve,3.8782779108014838,3.8615702919436767,3.89063089515378,4.971036428000571,4.777260336421786,6.94174461458151,1116,80,20000
BPIC13_incidents,handover,whole-surface,3.330444900601863,3.3110767239880112,3.3477515704733958,4.039158839762282,3.745805525991819,6.808036666599663,180,80,20000
BPIC13_incidents,handover,decision-curve,3.8692350611036765,3.853271080988745,3.887674298489609,8.099757259613488,7.038845926501513,8.832468511124171,1087,80,20000
BPIC14,duration,whole-surface,3.491564151024563,3.472674830603451,3.5090777102146418,4.497892951489554,3.750982020567558,5.679339117386647,480,150,20000
BPIC14,duration,decision-curve,4.120802908943599,4.107191909176813,4.135947775984646,9.615117181913753,7.744874084546517,10.509356076554967,2966,150,20000
BPIC14,handover,whole-surface,3.569011767065125,3.5515915485639717,3.588537334064734,6.364129402075658,4.8565010466147776,7.419514430267115,480,150,20000
BPIC14,handover,decision-curve,4.083357211879105,4.068499708723611,4.0979798059745525,12.165799055823118,12.165799055823118,12.16579905582312,2853,150,20000
BPIC15_1,duration,whole-surface,3.3393220544755295,3.3220562750834874,3.3571245815922826,4.882828286478926,4.2641184105961045,8.6277476280329,180,80,20000
BPIC15_1,duration,decision-curve,3.858867797906245,3.843453823099953,3.872979541477222,8.832031886847412,8.567191468790945,8.83246851112417,1095,80,20000
BPIC15_1,handover,whole-surface,3.358442405493676,3.3397201957763487,3.38151424453101,5.6244389774660215,4.750067219270444,8.739847985997976,180,80,20000
BPIC15_1,handover,decision-curve,3.8064484269245087,3.78747333026905,3.8240173820045005,8.815017760870854,8.283422319109476,8.83246851112417,1096,80,20000
BPIC15_3,duration,whole-surface,3.3347165264190672,3.315748346938263,3.352738409901123,4.343083105737341,3.642770170560111,8.820121012292583,180,80,20000
BPIC15_3,duration,decision-curve,3.790895306052857,3.7759176829575494,3.808271861994297,6.346264149197431,6.078838893621587,8.772792913861531,1116,80,20000
BPIC15_3,handover,whole-surface,3.317758279536386,3.2970853570053573,3.339476685852935,4.60423559682735,4.317056112873701,6.171801304137866,180,80,20000
BPIC15_3,handover,decision-curve,3.7614254739218973,3.7453065900274787,3.7779848293255776,8.398564265195079,6.659219945336821,8.832468511124171,1067,80,20000
