log,target,n_cells,n_beneficial,n_harmful,n_unresolved,rho,region,region_nominal_q,region_within_instrument,n_beneficial_wi,n_harmful_wi,n_unresolved_wi,rho_within_instrument,n_resolved_whole,n_resolved_within,n_cells_within,share_positive,q,q_hi,n_draws
BPIC13_closed,handover,180,0,1,179,-0.005555555555555556,conditionally harmful,conditionally harmful,sign-changing,2,4,174,-0.011111111111111112,1,6,180,0.4777777777777778,3.3381739359880793,3.3590456666948683,80
BPIC13_incidents,duration,180,21,0,159,0.11666666666666667,conditionally beneficial,conditionally beneficial,sign-changing,39,2,139,0.20555555555555555,21,41,180,0.6666666666666666,3.353778843939488,3.373818825765122,80
BPIC13_incidents,handover,180,97,0,83,0.5388888888888889,conditionally beneficial,conditionally beneficial,conditionally beneficial,119,0,61,0.6611111111111111,97,119,180,0.9888888888888889,3.330444900601863,3.3477515704733958,80
BPIC14,duration,480,337,0,143,0.7020833333333333,conditionally beneficial,conditionally beneficial,conditionally beneficial,364,0,116,0.7583333333333333,337,364,480,0.9270833333333334,3.491564151024563,3.5090777102146418,150
BPIC14,handover,480,279,2,199,0.5770833333333333,sign-changing,sign-changing,sign-changing,310,16,154,0.6125,281,326,480,0.8229166666666666,3.569011767065125,3.588537334064734,150
BPIC15_1,duration,180,6,0,174,0.03333333333333333,conditionally beneficial,conditionally beneficial,conditionally beneficial,12,0,168,0.06666666666666667,6,12,180,0.5166666666666667,3.3393220544755295,3.3571245815922826,80
BPIC15_1,handover,180,2,0,178,0.011111111111111112,conditionally beneficial,conditionally beneficial,sign-changing,7,1,172,0.03333333333333333,2,8,180,0.8111111111111111,3.358442405493676,3.38151424453101,80
BPIC15_3,duration,180,40,0,140,0.2222222222222222,conditionally beneficial,conditionally beneficial,sign-changing,69,5,106,0.35555555555555557,40,74,180,0.8166666666666667,3.3347165264190672,3.352738409901123,80
BPIC15_3,handover,180,2,0,178,0.011111111111111112,conditionally beneficial,conditionally beneficial,sign-changing,4,2,174,0.011111111111111112,2,6,180,0.4111111111111111,3.317758279536386,3.339476685852935,80
BPIC15_4,duration,180,0,0,180,0.0,unresolved,unresolved,sign-changing,4,8,168,-0.022222222222222223,0,12,180,0.5833333333333334,3.3803201690400253,3.399675460020394,143
BPIC15_4,handover,180,0,0,180,0.0,unresolved,unresolved,sign-changing,2,8,170,-0.03333333333333333,0,10,180,0.39444444444444443,3.424642468267414,3.4468959170322426,150
BPIC15_5,duration,180,4,3,173,0.005555555555555556,sign-changing,sign-changing,sign-changing,17,5,158,0.06666666666666667,7,22,180,0.5555555555555556,3.39451901682981,3.412074325543091,150
BPIC17,duration,180,35,0,145,0.19444444444444445,conditionally beneficial,conditionally beneficial,conditionally beneficial,44,0,136,0.24444444444444444,35,44,180,0.42777777777777776,3.2518433007313483,3.271147700977318,80
BPIC19,duration,120,14,28,78,-0.11666666666666667,sign-changing,sign-changing,sign-changing,29,52,39,-0.19166666666666668,42,81,120,0.4166666666666667,3.3167084821052373,3.3360318207709465,33
Helpdesk,duration,180,0,8,172,-0.044444444444444446,conditionally harmful,conditionally harmful,sign-changing,1,26,153,-0.1388888888888889,8,27,180,0.12777777777777777,3.3123895973124102,3.3332545498521413,80
RoadFines,duration,120,47,20,53,0.225,sign-changing,sign-changing,sign-changing,60,27,33,0.275,67,87,120,0.675,3.139959571475433,3.1582094219191648,40
Sepsis,duration,180,106,0,74,0.5888888888888889,conditionally beneficial,conditionally beneficial,conditionally beneficial,121,0,59,0.6722222222222223,106,121,180,0.9666666666666667,3.3198901789696333,3.337883499175105,150
UCI498,duration,180,58,0,122,0.32222222222222224,conditionally beneficial,conditionally beneficial,conditionally beneficial,81,0,99,0.45,58,81,180,0.5277777777777778,3.257492252657215,3.2758768197047834,80
UCI498,handover,180,40,0,140,0.2222222222222222,conditionally beneficial,conditionally beneficial,sign-changing,55,14,111,0.22777777777777777,40,69,180,0.43333333333333335,3.3294166439835093,3.3492012471995207,80
