log,target,metric,draw,axis,S,S_total
BPIC13_closed,handover,ap,0,learner,0.027644101006368285,0.22153727636771012
BPIC13_closed,handover,ap,0,split,0.07559551724887911,0.379990577339776
BPIC13_closed,handover,ap,0,quality_level,0.037035502999515024,0.10517602776369799
BPIC13_closed,handover,ap,0,rung,0.47798980131853325,0.8258342296919748
BPIC13_closed,handover,ap,1,learner,0.02282927759174948,0.21971012925699637
BPIC13_closed,handover,ap,1,split,0.3097181048580574,0.6205350852729062
BPIC13_closed,handover,ap,1,quality_level,0.00797261638123153,0.13220608922375096
BPIC13_closed,handover,ap,1,rung,0.31626103756715385,0.60134830135467
BPIC13_closed,handover,ap,2,learner,0.1795440726327833,0.44805375631562655
BPIC13_closed,handover,ap,2,split,0.1378841451289666,0.6067645728763921
BPIC13_closed,handover,ap,2,quality_level,0.00021883467331196497,0.2763184621164454
BPIC13_closed,handover,ap,2,rung,0.12451955956123884,0.3498809258037731
BPIC13_closed,handover,ap,3,learner,0.02340536501520206,0.4308259349230584
BPIC13_closed,handover,ap,3,split,0.16065714287858396,0.7463799293568769
BPIC13_closed,handover,ap,3,quality_level,0.019080477566768263,0.12165178579935841
BPIC13_closed,handover,ap,3,rung,0.15002528454532768,0.6161517851852087
BPIC13_closed,handover,ap,4,learner,0.08284150597480713,0.5144471677283841
BPIC13_closed,handover,ap,4,split,0.28305724649723063,0.48038162711489524
BPIC13_closed,handover,ap,4,quality_level,0.0007863544909044222,0.05832440272144726
BPIC13_closed,handover,ap,4,rung,0.16560359378039477,0.4848509810588
BPIC13_closed,handover,ap,5,learner,0.054226785570041014,0.4375709124995084
BPIC13_closed,handover,ap,5,split,5.42848207079735e-05,0.6480139415687123
BPIC13_closed,handover,ap,5,quality_level,0.012122958251466079,0.72359154557742
BPIC13_closed,handover,ap,5,rung,0.08236483998771792,0.3545232149180402
BPIC13_closed,handover,ap,6,learner,0.0005772056090430615,0.3214187244263
BPIC13_closed,handover,ap,6,split,0.0021777499093649038,0.42377600684833855
BPIC13_closed,handover,ap,6,quality_level,0.002768389665595461,0.28146121826735104
BPIC13_closed,handover,ap,6,rung,0.39640439756765306,0.9245808207119821
BPIC13_closed,handover,ap,7,learner,0.023250962607870417,0.5932527015972973
BPIC13_closed,handover,ap,7,split,0.019026215353408184,0.5643223008735133
BPIC13_closed,handover,ap,7,quality_level,0.016578718344156248,0.10049066116234485
BPIC13_closed,handover,ap,7,rung,0.09319532130950309,0.7191737450436929
BPIC13_closed,handover,ap,8,learner,0.16443414557443517,0.5473852501956513
BPIC13_closed,handover,ap,8,split,0.16637973359087166,0.3727079253423848
BPIC13_closed,handover,ap,8,quality_level,0.06058303525141287,0.4128513648601718
BPIC13_closed,handover,ap,8,rung,0.02601706582900498,0.4958646762879928
BPIC13_closed,handover,ap,9,learner,0.003421970881477761,0.6045485886516183
BPIC13_closed,handover,ap,9,split,0.017739977393047838,0.556431032198277
BPIC13_closed,handover,ap,9,quality_level,0.08729108977457499,0.35333962624854226
BPIC13_closed,handover,ap,9,rung,0.04437531127290937,0.6293640157216206
BPIC13_closed,handover,ap,10,learner,0.11321907950927437,0.4352921146432895
BPIC13_closed,handover,ap,10,split,0.025174140208666967,0.5056687336564435
BPIC13_closed,handover,ap,10,quality_level,0.07553224720101438,0.13752234452476275
BPIC13_closed,handover,ap,10,rung,0.2649251246341319,0.5710178188970779
BPIC13_closed,handover,ap,11,learner,0.2783737745744107,0.5716718596061414
BPIC13_closed,handover,ap,11,split,0.0750111180142897,0.27323970613634324
BPIC13_closed,handover,ap,11,quality_level,0.0009745333510813076,0.31836385549837387
BPIC13_closed,handover,ap,11,rung,0.2308232336543641,0.49915707514275803
BPIC13_closed,handover,ap,12,learner,0.003755563761445687,0.29757597516337636
BPIC13_closed,handover,ap,12,split,0.4047171472965022,0.8286416775503811
BPIC13_closed,handover,ap,12,quality_level,0.00023302993873272105,0.28573495014204336
BPIC13_closed,handover,ap,12,rung,0.09888404059005332,0.4571659207684934
BPIC13_closed,handover,ap,13,learner,0.01773549294298742,0.44446285841247124
BPIC13_closed,handover,ap,13,split,0.4121569925665092,0.751311423508021
BPIC13_closed,handover,ap,13,quality_level,0.01683658138285837,0.2077187298005324
BPIC13_closed,handover,ap,13,rung,0.03898628022919251,0.2157978300544257
BPIC13_closed,handover,ap,14,learner,0.004732284925997966,0.20743730145181768
BPIC13_closed,handover,ap,14,split,0.267513455702359,0.49568594890420875
BPIC13_closed,handover,ap,14,quality_level,0.06678476258830979,0.2803229345700388
BPIC13_closed,handover,ap,14,rung,0.24122731436372677,0.6009372246909722
BPIC13_closed,handover,ap,15,learner,0.1205101462004187,0.31051902032886425
BPIC13_closed,handover,ap,15,split,0.5444834690386994,0.7248638358324684
BPIC13_closed,handover,ap,15,quality_level,0.008570668782438983,0.09766380013304558
BPIC13_closed,handover,ap,15,rung,0.06798980164070377,0.19281903009992893
BPIC13_closed,handover,ap,16,learner,0.0004950666628314885,0.5635632823443997
BPIC13_closed,handover,ap,16,split,0.17766291662897235,0.5591449101153855
BPIC13_closed,handover,ap,16,quality_level,0.023134307093061527,0.21627920751595225
BPIC13_closed,handover,ap,16,rung,0.11882293119900111,0.581607282269174
BPIC13_closed,handover,ap,17,learner,0.12831782849200996,0.38812070184956604
BPIC13_closed,handover,ap,17,split,0.13853944405096363,0.5409612035548684
BPIC13_closed,handover,ap,17,quality_level,0.03576241036354392,0.2811873096699815
BPIC13_closed,handover,ap,17,rung,0.08755826869138822,0.5640250520909047
BPIC13_closed,handover,ap,18,learner,0.00041056531246872515,0.13894788188464455
BPIC13_closed,handover,ap,18,split,0.4970455225508197,0.8764179716738854
BPIC13_closed,handover,ap,18,quality_level,0.02052169850436346,0.1694267664357719
BPIC13_closed,handover,ap,18,rung,0.06315995349360039,0.3627581505057931
BPIC13_closed,handover,ap,19,learner,0.0007058220509288426,0.5072481976896297
BPIC13_closed,handover,ap,19,split,0.2822432525613127,0.6682743020402581
BPIC13_closed,handover,ap,19,quality_level,0.0430886785702325,0.2519688462705417
BPIC13_closed,handover,ap,19,rung,0.04711150229919737,0.6368277404840269
BPIC13_closed,handover,ap,20,learner,0.06565754985101942,0.656799018753218
BPIC13_closed,handover,ap,20,split,0.042708966464225145,0.31110825435624634
BPIC13_closed,handover,ap,20,quality_level,0.059668817200626376,0.2613952902526841
BPIC13_closed,handover,ap,20,rung,0.03871132740541306,0.7518843848328084
BPIC13_closed,handover,ap,21,learner,0.0004645187244452809,0.8060395969948899
BPIC13_closed,handover,ap,21,split,0.03306472308693967,0.7166202099714543
BPIC13_closed,handover,ap,21,quality_level,0.001803662402674346,0.21070701815684317
BPIC13_closed,handover,ap,21,rung,0.00856170943556086,0.6591142354819194
BPIC13_closed,handover,ap,22,learner,0.6727284581082972,0.8320205867896245
BPIC13_closed,handover,ap,22,split,0.004282405388741479,0.1322471078069194
BPIC13_closed,handover,ap,22,quality_level,0.0003333255717372378,0.04869168167916029
BPIC13_closed,handover,ap,22,rung,0.11001034502709132,0.23575261561454616
BPIC13_closed,handover,ap,23,learner,0.0008169483043160539,0.8054864014079439
BPIC13_closed,handover,ap,23,split,0.04192882307510352,0.3487187770994675
BPIC13_closed,handover,ap,23,quality_level,0.01794488401156641,0.13574636355381622
BPIC13_closed,handover,ap,23,rung,0.03589859379559899,0.7494923966056789
BPIC13_closed,handover,ap,24,learner,0.0031217940636894424,0.09970693442104206
BPIC13_closed,handover,ap,24,split,0.43839794480765215,0.5905578726146528
BPIC13_closed,handover,ap,24,quality_level,0.007072182877925893,0.26909691404052316
BPIC13_closed,handover,ap,24,rung,0.2187403806086887,0.4184558012368906
BPIC13_closed,handover,ap,25,learner,0.013126520467114634,0.3818403244450338
BPIC13_closed,handover,ap,25,split,0.0037831292872592018,0.23878638377940414
BPIC13_closed,handover,ap,25,quality_level,0.17458460425711309,0.544846905068529
BPIC13_closed,handover,ap,25,rung,0.1450560359253179,0.8005421076310831
BPIC13_closed,handover,ap,26,learner,0.00215068114946062,0.7876220589090206
BPIC13_closed,handover,ap,26,split,0.00029932685131863976,0.3622865298634262
BPIC13_closed,handover,ap,26,quality_level,0.040971960639413156,0.37678010816626467
BPIC13_closed,handover,ap,26,rung,0.038951063277761225,0.8632660877383631
BPIC13_closed,handover,ap,27,learner,0.07902618357380754,0.2891674518016632
BPIC13_closed,handover,ap,27,split,0.4312730947536446,0.6410801383939135
BPIC13_closed,handover,ap,27,quality_level,0.05955731353985765,0.1971171364394995
BPIC13_closed,handover,ap,27,rung,0.12452220918783163,0.275368045921365
BPIC13_closed,handover,ap,28,learner,0.222723393188737,0.4798835408697982
BPIC13_closed,handover,ap,28,split,0.2775439112479012,0.47826308125127387
BPIC13_closed,handover,ap,28,quality_level,0.006614823958767531,0.2007126082344574
BPIC13_closed,handover,ap,28,rung,0.12879356666554914,0.34644675117237306
BPIC13_closed,handover,ap,29,learner,0.008292183158434096,0.5675833931396737
BPIC13_closed,handover,ap,29,split,0.01935740734176552,0.5053541969209949
BPIC13_closed,handover,ap,29,quality_level,0.009468477860279536,0.1876813556757195
BPIC13_closed,handover,ap,29,rung,0.20488046304567425,0.9500324272555906
BPIC13_closed,handover,ap,30,learner,0.11622237311562798,0.5204644922809035
BPIC13_closed,handover,ap,30,split,0.01850529530737906,0.45776522301614325
BPIC13_closed,handover,ap,30,quality_level,0.06463127309420633,0.3605440287449921
BPIC13_closed,handover,ap,30,rung,0.2043325299836816,0.5208006411801979
BPIC13_closed,handover,ap,31,learner,0.0028442362887666334,0.5163617310823959
BPIC13_closed,handover,ap,31,split,0.0001461607017894116,0.168229387039958
BPIC13_closed,handover,ap,31,quality_level,0.20240897193129265,0.5591277877767226
BPIC13_closed,handover,ap,31,rung,0.058513323248314604,0.7138756901954288
BPIC13_closed,handover,ap,32,learner,0.004862129344379438,0.3931659896945591
BPIC13_closed,handover,ap,32,split,0.5089323683667092,0.6754999285358414
BPIC13_closed,handover,ap,32,quality_level,0.027897870308687518,0.11238346739593907
BPIC13_closed,handover,ap,32,rung,0.013421551656299402,0.3913684319875366
BPIC13_closed,handover,ap,33,learner,0.06125793585702289,0.23956411285194032
BPIC13_closed,handover,ap,33,split,0.026477992239988833,0.35169991898574277
BPIC13_closed,handover,ap,33,quality_level,0.08725211469154255,0.18472356085283448
BPIC13_closed,handover,ap,33,rung,0.3950792007034512,0.6888430247900353
BPIC13_closed,handover,ap,34,learner,0.0033419615711915095,0.3511117292363279
BPIC13_closed,handover,ap,34,split,0.45030029895045076,0.7250068262106103
BPIC13_closed,handover,ap,34,quality_level,0.029162277185733332,0.14599016736370063
BPIC13_closed,handover,ap,34,rung,0.029615672751171464,0.4349295589015412
BPIC13_closed,handover,ap,35,learner,0.0006115714214080679,0.2069720106263617
BPIC13_closed,handover,ap,35,split,0.06461327232908971,0.302005887127783
BPIC13_closed,handover,ap,35,quality_level,0.0020924153683284253,0.16813694801501178
BPIC13_closed,handover,ap,35,rung,0.6268782458480706,0.8049051827829592
BPIC13_closed,handover,ap,36,learner,0.06687022936992314,0.23622426644637842
BPIC13_closed,handover,ap,36,split,0.0007224290726374025,0.3689710947345446
BPIC13_closed,handover,ap,36,quality_level,0.03783816327742581,0.1038936530162799
BPIC13_closed,handover,ap,36,rung,0.4756964896830078,0.7577014376576218
BPIC13_closed,handover,ap,37,learner,0.019531782979840602,0.35474428883758835
BPIC13_closed,handover,ap,37,split,0.2165531422367866,0.7602240689729486
BPIC13_closed,handover,ap,37,quality_level,0.016549325379153837,0.34990020941319544
BPIC13_closed,handover,ap,37,rung,0.06889506343180062,0.4905038157731769
BPIC13_closed,handover,ap,38,learner,0.044477856039481914,0.5587205758824652
BPIC13_closed,handover,ap,38,split,0.006672312548014414,0.6656337372813073
BPIC13_closed,handover,ap,38,quality_level,0.0010805109792760305,0.17020698310549415
BPIC13_closed,handover,ap,38,rung,0.15823298171114702,0.832707061114242
BPIC13_closed,handover,ap,39,learner,0.01574000363484027,0.4939379911070915
BPIC13_closed,handover,ap,39,split,0.09087714992635806,0.6328215140487318
BPIC13_closed,handover,ap,39,quality_level,0.05868673837976369,0.49701652566708393
BPIC13_closed,handover,ap,39,rung,0.08373665331387921,0.5143000840098867
BPIC13_closed,handover,ap,40,learner,0.038811989831908936,0.39980611335326305
BPIC13_closed,handover,ap,40,split,0.3823662883712623,0.6494339616847203
BPIC13_closed,handover,ap,40,quality_level,0.00028791638590397293,0.13944116042783064
BPIC13_closed,handover,ap,40,rung,0.10127517214153071,0.5643085419927415
BPIC13_closed,handover,ap,41,learner,0.04057569748805992,0.37251014779776986
